loan_id,origination_month,vintage_year,vintage_quarter,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,original_balance,original_term_months,state,loan_purpose,property_type,occupancy_type,servicer_name,source_system,document_status,interest_rate
MDF6JFLIJVNN,2022-10-01,2022,2022Q4,715,700-739,64.31,60-75%,39.22,36-43%,486000.0,360,SC,Home Purchase,PUD,Primary Residence,Beacon Home Loans,CoreServicing,Complete,5.69
Q6046RQ1RS18,2023-08-01,2023,2023Q3,747,740-799,53.38,<60%,22.04,<30%,273000.0,360,PA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,6.879
GBG37TZZC1YX,2023-07-01,2023,2023Q3,706,700-739,71.54,60-75%,35.11,30-36%,629000.0,360,SC,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,6.896
JTGIMFVCAGYJ,2021-10-01,2021,2021Q4,657,620-659,86.43,80-90%,45.07,>43%,252000.0,360,IL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.078
4XNKQSPP2KYX,2021-05-01,2021,2021Q2,703,700-739,84.56,80-90%,39.95,36-43%,562000.0,360,TN,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Pending,3.445
EUL096GGXOF7,2020-10-01,2020,2020Q4,657,620-659,82.01,80-90%,32.61,30-36%,598000.0,240,CT,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,4.206
RTVSNWQ2LVG3,2021-12-01,2021,2021Q4,744,740-799,70.55,60-75%,31.5,30-36%,279000.0,240,CO,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.293
0LD22WU6D8TG,2018-05-01,2018,2018Q2,666,660-699,88.61,80-90%,38.34,36-43%,309000.0,360,CA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.033
T6WHOGSLKVW0,2020-05-01,2020,2020Q2,679,660-699,73.72,60-75%,40.88,36-43%,297000.0,240,IN,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Missing,4.12
OSAZARTOR6HO,2019-08-01,2019,2019Q3,718,700-739,76.95,75-80%,38.03,36-43%,553000.0,360,IL,Home Purchase,Condominium,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.237
