scenario,projection_month,horizon_month,mortgage_rate,unemployment_rate,hpi_index,default_multiplier,prepayment_multiplier
Baseline,2024-01-01,1,6.6,3.9,100.0,1.0,1.0
Baseline,2024-02-01,2,6.5819,3.9064,100.2466,1.0,1.0
Baseline,2024-03-01,3,6.5638,3.9128,100.4939,1.0,1.0
Baseline,2024-04-01,4,6.5457,3.9191,100.7417,1.0,1.0
Baseline,2024-05-01,5,6.5277,3.9255,100.9902,1.0,1.0
Baseline,2024-06-01,6,6.5096,3.9319,101.2392,1.0,1.0
Baseline,2024-07-01,7,6.4915,3.9383,101.4889,1.0,1.0
Baseline,2024-08-01,8,6.4734,3.9447,101.7392,1.0,1.0
Baseline,2024-09-01,9,6.4553,3.9511,101.9901,1.0,1.0
Baseline,2024-10-01,10,6.4372,3.9574,102.2417,1.0,1.0
Baseline,2024-11-01,11,6.4191,3.9638,102.4938,1.0,1.0
Baseline,2024-12-01,12,6.4011,3.9702,102.7466,1.0,1.0
Baseline,2025-01-01,13,6.383,3.9766,103.0,1.0,1.0
Baseline,2025-02-01,14,6.3649,3.983,103.254,1.0,1.0
Baseline,2025-03-01,15,6.3468,3.9894,103.5087,1.0,1.0
Baseline,2025-04-01,16,6.3287,3.9957,103.764,1.0,1.0
Baseline,2025-05-01,17,6.3106,4.0021,104.0199,1.0,1.0
Baseline,2025-06-01,18,6.2926,4.0085,104.2764,1.0,1.0
Baseline,2025-07-01,19,6.2745,4.0149,104.5336,1.0,1.0
Baseline,2025-08-01,20,6.2564,4.0213,104.7914,1.0,1.0
Baseline,2025-09-01,21,6.2383,4.0277,105.0498,1.0,1.0
Baseline,2025-10-01,22,6.2202,4.034,105.3089,1.0,1.0
Baseline,2025-11-01,23,6.2021,4.0404,105.5686,1.0,1.0
Baseline,2025-12-01,24,6.184,4.0468,105.829,1.0,1.0
Baseline,2026-01-01,25,6.166,4.0532,106.09,1.0,1.0
Baseline,2026-02-01,26,6.1479,4.0596,106.3516,1.0,1.0
Baseline,2026-03-01,27,6.1298,4.066,106.6139,1.0,1.0
Baseline,2026-04-01,28,6.1117,4.0723,106.8769,1.0,1.0
Baseline,2026-05-01,29,6.0936,4.0787,107.1405,1.0,1.0
Baseline,2026-06-01,30,6.0755,4.0851,107.4047,1.0,1.0
Baseline,2026-07-01,31,6.0574,4.0915,107.6696,1.0,1.0
Baseline,2026-08-01,32,6.0394,4.0979,107.9351,1.0,1.0
Baseline,2026-09-01,33,6.0213,4.1043,108.2013,1.0,1.0
Baseline,2026-10-01,34,6.0032,4.1106,108.4682,1.0,1.0
Baseline,2026-11-01,35,5.9851,4.117,108.7357,1.0,1.0
Baseline,2026-12-01,36,5.967,4.1234,109.0039,1.0,1.0
Baseline,2027-01-01,37,5.9489,4.1298,109.2727,1.0,1.0
Baseline,2027-02-01,38,5.9309,4.1362,109.5422,1.0,1.0
Baseline,2027-03-01,39,5.9128,4.1426,109.8124,1.0,1.0
Baseline,2027-04-01,40,5.8947,4.1489,110.0832,1.0,1.0
Baseline,2027-05-01,41,5.8766,4.1553,110.3547,1.0,1.0
Baseline,2027-06-01,42,5.8585,4.1617,110.6268,1.0,1.0
Baseline,2027-07-01,43,5.8404,4.1681,110.8997,1.0,1.0
Baseline,2027-08-01,44,5.8223,4.1745,111.1732,1.0,1.0
Baseline,2027-09-01,45,5.8043,4.1809,111.4474,1.0,1.0
Baseline,2027-10-01,46,5.7862,4.1872,111.7222,1.0,1.0
Baseline,2027-11-01,47,5.7681,4.1936,111.9978,1.0,1.0
Baseline,2027-12-01,48,5.75,4.2,112.274,1.0,1.0
Adverse-Credit,2024-01-01,1,6.6,3.9,100.0,1.0,1.0
Adverse-Credit,2024-02-01,2,6.6234,4.5126,99.3076,1.2334,0.9904
Adverse-Credit,2024-03-01,3,6.6468,4.7664,98.6199,1.3301,0.9809
Adverse-Credit,2024-04-01,4,6.6702,4.9611,97.937,1.4042,0.9713
Adverse-Credit,2024-05-01,5,6.6936,5.1253,97.2589,1.4668,0.9617
Adverse-Credit,2024-06-01,6,6.717,5.2699,96.5854,1.5219,0.9521
Adverse-Credit,2024-07-01,7,6.7404,5.4006,95.9166,1.5717,0.9426
Adverse-Credit,2024-08-01,8,6.7638,5.5209,95.2525,1.6175,0.933
Adverse-Credit,2024-09-01,9,6.7872,5.6328,94.5929,1.6601,0.9234
Adverse-Credit,2024-10-01,10,6.8106,5.7379,93.9379,1.7002,0.9138
Adverse-Credit,2024-11-01,11,6.834,5.8373,93.2874,1.738,0.9043
Adverse-Credit,2024-12-01,12,6.8574,5.9319,92.6415,1.774,0.8947
Adverse-Credit,2025-01-01,13,6.8809,6.0222,92.0,1.8085,0.8851
Adverse-Credit,2025-02-01,14,6.9043,6.1089,91.363,1.8415,0.8755
Adverse-Credit,2025-03-01,15,6.9277,6.1923,90.7303,1.8732,0.866
Adverse-Credit,2025-04-01,16,6.9511,6.2727,90.1021,1.9039,0.8564
Adverse-Credit,2025-05-01,17,6.9745,6.3505,89.4782,1.9335,0.8468
Adverse-Credit,2025-06-01,18,6.9979,6.426,88.8586,1.9623,0.8372
Adverse-Credit,2025-07-01,19,7.0213,6.4992,88.2433,1.9902,0.8277
Adverse-Credit,2025-08-01,20,7.0447,6.5704,87.6323,2.0173,0.8181
Adverse-Credit,2025-09-01,21,7.0681,6.6398,87.0255,2.0437,0.8085
Adverse-Credit,2025-10-01,22,7.0915,6.7074,86.4229,2.0695,0.7989
Adverse-Credit,2025-11-01,23,7.1149,6.7735,85.8244,2.0947,0.7894
Adverse-Credit,2025-12-01,24,7.1383,6.8381,85.2302,2.1193,0.7798
Adverse-Credit,2026-01-01,25,7.1617,6.9013,84.64,2.1433,0.7702
Adverse-Credit,2026-02-01,26,7.1851,6.9632,84.0539,2.1669,0.7606
Adverse-Credit,2026-03-01,27,7.2085,7.0238,83.4719,2.19,0.7511
Adverse-Credit,2026-04-01,28,7.2319,7.0833,82.8939,2.2127,0.7415
Adverse-Credit,2026-05-01,29,7.2553,7.1417,82.3199,2.235,0.7319
Adverse-Credit,2026-06-01,30,7.2787,7.1991,81.7499,2.2568,0.7223
Adverse-Credit,2026-07-01,31,7.3021,7.2555,81.1838,2.2783,0.7128
Adverse-Credit,2026-08-01,32,7.3255,7.311,80.6217,2.2994,0.7032
Adverse-Credit,2026-09-01,33,7.3489,7.3656,80.0634,2.3202,0.6936
Adverse-Credit,2026-10-01,34,7.3723,7.4193,79.509,2.3407,0.684
Adverse-Credit,2026-11-01,35,7.3957,7.4722,78.9585,2.3609,0.6745
Adverse-Credit,2026-12-01,36,7.4191,7.5244,78.4118,2.3807,0.6649
Adverse-Credit,2027-01-01,37,7.4426,7.5758,77.8688,2.4003,0.6553
Adverse-Credit,2027-02-01,38,7.466,7.6265,77.3296,2.4196,0.6457
Adverse-Credit,2027-03-01,39,7.4894,7.6765,76.7941,2.4387,0.6362
Adverse-Credit,2027-04-01,40,7.5128,7.7259,76.2624,2.4575,0.6266
Adverse-Credit,2027-05-01,41,7.5362,7.7746,75.7343,2.476,0.617
Adverse-Credit,2027-06-01,42,7.5596,7.8228,75.2099,2.4944,0.6074
Adverse-Credit,2027-07-01,43,7.583,7.8703,74.6891,2.5125,0.5979
Adverse-Credit,2027-08-01,44,7.6064,7.9173,74.172,2.5304,0.5883
Adverse-Credit,2027-09-01,45,7.6298,7.9637,73.6584,2.5481,0.5787
Adverse-Credit,2027-10-01,46,7.6532,8.0097,73.1483,2.5656,0.5691
Adverse-Credit,2027-11-01,47,7.6766,8.0551,72.6418,2.5829,0.5596
Adverse-Credit,2027-12-01,48,7.7,8.1,72.1388,2.6,0.55
High-Prepayment,2024-01-01,1,6.6,3.9,100.0,1.0,1.0
High-Prepayment,2024-02-01,2,6.5489,3.8904,100.4472,0.9947,1.0404
High-Prepayment,2024-03-01,3,6.4979,3.8809,100.8963,0.9894,1.0809
High-Prepayment,2024-04-01,4,6.4468,3.8713,101.3475,0.984,1.1213
High-Prepayment,2024-05-01,5,6.3957,3.8617,101.8007,0.9787,1.1617
High-Prepayment,2024-06-01,6,6.3447,3.8521,102.2559,0.9734,1.2021
High-Prepayment,2024-07-01,7,6.2936,3.8426,102.7132,0.9681,1.2426
High-Prepayment,2024-08-01,8,6.2426,3.833,103.1725,0.9628,1.283
High-Prepayment,2024-09-01,9,6.1915,3.8234,103.6339,0.9574,1.3234
High-Prepayment,2024-10-01,10,6.1404,3.8138,104.0973,0.9521,1.3638
High-Prepayment,2024-11-01,11,6.0894,3.8043,104.5628,0.9468,1.4043
High-Prepayment,2024-12-01,12,6.0383,3.7947,105.0303,0.9415,1.4447
High-Prepayment,2025-01-01,13,5.9872,3.7851,105.5,0.9362,1.4851
High-Prepayment,2025-02-01,14,5.9362,3.7755,105.9718,0.9309,1.5255
High-Prepayment,2025-03-01,15,5.8851,3.766,106.4456,0.9255,1.566
High-Prepayment,2025-04-01,16,5.834,3.7564,106.9216,0.9202,1.6064
High-Prepayment,2025-05-01,17,5.783,3.7468,107.3998,0.9149,1.6468
High-Prepayment,2025-06-01,18,5.7319,3.7372,107.88,0.9096,1.6872
High-Prepayment,2025-07-01,19,5.6809,3.7277,108.3624,0.9043,1.7277
High-Prepayment,2025-08-01,20,5.6298,3.7181,108.847,0.8989,1.7681
High-Prepayment,2025-09-01,21,5.5787,3.7085,109.3337,0.8936,1.8085
High-Prepayment,2025-10-01,22,5.5277,3.6989,109.8226,0.8883,1.8489
High-Prepayment,2025-11-01,23,5.4766,3.6894,110.3137,0.883,1.8894
High-Prepayment,2025-12-01,24,5.4255,3.6798,110.807,0.8777,1.9298
High-Prepayment,2026-01-01,25,5.3745,3.6702,111.3025,0.8723,1.9702
High-Prepayment,2026-02-01,26,5.3234,3.6606,111.8002,0.867,2.0106
High-Prepayment,2026-03-01,27,5.2723,3.6511,112.3001,0.8617,2.0511
High-Prepayment,2026-04-01,28,5.2213,3.6415,112.8023,0.8564,2.0915
High-Prepayment,2026-05-01,29,5.1702,3.6319,113.3067,0.8511,2.1319
High-Prepayment,2026-06-01,30,5.1191,3.6223,113.8134,0.8457,2.1723
High-Prepayment,2026-07-01,31,5.0681,3.6128,114.3224,0.8404,2.2128
High-Prepayment,2026-08-01,32,5.017,3.6032,114.8336,0.8351,2.2532
High-Prepayment,2026-09-01,33,4.966,3.5936,115.3471,0.8298,2.2936
High-Prepayment,2026-10-01,34,4.9149,3.584,115.8629,0.8245,2.334
High-Prepayment,2026-11-01,35,4.8638,3.5745,116.381,0.8191,2.3745
High-Prepayment,2026-12-01,36,4.8128,3.5649,116.9014,0.8138,2.4149
High-Prepayment,2027-01-01,37,4.7617,3.5553,117.4241,0.8085,2.4553
High-Prepayment,2027-02-01,38,4.7106,3.5457,117.9492,0.8032,2.4957
High-Prepayment,2027-03-01,39,4.6596,3.5362,118.4767,0.7979,2.5362
High-Prepayment,2027-04-01,40,4.6085,3.5266,119.0064,0.7926,2.5766
High-Prepayment,2027-05-01,41,4.5574,3.517,119.5386,0.7872,2.617
High-Prepayment,2027-06-01,42,4.5064,3.5074,120.0731,0.7819,2.6574
High-Prepayment,2027-07-01,43,4.4553,3.4979,120.6101,0.7766,2.6979
High-Prepayment,2027-08-01,44,4.4043,3.4883,121.1494,0.7713,2.7383
High-Prepayment,2027-09-01,45,4.3532,3.4787,121.6912,0.766,2.7787
High-Prepayment,2027-10-01,46,4.3021,3.4691,122.2353,0.7606,2.8191
High-Prepayment,2027-11-01,47,4.2511,3.4596,122.7819,0.7553,2.8596
High-Prepayment,2027-12-01,48,4.2,3.45,123.331,0.75,2.9
