loan_id,reporting_month,current_balance,current_status,days_past_due,servicer_name,last_updated_at,source_system
VI747XP9WMN3,2023-12-01,320268.59,Current,0,Northgate Financial Servicing,2023-12-16,SubServicerRemittance
EFYOMJ6Y4TJO,2020-05-01,233225.98,Current,0,Northgate Financial Servicing,2020-05-14,SubServicerRemittance
X8QDEU6GB7RN,2024-09-01,512993.31,Current,0,Beacon Home Loans,2025-06-05,SubServicerRemittance
XUR3W4GPKT3H,2025-04-01,256491.2,Current,0,Northgate Financial Servicing,2025-12-03,SubServicerRemittance
GEVC39ZWIA65,2021-09-01,172565.73,Current,0,Northgate Financial Servicing,2021-09-13,SubServicerRemittance
YHQXI3SS1JDY,2019-11-01,0.0,Default,120,Atlas Mortgage Services,2020-05-07,SubServicerRemittance
A94KDGM8YWNH,2021-11-01,304633.61,Current,0,Northgate Financial Servicing,2021-11-15,SubServicerRemittance
KZ418Y974SCO,2021-10-01,361041.15,Current,0,Beacon Home Loans,2022-10-29,SubServicerRemittance
X2ZEF27IIYTJ,2023-03-01,309908.02,90-DPD,104,Atlas Mortgage Services,2023-03-18,SubServicerRemittance
8QF63DPE1EF3,2025-03-01,343733.05,Current,0,Atlas Mortgage Services,2025-03-20,SubServicerRemittance
W6RCEIESGOS6,2023-12-01,186790.73,Current,0,Northgate Financial Servicing,2023-12-12,SubServicerRemittance
423PJ552ZFR2,2019-10-01,430323.7,Current,0,Meridian Residential Capital,2019-10-12,SubServicerRemittance
H0MQF8QD32WF,2023-09-01,244142.16,Current,0,Northgate Financial Servicing,2023-09-24,SubServicerRemittance
S77WOSDUP9XJ,2019-10-01,731668.26,30-DPD,0,Atlas Mortgage Services,2019-10-18,SubServicerRemittance
XG7YCKXHQNEM,2018-09-01,232881.95,Current,0,Atlas Mortgage Services,2018-09-13,SubServicerRemittance
SJ7CQGOAO8PW,2023-02-01,295460.89,Current,0,Cornerstone Loan Servicing,2023-02-06,SubServicerRemittance
35YOID0M7GZB,2023-10-01,337417.28,30-DPD,33,Cornerstone Loan Servicing,2023-10-23,SubServicerRemittance
7746U1BJV9A3,2023-08-01,305858.56,Current,0,Cornerstone Loan Servicing,2023-08-15,SubServicerRemittance
TFIC05JGUHR9,2022-07-01,609664.46,Current,0,Cornerstone Loan Servicing,2022-07-18,SubServicerRemittance
KFHFWFHNK677,2024-02-01,656121.49,Current,0,Northgate Financial Servicing,2024-02-23,SubServicerRemittance
X88WFL5RVLGV,2022-11-01,276385.3,Current,0,Cornerstone Loan Servicing,2022-11-06,SubServicerRemittance
6OUJNYVQQEEM,2018-12-01,289837.99,Current,0,Beacon Home Loans,2018-12-06,SubServicerRemittance
LAM7F5UMB2PD,2024-04-01,414889.62,60-DPD,0,Atlas Mortgage Services,2024-08-04,SubServicerRemittance
4SI1ZWRUJX0N,2024-05-01,310187.8,Current,0,Atlas Mortgage Services,2024-11-14,SubServicerRemittance
4FCVP0V2YQF6,2022-10-01,151660.7,Current,0,Beacon Home Loans,2022-10-09,SubServicerRemittance
1374YVTI53SW,2024-05-01,345244.3,Current,0,Meridian Residential Capital,2024-05-02,SubServicerRemittance
TDGTW8E8O0G1,2025-01-01,462649.31,Current,0,Cornerstone Loan Servicing,2025-05-19,SubServicerRemittance
4HXZZPFHCDEG,2023-01-01,295083.98,Current,82,Northgate Financial Servicing,2023-01-19,SubServicerRemittance
OF5OD0465AQ3,2020-03-01,227050.03,Current,0,Atlas Mortgage Services,2021-01-25,SubServicerRemittance
N400I6HZQMQN,2024-01-01,0.0,Default,164,Cornerstone Loan Servicing,2024-01-05,SubServicerRemittance
KR6ZQBFP91OW,2023-01-01,267042.17,Current,0,Beacon Home Loans,2023-01-11,SubServicerRemittance
97SRMW8M4TWX,2021-06-01,306310.74,Current,0,Cornerstone Loan Servicing,2021-06-18,SubServicerRemittance
MUZA0L3HQFRA,2024-09-01,322080.29,Current,0,Atlas Mortgage Services,2025-06-11,SubServicerRemittance
Z5DGMDJFF135,2023-01-01,475411.59,Current,0,Cornerstone Loan Servicing,2023-01-03,SubServicerRemittance
QJ8REE87PGZQ,2023-06-01,445000.0,Current,0,Atlas Mortgage Services,2023-06-19,SubServicerRemittance
8XS8QJEO5QOZ,2023-07-01,207912.88,Current,0,Atlas Mortgage Services,2023-07-24,SubServicerRemittance
6DX4Z6ZZSIP0,2022-09-01,289348.35,Current,0,Meridian Residential Capital,2022-09-02,SubServicerRemittance
BDRFT390EA4Y,2023-09-01,837231.02,Current,0,Northgate Financial Servicing,2023-09-10,SubServicerRemittance
ZA49QFIHXG2F,2019-10-01,258642.2,Current,0,Beacon Home Loans,2020-06-06,SubServicerRemittance
75LP5Q34S1OV,2018-10-01,251261.25,Current,0,Meridian Residential Capital,2019-03-28,SubServicerRemittance
S7GYBTP5C3C3,2021-01-01,205681.0,Current,0,Cornerstone Loan Servicing,2021-12-15,SubServicerRemittance
970AOHB1ED07,2025-01-01,346844.9,Current,0,Beacon Home Loans,2025-10-27,SubServicerRemittance
DZRMZCGR6BMK,2023-04-01,275223.8,Current,0,Beacon Home Loans,2023-04-04,SubServicerRemittance
T4T5BIGD61BZ,2023-01-01,356506.52,Current,0,Northgate Financial Servicing,2023-01-09,SubServicerRemittance
Q3GEGAGNAZUZ,2024-11-01,301522.07,60-DPD,0,Northgate Financial Servicing,2025-09-13,SubServicerRemittance
TWVLMB45RTYG,2024-06-01,545337.31,Current,0,Northgate Financial Servicing,2024-11-08,SubServicerRemittance
Y5YFPRBNF8FO,2023-12-01,230435.11,Current,0,Beacon Home Loans,2023-12-16,SubServicerRemittance
RVKSS3G8SM9D,2020-01-01,301599.64,Current,0,Beacon Home Loans,2020-01-23,SubServicerRemittance
076JG6KCA5U4,2019-02-01,300643.7,30-DPD,40,Cornerstone Loan Servicing,2019-02-19,SubServicerRemittance
MLOFUG6D5NGT,2020-12-01,260495.37,Current,0,Atlas Mortgage Services,2020-12-03,SubServicerRemittance
A8KODSA5L0CP,2021-09-01,592015.19,Current,0,Meridian Residential Capital,2022-06-08,SubServicerRemittance
79O92CCOBIX9,2022-03-01,241269.76,Current,0,Cornerstone Loan Servicing,2022-03-03,SubServicerRemittance
KGU0244KZO0W,2023-04-01,435835.41,Current,0,Beacon Home Loans,2023-04-18,SubServicerRemittance
HB9SO6NE7MME,2025-04-01,308853.53,Current,0,Northgate Financial Servicing,2025-04-25,SubServicerRemittance
I9KVKD5NVUG0,2020-02-01,196213.54,Current,0,Beacon Home Loans,2020-02-22,SubServicerRemittance
LTL8UNYOFB81,2024-02-01,250119.59,Current,0,Northgate Financial Servicing,2024-02-15,SubServicerRemittance
P1M6U2MDH6O5,2019-07-01,184792.82,Current,0,Beacon Home Loans,2019-07-12,SubServicerRemittance
7Y39EJUNJOYL,2024-12-01,311729.96,Current,0,Atlas Mortgage Services,2024-12-16,SubServicerRemittance
7NFWOQ63LRPL,2021-06-01,272453.45,Current,0,Atlas Mortgage Services,2021-10-16,SubServicerRemittance
MDNY5US0UHFN,2023-05-01,321415.85,Current,0,Cornerstone Loan Servicing,2023-05-22,SubServicerRemittance
2PWQYX77HBEG,2021-01-01,427386.15,Current,0,Northgate Financial Servicing,2021-01-05,SubServicerRemittance
RX96VEM3D9ME,2022-12-01,403232.59,Current,0,Meridian Residential Capital,2022-12-11,SubServicerRemittance
BLM9SBNTJ32D,2023-04-01,222305.82,Current,0,Cornerstone Loan Servicing,2023-04-24,SubServicerRemittance
0PRS5ZG8PMV8,2018-09-01,230386.08,30-DPD,56,Northgate Financial Servicing,2019-08-22,SubServicerRemittance
WR3SVQLF3YEG,2018-09-01,285649.79,Current,0,Beacon Home Loans,2018-09-16,SubServicerRemittance
Z115IMUNIN2T,2021-04-01,421296.67,Current,0,Atlas Mortgage Services,2021-04-24,SubServicerRemittance
1MCH1V13PVJU,2020-01-01,276564.69,Current,0,Atlas Mortgage Services,2020-01-14,SubServicerRemittance
93HIPUEAD310,2019-01-01,393000.0,Current,0,Atlas Mortgage Services,2019-01-08,SubServicerRemittance
2ZTT2KF1P6UI,2024-10-01,276463.18,Current,0,Cornerstone Loan Servicing,2024-10-04,SubServicerRemittance
F0LYP4QIC8ZC,2019-12-01,307839.52,90-DPD,93,Beacon Home Loans,2019-12-25,SubServicerRemittance
TI9ESO4QBK3O,2021-12-01,278888.85,Current,0,Meridian Residential Capital,2021-12-15,SubServicerRemittance
ZWTZLFR7SYVN,2020-04-01,181583.85,Current,0,Northgate Financial Servicing,2020-12-22,SubServicerRemittance
D5XDKATQK7MZ,2019-12-01,0.0,Default,146,Cornerstone Loan Servicing,2019-12-24,SubServicerRemittance
ONAHCNQZ4L3M,2023-12-01,282151.68,30-DPD,0,Cornerstone Loan Servicing,2023-12-18,SubServicerRemittance
KL47K40G6YKP,2024-12-01,360088.72,Current,0,Atlas Mortgage Services,2024-12-19,SubServicerRemittance
GM8R9RHO80DH,2021-03-01,670546.22,Current,0,Meridian Residential Capital,2022-03-10,SubServicerRemittance
XAI0P5NZ7BDM,2021-02-01,304303.71,Current,0,Northgate Financial Servicing,2021-02-05,SubServicerRemittance
RHW9VRUEV4E2,2024-05-01,417309.25,Current,0,Beacon Home Loans,2024-05-02,SubServicerRemittance
MGEN6CYLBFU8,2025-06-01,303578.37,Current,0,Atlas Mortgage Services,2025-06-22,SubServicerRemittance
910PRU7Y61R8,2023-04-01,303507.7,Current,0,Meridian Residential Capital,2023-04-16,SubServicerRemittance
PR0Y179ETHEN,2022-10-01,298373.37,Current,0,Cornerstone Loan Servicing,2022-10-24,SubServicerRemittance
JRO35TN0X12K,2022-10-01,211336.69,Current,0,Cornerstone Loan Servicing,2022-10-18,SubServicerRemittance
9R2W55T7Y9FK,2023-03-01,238861.55,Current,0,Beacon Home Loans,2023-08-15,SubServicerRemittance
JPKZL8SVCARD,2024-02-01,182049.41,Current,0,Atlas Mortgage Services,2024-02-17,SubServicerRemittance
ITNAF6HZ0XMH,2024-10-01,271019.45,Current,0,Atlas Mortgage Services,2024-10-19,SubServicerRemittance
58QDC489U0JS,2021-06-01,484254.63,Current,0,Cornerstone Loan Servicing,2021-06-08,SubServicerRemittance
VMJJHWMJHR0Z,2023-05-01,219365.27,Current,0,Cornerstone Loan Servicing,2023-05-24,SubServicerRemittance
VJ7OKSTD72E7,2022-03-01,224339.8,Current,0,Meridian Residential Capital,2022-03-22,SubServicerRemittance
3BLQ50N90GJH,2021-12-01,339099.33,Current,0,Northgate Financial Servicing,2022-05-12,SubServicerRemittance
CUPUMK3IRVSO,2021-11-01,364299.23,Current,0,Beacon Home Loans,2021-11-07,SubServicerRemittance
UFJUZ40W81XE,2023-04-01,319564.05,Current,0,Meridian Residential Capital,2023-04-08,SubServicerRemittance
OYETRWYV9F9O,2021-04-01,363141.56,Current,0,Meridian Residential Capital,2021-04-02,SubServicerRemittance
47DXSJ0GQHJ5,2018-12-01,379962.32,Current,0,Northgate Financial Servicing,2018-12-12,SubServicerRemittance
WKWDANRRJI84,2020-10-01,324921.95,Current,0,Northgate Financial Servicing,2020-10-07,SubServicerRemittance
1IQNGYIAQOMY,2023-06-01,223842.27,Current,0,Beacon Home Loans,2023-06-18,SubServicerRemittance
VUXN9XXY90QF,2019-10-01,367000.0,Current,0,Meridian Residential Capital,2019-10-04,SubServicerRemittance
UVV7ZWJ5XEHT,2024-02-01,262753.01,30-DPD,47,Beacon Home Loans,2024-02-22,SubServicerRemittance
7W05JC9G03DM,2021-09-01,434392.55,Current,0,Meridian Residential Capital,2021-09-05,SubServicerRemittance
KDN0NDTWTIDT,2022-05-01,261345.76,Current,0,Atlas Mortgage Services,2022-05-19,SubServicerRemittance
EQ4ZMT2KI1PQ,2022-04-01,240523.31,Current,0,Northgate Financial Servicing,2022-04-03,SubServicerRemittance
FFP5BODI8RRI,2025-01-01,243772.72,Current,0,Cornerstone Loan Servicing,2025-01-06,SubServicerRemittance
N0BBBVDKWC6G,2020-04-01,177710.29,Current,0,Cornerstone Loan Servicing,2020-04-22,SubServicerRemittance
BS7MA4NU20N5,2022-09-01,279699.07,Current,0,Cornerstone Loan Servicing,2023-09-17,SubServicerRemittance
348Y4VQS528J,2021-03-01,491685.95,Current,0,Northgate Financial Servicing,2021-03-23,SubServicerRemittance
SMZNPLLI0L0F,2023-12-01,345935.92,Current,0,Northgate Financial Servicing,2025-01-01,SubServicerRemittance
HIDGSFL7F1K5,2021-04-01,205182.13,Current,0,Cornerstone Loan Servicing,2021-04-10,SubServicerRemittance
