signal,layer,severity,n_fired,pct_fired,precision_vs_exception
rule__missing_document_status,rule,low,31675,11.8135,0.0251
seq__balance_increase_without_modification,seq,medium,4788,1.7857,0.6855
seq__illegal_status_transition,seq,high,2394,0.8929,0.9783
rule__json__BALANCE_CEILING,rule,high,2316,0.8638,1.0
rule__balance_exceeds_original,rule,high,2316,0.8638,1.0
rule__json__TEMPORAL_ORDERING,rule,high,1724,0.643,1.0
date__date__origination_after_reporting,date,high,1724,0.643,1.0
date__date__loan_age_inconsistent,date,high,1718,0.6407,1.0
seq__delinquency_bucket_skip,seq,medium,1703,0.6352,0.9841
seq__loan_age_regression,seq,high,1601,0.5971,0.0518
seq__post_absorbing_activity,seq,high,1319,0.4919,1.0
rule__closed_status_with_balance,rule,high,0,0.0,
rule__zero_original_balance,rule,high,0,0.0,
rule__default_and_prepaid_together,rule,high,0,0.0,
date__date__last_update_before_reporting,date,high,0,0.0,
rule__dpd_implausibly_large,rule,medium,0,0.0,
rule__negative_loan_age,rule,high,0,0.0,
rule__implausible_interest_rate,rule,medium,0,0.0,
rule__negative_remaining_term,rule,high,0,0.0,
rule__json__LOAN_ID_PRESENT,rule,high,0,0.0,
rule__current_status_but_high_dpd,rule,medium,0,0.0,
rule__json__REPORTING_MONTH_PRESENT,rule,high,0,0.0,
rule__default_without_delinquency,rule,high,0,0.0,
rule__prepaid_with_positive_balance,rule,high,0,0.0,
rule__negative_balance,rule,high,0,0.0,
rule__json__DOCUMENT_STATUS_DOMAIN,rule,low,0,0.0,
rule__json__MUTUALLY_EXCLUSIVE_TERMINATION,rule,high,0,0.0,
rule__json__TERM_NON_NEGATIVE,rule,medium,0,0.0,
rule__json__RATE_RANGE,rule,medium,0,0.0,
rule__json__DEFAULT_DELINQUENCY_CONSISTENCY,rule,high,0,0.0,
rule__json__ABSORBING_STATE_FINALITY,rule,high,0,0.0,
rule__json__SEQUENTIAL_DELINQUENCY,rule,high,0,0.0,
rule__json__STATUS_DOMAIN,rule,high,0,0.0,
rule__json__DPD_RANGE,rule,medium,0,0.0,
rule__json__BALANCE_SIGN,rule,high,0,0.0,
rule__delinquent_but_current_status,rule,high,0,0.0,
