loan_id,reporting_month,current_status,current_balance,hybrid_score,rule_score,ml_score,exception_probability,triggered_rules,top_drivers,predicted_exception_type,suggested_action
TKZBY2VDG0DX,2023-02,Default,0.0,0.9999999815028902,0.999,0.9999815028901734,0.9997555199826433,json__TEMPORAL_ORDERING; date__origination_after_reporting; date__loan_age_inconsistent,days past due=157; balance delta pct=missing; loan age regression=0,Time Travel,Reporting month precedes origination. Correct the timestamp at source; the row cannot be used for age-based analytics until it is fixed.
NHMLYYAJ40VH,2023-05,Current,1053307.72,0.9999999606936416,0.99575,0.9999907514450868,0.9999962348893982,json__BALANCE_CEILING; balance_exceeds_original; balance_increase_without_modification; missing_document_status,balance delta pct=0.58; loan age regression=0; loan age months=54,Balance Discrepancy,"Balance exceeds origination with no modification recorded. Request the modification agreement, or treat the balance as a servicing error."
K3MSRHPO8MHK,2023-12,Current,524929.05,0.9999999075144509,0.995,0.9999815028901734,0.9999887481583283,post_absorbing_activity; illegal_status_transition; balance_increase_without_modification,post absorbing activity=1; transition rarity=0.00125; balance delta pct=missing,Zombie Loan,Loan already reached a terminal state. Confirm the termination date with the servicer and suppress the later rows; do not re-activate the loan.
SW3CSFZ1HQ5Y,2023-06,Current,439530.93,0.9999999075144509,0.995,0.9999815028901734,0.9999865743505612,post_absorbing_activity; illegal_status_transition; balance_increase_without_modification,post absorbing activity=1; transition rarity=0.00125; balance delta pct=missing,Zombie Loan,Loan already reached a terminal state. Confirm the termination date with the servicer and suppress the later rows; do not re-activate the loan.
RK1NEXSOD8VF,2023-07,Current,877969.16,0.9999999075144509,0.995,0.9999815028901734,0.9999882396103649,post_absorbing_activity; illegal_status_transition; balance_increase_without_modification,post absorbing activity=1; transition rarity=0.00125; balance delta pct=missing,Zombie Loan,Loan already reached a terminal state. Confirm the termination date with the servicer and suppress the later rows; do not re-activate the loan.
FIMYS4DO8VYD,2023-03,Current,289513.02,0.9999999075144509,0.995,0.9999815028901734,0.9999877798394199,post_absorbing_activity; illegal_status_transition; balance_increase_without_modification,post absorbing activity=1; transition rarity=0.00125; balance delta pct=missing,Zombie Loan,Loan already reached a terminal state. Confirm the termination date with the servicer and suppress the later rows; do not re-activate the loan.
XVXZK2HX6I1Z,2023-06,90-DPD,327669.48,0.9999998820809248,0.99575,0.9999722543352602,0.9999968499775836,json__BALANCE_CEILING; balance_exceeds_original; balance_increase_without_modification; missing_document_status,transition rarity=0.00228; balance delta pct=0.42; loan age regression=0,Balance Discrepancy,"Balance exceeds origination with no modification recorded. Request the modification agreement, or treat the balance as a servicing error."
JUPT8JULM5C4,2023-04,Current,164633.0,0.9999998612716763,0.995,0.9999722543352602,0.9999831777402113,post_absorbing_activity; illegal_status_transition; balance_increase_without_modification,post absorbing activity=1; balance delta pct=missing; months after absorbing=1.00,Zombie Loan,Loan already reached a terminal state. Confirm the termination date with the servicer and suppress the later rows; do not re-activate the loan.
ZBDXOWNX1MV2,2023-01,Current,595797.12,0.9999997687861272,0.995,0.9999537572254336,0.9999973194167731,json__BALANCE_CEILING; balance_exceeds_original; balance_increase_without_modification,balance delta pct=0.61; loan age regression=0; loan age months=57,Balance Discrepancy,"Balance exceeds origination with no modification recorded. Request the modification agreement, or treat the balance as a servicing error."
EXIA6HA0N6QC,2023-05,Current,642106.41,0.9999997687861272,0.995,0.9999537572254336,0.99999730272747,json__BALANCE_CEILING; balance_exceeds_original; balance_increase_without_modification,balance delta pct=0.56; loan age regression=0; loan age months=45,Balance Discrepancy,"Balance exceeds origination with no modification recorded. Request the modification agreement, or treat the balance as a servicing error."
KPUKLAHZT76N,2023-02,Current,577407.69,0.9999997248554914,0.99575,0.999935260115607,0.9999971151902912,json__BALANCE_CEILING; balance_exceeds_original; balance_increase_without_modification; missing_document_status,balance delta pct=0.42; loan age regression=0; loan age months=47,Balance Discrepancy,"Balance exceeds origination with no modification recorded. Request the modification agreement, or treat the balance as a servicing error."
WDRBQ0QBQ686,2023-09,Current,522614.11,0.9999987205780347,0.9999575,0.9698959537572255,0.9999817849245876,json__TEMPORAL_ORDERING; date__origination_after_reporting; date__loan_age_inconsistent; loan_age_regression; (+2 more),TEMPORAL ORDERING=1; loan age months=1; balance delta pct=0.01,Time Travel,Reporting month precedes origination. Correct the timestamp at source; the row cannot be used for age-based analytics until it is fixed.
MBYL6BVXFWF3,2023-05,Current,181884.73,0.9999980920231214,0.99995,0.9618404624277457,0.9999819077873141,json__TEMPORAL_ORDERING; date__origination_after_reporting; date__loan_age_inconsistent; loan_age_regression; (+1 more),TEMPORAL ORDERING=1; loan age months=1; balance delta pct=0.00802,Time Travel,Reporting month precedes origination. Correct the timestamp at source; the row cannot be used for age-based analytics until it is fixed.
6M8W8LCVI34V,2023-04,Current,394715.26,0.9999979926011561,0.99995,0.9598520231213873,0.999989228020257,json__TEMPORAL_ORDERING; date__origination_after_reporting; date__loan_age_inconsistent; loan_age_regression; (+1 more),loan age months=7; TEMPORAL ORDERING=1; balance delta pct=0.00345,Time Travel,Reporting month precedes origination. Correct the timestamp at source; the row cannot be used for age-based analytics until it is fixed.
F8FTBB4AOTYG,2023-05,Current,405000.0,0.9999977169942197,0.99995,0.9543398843930636,0.9997128199999353,json__TEMPORAL_ORDERING; date__origination_after_reporting; date__loan_age_inconsistent; loan_age_regression; (+1 more),TEMPORAL ORDERING=1; balance delta pct=0.00506; origination after reporting=1,Time Travel,Reporting month precedes origination. Correct the timestamp at source; the row cannot be used for age-based analytics until it is fixed.
Q1BT88BYDDWW,2023-01,90-DPD,128651.88,0.9999967630057803,0.95,0.999935260115607,0.9999919463229269,illegal_status_transition; delinquency_bucket_skip,status severity delta=3.00; transition rarity=0.00624; days past due=114,Impossible State Transition,Delinquency bucket skipped without an intermediate month. Request the missing month's file from the servicer before accepting the status.
8Q58AG12V4EE,2023-01,90-DPD,821230.08,0.999995838150289,0.95,0.9999167630057804,0.9999941969915902,illegal_status_transition; delinquency_bucket_skip,status severity delta=3.00; transition rarity=0.00624; days past due=117,Impossible State Transition,Delinquency bucket skipped without an intermediate month. Request the missing month's file from the servicer before accepting the status.
FIKB44SU1EM2,2023-04,90-DPD,127297.09,0.999995838150289,0.95,0.9999167630057804,0.9999917359038355,illegal_status_transition; delinquency_bucket_skip,status severity delta=3.00; transition rarity=0.00624; loan age regression=0,Impossible State Transition,Delinquency bucket skipped without an intermediate month. Request the missing month's file from the servicer before accepting the status.
