model,outcome,records,share
delinquency,true positive,2581,0.03998264991557325
delinquency,false positive,1187,0.0183879912629932
delinquency,false negative,4606,0.07135222220500984
delinquency,true negative,56179,0.8702771366164237
default,true positive,2360,0.04042341817683533
default,false positive,2661,0.04557911685108424
default,false negative,2703,0.04629851666609571
default,true negative,50658,0.8676989483059847
prepayment,true positive,2992,0.05124867253605563
prepayment,false positive,28378,0.4860744750094207
prepayment,false negative,2236,0.038299475865849066
prepayment,true negative,24776,0.4243773765886746
