model,segment,kind,metric,groups_compared,worst_group,worst_value,worst_group_records,worst_group_events,best_group,best_value,ratio_best_to_worst,below_floor,p_value,enough_events_to_test,significant,interpretable,escalate,overall_selection_rate
delinquency,state,screen for disparity,false_positive_rate,30,MN,0.026143790849673203,1254,28,CO,0.009453781512605041,0.36160714285714285,True,0.005169810478333632,True,True,True,True,0.05572165507412514
delinquency,state,screen for disparity,selection_rate,30,PA,0.07257164123557872,2687,195,OR,0.03878902554399243,0.5344928801882444,True,0.00012884320395172287,True,True,True,True,0.05572165507412514
delinquency,state,screen for disparity,false_negative_rate,30,WA,0.7360406091370558,1815,145,PA,0.5584045584045584,0.7586599862461931,True,3.859746017387795e-05,True,True,True,True,0.05572165507412514
delinquency,credit_score_band,risk factor (gap expected),selection_rate,6,<620,0.1529568697198755,2249,344,800+,0.010692177827799663,0.06990322074046931,True,3.3479891433737416e-55,True,True,True,False,0.05572165507412514
delinquency,ltv_band,risk factor (gap expected),selection_rate,5,90-97%,0.12578202173197234,3037,382,<60%,0.02367109634551495,0.18819141256892383,True,2.3792080871413837e-73,True,True,True,False,0.05572165507412514
delinquency,credit_score_band,risk factor (gap expected),false_positive_rate,6,620-659,0.02652422177196537,7173,144,800+,0.00812536273940801,0.3063374605017089,True,5.9811152705736166e-06,True,True,True,False,0.05572165507412514
delinquency,ltv_band,risk factor (gap expected),false_positive_rate,5,80-90%,0.0236186535643479,13895,274,<60%,0.012636165577342049,0.5350078717618434,True,8.82569141233744e-06,True,True,True,False,0.05572165507412514
delinquency,credit_score_band,risk factor (gap expected),false_negative_rate,6,800+,0.9074074074074074,1777,49,<620,0.5276923076923077,0.5815384615384616,True,6.764715912767182e-08,True,True,True,False,0.05572165507412514
delinquency,vintage_year,risk factor (gap expected),false_positive_rate,6,2018,0.022211253701875617,2298,45,2023,0.013628620102214651,0.6135907628241529,True,0.004458136636340683,True,True,True,False,0.05572165507412514
delinquency,ltv_band,risk factor (gap expected),false_negative_rate,5,<60%,0.7522123893805309,4816,170,90-97%,0.5555555555555556,0.738562091503268,True,1.2649792289086289e-07,True,True,True,False,0.05572165507412514
delinquency,vintage_year,risk factor (gap expected),selection_rate,6,2018,0.06353350739773717,2298,146,2023,0.048875562218890556,0.7692879587603458,True,0.004182925031491125,True,True,True,False,0.05572165507412514
delinquency,servicer_name,screen for disparity,selection_rate,5,Meridian Residential Capital,0.06096689688020957,12597,768,Northgate Financial Servicing,0.05173506575819997,0.8485763324948503,False,0.0014781530211494828,True,True,True,False,0.05572165507412514
delinquency,vintage_year,risk factor (gap expected),false_negative_rate,6,2023,0.6925,10005,831,2019,0.615866388308977,0.8893377448505083,False,0.00019161833722584415,True,True,True,False,0.05572165507412514
delinquency,servicer_name,screen for disparity,false_positive_rate,5,Atlas Mortgage Services,0.01962289907004522,13276,230,Northgate Financial Servicing,0.015948541721737597,0.8127515544368973,False,0.03492427310597527,True,False,True,False,0.05572165507412514
delinquency,servicer_name,screen for disparity,false_negative_rate,5,Beacon Home Loans,0.665955934612651,12641,937,Meridian Residential Capital,0.6269153897401732,0.9413766844871119,False,0.027820777996758157,True,False,True,False,0.05572165507412514
default,state,screen for disparity,false_positive_rate,30,WI,0.12165898617511521,1184,132,OK,0.011396011396011397,0.093671760338427,True,2.4207963089656015e-17,True,True,True,True,0.09665650371689904
default,state,screen for disparity,selection_rate,30,WI,0.17398648648648649,1184,206,UT,0.0375234521575985,0.21566877356600306,True,1.0074044029848555e-14,True,True,True,True,0.09665650371689904
default,state,screen for disparity,false_negative_rate,30,CO,0.7282608695652174,996,67,WI,0.25252525252525254,0.34675109301974977,True,4.871957861377025e-11,True,True,True,True,0.09665650371689904
default,servicer_name,screen for disparity,false_positive_rate,5,Atlas Mortgage Services,0.06753151163860521,11970,734,Northgate Financial Servicing,0.049454264464406456,0.7323138970894192,True,2.1511777994735965e-08,True,True,True,True,0.09665650371689904
default,servicer_name,screen for disparity,selection_rate,5,Atlas Mortgage Services,0.11211361737677528,11970,1342,Cornerstone Loan Servicing,0.08403223154086499,0.7495274303607704,True,2.1806971241191845e-13,True,True,True,True,0.09665650371689904
default,servicer_name,screen for disparity,false_negative_rate,5,Cornerstone Loan Servicing,0.563041385948027,12162,585,Atlas Mortgage Services,0.4477747502270663,0.7952785734802083,True,9.812592657374589e-08,True,True,True,True,0.09665650371689904
default,credit_score_band,risk factor (gap expected),selection_rate,6,<620,0.6121408711770158,2158,1321,800+,0.0018796992481203006,0.003070697182016358,True,0.0,True,True,True,False,0.09665650371689904
default,credit_score_band,risk factor (gap expected),false_positive_rate,6,<620,0.5466377440347071,2158,756,800+,0.0018796992481203006,0.003438656164220074,True,7.871776277524136e-254,True,True,True,False,0.09665650371689904
