model,segment,group,records,actual_positives,actual_negatives,flagged,false_positives,false_negatives,true_positives,selection_rate,precision,recall,false_positive_rate,false_negative_rate
delinquency,credit_score_band,620-659,7173.0,1744.0,5429.0,1035.0,220.0,929.0,815.0,0.14429109159347553,0.7874396135265701,0.4673165137614679,0.04052311659605821,0.5326834862385321
delinquency,credit_score_band,<620,2249.0,650.0,1599.0,387.0,62.0,325.0,325.0,0.17207647843485993,0.8397932816537468,0.5,0.03877423389618512,0.5
delinquency,credit_score_band,660-699,18417.0,2507.0,15910.0,1278.0,390.0,1619.0,888.0,0.06939240918716404,0.6948356807511737,0.3542082169924212,0.02451288497800126,0.6457917830075788
delinquency,credit_score_band,700-739,20820.0,1539.0,19281.0,725.0,329.0,1143.0,396.0,0.034822286263208456,0.5462068965517242,0.2573099415204678,0.01706343032000415,0.7426900584795322
delinquency,credit_score_band,740-799,14117.0,693.0,13424.0,321.0,169.0,541.0,152.0,0.022738542183183396,0.4735202492211838,0.21933621933621933,0.012589392133492253,0.7806637806637806
delinquency,credit_score_band,800+,1777.0,54.0,1723.0,22.0,17.0,49.0,5.0,0.012380416432189083,0.22727272727272727,0.09259259259259259,0.009866511897852582,0.9074074074074074
delinquency,ltv_band,90-97%,3037.0,738.0,2299.0,469.0,128.0,397.0,341.0,0.15442871254527493,0.7270788912579957,0.462059620596206,0.05567638103523271,0.537940379403794
delinquency,ltv_band,80-90%,13895.0,2294.0,11601.0,1245.0,307.0,1356.0,938.0,0.08960057574667146,0.7534136546184739,0.40889276373147343,0.026463235927937246,0.5911072362685266
delinquency,ltv_band,75-80%,12435.0,1426.0,11009.0,724.0,224.0,926.0,500.0,0.058222758343385604,0.6906077348066298,0.3506311360448808,0.0203469888273231,0.6493688639551192
delinquency,ltv_band,60-75%,30370.0,2503.0,27867.0,1211.0,467.0,1759.0,744.0,0.03987487652288443,0.6143682906688687,0.2972433080303636,0.016758172749129795,0.7027566919696364
delinquency,ltv_band,<60%,4816.0,226.0,4590.0,119.0,61.0,168.0,58.0,0.024709302325581394,0.48739495798319327,0.25663716814159293,0.013289760348583878,0.7433628318584071
delinquency,vintage_year,2018,2298.0,272.0,2026.0,149.0,48.0,171.0,101.0,0.06483899042645778,0.6778523489932886,0.3713235294117647,0.023692003948667325,0.6286764705882353
delinquency,vintage_year,2022,17090.0,1989.0,15101.0,1106.0,349.0,1232.0,757.0,0.06471620830895261,0.6844484629294756,0.3805932629462041,0.023111052248195485,0.6194067370537959
delinquency,vintage_year,2021,14160.0,1575.0,12585.0,791.0,260.0,1044.0,531.0,0.05586158192090396,0.6713021491782554,0.33714285714285713,0.020659515295987287,0.6628571428571428
delinquency,vintage_year,2019,9531.0,958.0,8573.0,544.0,174.0,588.0,370.0,0.05707690693526388,0.6801470588235294,0.3862212943632568,0.020296279015513823,0.6137787056367432
delinquency,vintage_year,2020,11469.0,1193.0,10276.0,644.0,200.0,749.0,444.0,0.05615136454791176,0.6894409937888198,0.3721709974853311,0.01946282600233554,0.6278290025146689
delinquency,vintage_year,2023,10005.0,1200.0,8805.0,534.0,156.0,822.0,378.0,0.05337331334332834,0.7078651685393258,0.315,0.017717206132879047,0.685
delinquency,state,MI,2115.0,265.0,1850.0,168.0,52.0,149.0,116.0,0.07943262411347518,0.6904761904761905,0.4377358490566038,0.02810810810810811,0.5622641509433962
delinquency,state,MN,1254.0,183.0,1071.0,88.0,29.0,124.0,59.0,0.07017543859649122,0.6704545454545454,0.3224043715846995,0.02707749766573296,0.6775956284153005
delinquency,state,GA,2369.0,269.0,2100.0,151.0,56.0,174.0,95.0,0.06373997467285775,0.6291390728476821,0.35315985130111527,0.02666666666666667,0.6468401486988847
delinquency,state,MA,1581.0,184.0,1397.0,103.0,36.0,117.0,67.0,0.06514864010120178,0.6504854368932039,0.3641304347826087,0.025769506084466716,0.6358695652173914
delinquency,state,AL,952.0,91.0,861.0,58.0,22.0,55.0,36.0,0.06092436974789916,0.6206896551724138,0.3956043956043956,0.025551684088269456,0.6043956043956044
delinquency,state,CA,8064.0,950.0,7114.0,516.0,177.0,611.0,339.0,0.06398809523809523,0.6569767441860465,0.3568421052631579,0.024880517289851,0.6431578947368422
delinquency,state,WA,1815.0,197.0,1618.0,91.0,39.0,145.0,52.0,0.050137741046831955,0.5714285714285714,0.2639593908629442,0.024103831891223733,0.7360406091370558
