model,segment,kind,group,records,actual_positives,actual_negatives,flagged,false_positives,false_negatives,true_positives,selection_rate,precision,recall,false_positive_rate,false_negative_rate
delinquency,credit_score_band,risk factor (gap expected),620-659,7173.0,1744.0,5429.0,950.0,144.0,938.0,806.0,0.13244109856405967,0.848421052631579,0.46215596330275227,0.02652422177196537,0.5378440366972477
delinquency,credit_score_band,risk factor (gap expected),660-699,18417.0,2507.0,15910.0,1261.0,375.0,1621.0,886.0,0.06846934897105934,0.7026169706582077,0.3534104507379338,0.023570081709616594,0.6465895492620662
delinquency,credit_score_band,risk factor (gap expected),<620,2249.0,650.0,1599.0,344.0,37.0,343.0,307.0,0.1529568697198755,0.8924418604651163,0.4723076923076923,0.023139462163852407,0.5276923076923077
delinquency,credit_score_band,risk factor (gap expected),700-739,20820.0,1539.0,19281.0,725.0,329.0,1143.0,396.0,0.034822286263208456,0.5462068965517242,0.2573099415204678,0.01706343032000415,0.7426900584795322
delinquency,credit_score_band,risk factor (gap expected),740-799,14117.0,693.0,13424.0,298.0,151.0,546.0,147.0,0.021109300842955304,0.49328859060402686,0.21212121212121213,0.011248510131108462,0.7878787878787878
delinquency,credit_score_band,risk factor (gap expected),800+,1777.0,54.0,1723.0,19.0,14.0,49.0,5.0,0.010692177827799663,0.2631578947368421,0.09259259259259259,0.00812536273940801,0.9074074074074074
delinquency,ltv_band,risk factor (gap expected),80-90%,13895.0,2294.0,11601.0,1197.0,274.0,1371.0,923.0,0.08614609571788413,0.77109440267335,0.4023539668700959,0.0236186535643479,0.597646033129904
delinquency,ltv_band,risk factor (gap expected),90-97%,3037.0,738.0,2299.0,382.0,54.0,410.0,328.0,0.12578202173197234,0.8586387434554974,0.4444444444444444,0.0234884732492388,0.5555555555555556
delinquency,ltv_band,risk factor (gap expected),75-80%,12435.0,1426.0,11009.0,717.0,217.0,926.0,500.0,0.05765983112183353,0.697350069735007,0.3506311360448808,0.01971114542646925,0.6493688639551192
delinquency,ltv_band,risk factor (gap expected),60-75%,30370.0,2503.0,27867.0,1187.0,447.0,1763.0,740.0,0.03908462298320711,0.6234203875315922,0.29564522572912505,0.0160404779847131,0.7043547742708749
delinquency,ltv_band,risk factor (gap expected),<60%,4816.0,226.0,4590.0,114.0,58.0,170.0,56.0,0.02367109634551495,0.49122807017543857,0.24778761061946902,0.012636165577342049,0.7522123893805309
delinquency,vintage_year,risk factor (gap expected),2018,2298.0,272.0,2026.0,146.0,45.0,171.0,101.0,0.06353350739773717,0.6917808219178082,0.3713235294117647,0.022211253701875617,0.6286764705882353
delinquency,vintage_year,risk factor (gap expected),2019,9531.0,958.0,8573.0,537.0,169.0,590.0,368.0,0.056342461441611584,0.6852886405959032,0.38413361169102295,0.019713052607022045,0.615866388308977
delinquency,vintage_year,risk factor (gap expected),2021,14160.0,1575.0,12585.0,771.0,242.0,1046.0,529.0,0.05444915254237288,0.6861219195849546,0.3358730158730159,0.019229241160111245,0.6641269841269841
delinquency,vintage_year,risk factor (gap expected),2020,11469.0,1193.0,10276.0,638.0,195.0,750.0,443.0,0.055628215188769724,0.6943573667711599,0.37133277451802177,0.01897625535227715,0.6286672254819782
delinquency,vintage_year,risk factor (gap expected),2022,17090.0,1989.0,15101.0,1016.0,279.0,1252.0,737.0,0.059449970743124636,0.7253937007874016,0.3705379587732529,0.01847559764254023,0.6294620412267471
delinquency,vintage_year,risk factor (gap expected),2023,10005.0,1200.0,8805.0,489.0,120.0,831.0,369.0,0.048875562218890556,0.754601226993865,0.3075,0.013628620102214651,0.6925
delinquency,state,screen for disparity,MN,1254.0,183.0,1071.0,87.0,28.0,124.0,59.0,0.06937799043062201,0.6781609195402298,0.3224043715846995,0.026143790849673203,0.6775956284153005
delinquency,state,screen for disparity,AL,952.0,91.0,861.0,58.0,22.0,55.0,36.0,0.06092436974789916,0.6206896551724138,0.3956043956043956,0.025551684088269456,0.6043956043956044
delinquency,state,screen for disparity,MA,1581.0,184.0,1397.0,100.0,33.0,117.0,67.0,0.06325110689437065,0.67,0.3641304347826087,0.023622047244094488,0.6358695652173914
delinquency,state,screen for disparity,WA,1815.0,197.0,1618.0,89.0,37.0,145.0,52.0,0.049035812672176306,0.5842696629213483,0.2639593908629442,0.022867737948084055,0.7360406091370558
delinquency,state,screen for disparity,CA,8064.0,950.0,7114.0,491.0,158.0,617.0,333.0,0.060887896825396824,0.6782077393075356,0.3505263157894737,0.022209727298285072,0.6494736842105263
delinquency,state,screen for disparity,UT,569.0,47.0,522.0,25.0,11.0,33.0,14.0,0.043936731107205626,0.56,0.2978723404255319,0.0210727969348659,0.7021276595744681
delinquency,state,screen for disparity,AZ,1652.0,179.0,1473.0,87.0,31.0,123.0,56.0,0.0526634382566586,0.6436781609195402,0.3128491620111732,0.021045485403937542,0.6871508379888268
delinquency,state,screen for disparity,TX,6519.0,759.0,5760.0,379.0,116.0,496.0,263.0,0.058137751188832645,0.6939313984168866,0.3465085638998682,0.02013888888888889,0.6534914361001317
delinquency,state,screen for disparity,MO,1433.0,181.0,1252.0,81.0,25.0,125.0,56.0,0.056524773203070484,0.691358024691358,0.30939226519337015,0.019968051118210862,0.6906077348066298
delinquency,state,screen for disparity,GA,2369.0,269.0,2100.0,132.0,40.0,177.0,92.0,0.05571971295905445,0.696969696969697,0.3420074349442379,0.01904761904761905,0.6579925650557621
delinquency,state,screen for disparity,LA,849.0,108.0,741.0,52.0,14.0,70.0,38.0,0.061248527679623084,0.7307692307692307,0.35185185185185186,0.018893387314439947,0.6481481481481481
delinquency,state,screen for disparity,IN,1280.0,157.0,1123.0,81.0,21.0,97.0,60.0,0.06328125,0.7407407407407407,0.3821656050955414,0.018699910952804988,0.6178343949044586
delinquency,state,screen for disparity,NJ,1849.0,217.0,1632.0,117.0,30.0,130.0,87.0,0.06327744726879395,0.7435897435897436,0.4009216589861751,0.01838235294117647,0.5990783410138248
delinquency,state,screen for disparity,CT,622.0,66.0,556.0,29.0,10.0,47.0,19.0,0.04662379421221865,0.6551724137931034,0.2878787878787879,0.017985611510791366,0.7121212121212122
delinquency,state,screen for disparity,NY,3862.0,362.0,3500.0,168.0,62.0,256.0,106.0,0.04350077679958571,0.6309523809523809,0.292817679558011,0.017714285714285714,0.7071823204419889
delinquency,state,screen for disparity,KY,910.0,115.0,795.0,61.0,14.0,68.0,47.0,0.06703296703296703,0.7704918032786885,0.40869565217391307,0.01761006289308176,0.591304347826087
delinquency,state,screen for disparity,OR,1057.0,90.0,967.0,41.0,17.0,66.0,24.0,0.03878902554399243,0.5853658536585366,0.26666666666666666,0.017580144777662874,0.7333333333333333
delinquency,state,screen for disparity,IL,2629.0,274.0,2355.0,141.0,41.0,174.0,100.0,0.053632559908710534,0.7092198581560284,0.36496350364963503,0.01740976645435244,0.635036496350365
delinquency,state,screen for disparity,VA,1903.0,212.0,1691.0,106.0,29.0,135.0,77.0,0.05570152390961639,0.7264150943396226,0.3632075471698113,0.01714961561206387,0.6367924528301887
delinquency,state,screen for disparity,PA,2687.0,351.0,2336.0,195.0,40.0,196.0,155.0,0.07257164123557872,0.7948717948717948,0.4415954415954416,0.017123287671232876,0.5584045584045584
delinquency,state,screen for disparity,SC,905.0,78.0,827.0,38.0,14.0,54.0,24.0,0.041988950276243095,0.631578947368421,0.3076923076923077,0.016928657799274487,0.6923076923076923
delinquency,state,screen for disparity,FL,6649.0,755.0,5894.0,368.0,98.0,485.0,270.0,0.05534666867198075,0.7336956521739131,0.3576158940397351,0.0166270783847981,0.6423841059602649
delinquency,state,screen for disparity,MI,2115.0,265.0,1850.0,145.0,30.0,150.0,115.0,0.06855791962174941,0.7931034482758621,0.4339622641509434,0.016216216216216217,0.5660377358490566
delinquency,state,screen for disparity,TN,1485.0,148.0,1337.0,69.0,21.0,100.0,48.0,0.046464646464646465,0.6956521739130435,0.32432432432432434,0.015706806282722512,0.6756756756756757
delinquency,state,screen for disparity,NC,2294.0,259.0,2035.0,129.0,30.0,160.0,99.0,0.05623365300784656,0.7674418604651163,0.38223938223938225,0.014742014742014743,0.6177606177606177
delinquency,state,screen for disparity,WI,1335.0,122.0,1213.0,59.0,16.0,79.0,43.0,0.044194756554307116,0.7288135593220338,0.3524590163934426,0.013190436933223413,0.6475409836065574
delinquency,state,screen for disparity,MD,1275.0,125.0,1150.0,60.0,15.0,80.0,45.0,0.047058823529411764,0.75,0.36,0.013043478260869565,0.64
delinquency,state,screen for disparity,OK,847.0,91.0,756.0,46.0,9.0,54.0,37.0,0.05430932703659976,0.8043478260869565,0.4065934065934066,0.011904761904761904,0.5934065934065934
delinquency,state,screen for disparity,OH,2744.0,256.0,2488.0,119.0,29.0,166.0,90.0,0.04336734693877551,0.7563025210084033,0.3515625,0.011655948553054662,0.6484375
delinquency,state,screen for disparity,CO,1048.0,96.0,952.0,44.0,9.0,61.0,35.0,0.04198473282442748,0.7954545454545454,0.3645833333333333,0.009453781512605041,0.6354166666666666
delinquency,servicer_name,screen for disparity,Atlas Mortgage Services,13276.0,1555.0,11721.0,790.0,230.0,995.0,560.0,0.05950587526363362,0.7088607594936709,0.36012861736334406,0.01962289907004522,0.639871382636656
delinquency,servicer_name,screen for disparity,Beacon Home Loans,12641.0,1407.0,11234.0,690.0,220.0,937.0,470.0,0.05458428921762519,0.6811594202898551,0.334044065387349,0.019583407512907245,0.665955934612651
delinquency,servicer_name,screen for disparity,Meridian Residential Capital,12597.0,1501.0,11096.0,768.0,208.0,941.0,560.0,0.06096689688020957,0.7291666666666666,0.37308461025982675,0.018745493871665464,0.6269153897401732
