feature,feature_value,shap_value,direction
days_past_due,99.0,2.298950016482744,raises risk
credit_score,642.0,1.2928454517824202,raises risk
status_ordinal,4.0,0.4596377054828427,raises risk
credit_score_band,620-659,0.33766997696036877,raises risk
ltv,86.27,0.2633216411616273,raises risk
dpd_lag_1m,66.0,0.1418934347120034,raises risk
is_delinquent,1.0,0.1189257506616379,raises risk
dpd_delta_3m,99.0,0.11012255900660899,raises risk
dpd_delta_1m,33.0,0.10455347233841092,raises risk
ltv_band,80-90%,0.09260192945603142,raises risk
interest_rate,6.33,-0.06917225649104272,lowers risk
paydown_1m,0.0,0.05850498435662631,raises risk
