feature,feature_value,shap_value,direction
months_since_delinquency,0.0,1.7892000106733763,raises risk
days_past_due,104.0,1.107385396444166,raises risk
status_ordinal,4.0,0.2776588337463364,raises risk
is_delinquent,1.0,0.21795097988652382,raises risk
ltv,92.3,0.1778929702530341,raises risk
dpd_lag_1m,78.0,0.1674508778142801,raises risk
dpd_mean_3m,74.0,0.11724520144084306,raises risk
dpd_delta_1m,26.0,0.09126022684161249,raises risk
credit_score_band,660-699,0.08979126798938242,raises risk
credit_score,668.0,0.06775661538219123,raises risk
paydown_1m,0.0,0.06277038425365083,raises risk
dpd_max_12m,104.0,-0.06017438685391198,lowers risk
