feature,feature_value,shap_value,direction
months_since_delinquency,0.0,1.8243941333536857,raises risk
days_past_due,111.0,0.97631766308882,raises risk
status_ordinal,4.0,0.28520213512620207,raises risk
credit_score,660.0,0.1856282427503229,raises risk
dpd_lag_1m,82.0,0.16727432695395136,raises risk
is_delinquent,1.0,0.14676198531232154,raises risk
dpd_mean_12m,31.5,0.11881682297518151,raises risk
ltv,82.14,0.11469650914338632,raises risk
credit_score_band,620-659,0.10102267923292606,raises risk
dpd_delta_1m,29.0,0.08881881243842889,raises risk
modified_ever,1.0,0.07119701697252168,raises risk
dpd_mean_3m,76.0,0.06497471422643528,raises risk
