feature,feature_value,shap_value,direction
credit_score,638.0,-0.915509540331576,lowers risk
dpd_mean_12m,31.583333333333332,-0.31737905538438627,lowers risk
state,MN,0.25958314924790876,raises risk
dpd_max_6m,84.0,-0.2512224550345808,lowers risk
dpd_max_12m,84.0,-0.22652012095579793,lowers risk
interest_rate,6.18,-0.13577322136080616,lowers risk
original_balance,266000.0,0.06455538209241637,raises risk
ltv,76.71,0.033902212039907946,raises risk
paydown_6m,-0.0010162349921574165,-0.032899404843760305,lowers risk
dpd_mean_6m,42.5,-0.023890881955795286,lowers risk
rate_spread,1.3594999999999997,0.014775065983002652,raises risk
current_balance,263381.72,0.014636111425997583,raises risk
