bin,records,mean_predicted,observed_rate,gap,model
"(-0.001, 0.1]",46209,0.05784089353194813,0.059793546711679545,-0.0019526531797314159,delinquency
"(0.1, 0.2]",14389,0.1337517030254968,0.12599902703454027,0.007752675990956526,delinquency
"(0.2, 0.3]",426,0.2258435077240242,0.20892018779342722,0.01692331993059698,delinquency
"(0.3, 0.4]",1,0.33273337970041617,0.0,0.33273337970041617,delinquency
"(0.4, 0.5]",922,0.44787110086234144,0.4316702819956616,0.016200818866679845,delinquency
"(0.5, 0.6]",51,0.5916379776060379,0.6078431372549019,-0.016205159648864043,delinquency
"(0.6, 0.7]",638,0.6365080844311171,0.6269592476489029,0.009548836782214187,delinquency
"(0.7, 0.8]",554,0.7514960009204151,0.7725631768953068,-0.021067175974891716,delinquency
"(0.8, 0.9]",489,0.852832571083835,0.869120654396728,-0.016288083312892998,delinquency
"(0.9, 1.0]",874,0.9519547723113676,0.9610983981693364,-0.009143625857968796,delinquency
"(-0.001, 0.1]",46593,0.028199279603912702,0.031871740390187364,-0.0036724607862746624,default
"(0.1, 0.2]",5902,0.1451767992262793,0.1724839037614368,-0.0273071045351575,default
"(0.2, 0.3]",3870,0.26752792030582645,0.26175710594315243,0.005770814362674015,default
"(0.3, 0.4]",232,0.35794468113833555,0.45689655172413796,-0.0989518705858024,default
"(0.4, 0.5]",12,0.5,0.6666666666666666,-0.16666666666666663,default
"(0.5, 0.6]",285,0.5749684718824352,0.5508771929824562,0.024091278899978974,default
"(0.6, 0.7]",81,0.6801339336483058,0.691358024691358,-0.01122409104305222,default
"(0.7, 0.8]",543,0.7317476410209376,0.7458563535911602,-0.014108712570222615,default
"(0.8, 0.9]",280,0.8667625071880392,0.9035714285714286,-0.036808921383389426,default
"(0.9, 1.0]",584,0.9717774356986397,0.9623287671232876,0.009448668575352093,default
"(-0.001, 0.1]",55545,0.08220897209694455,0.08965703483661895,-0.0074480627396743965,prepayment
"(0.1, 0.2]",2837,0.11619654499859684,0.08741628480789566,0.02878026019070118,prepayment
