column,dtype,n_missing,pct_missing,n_unique,top_values,is_constant,mean,std,min,p01,p25,p50,p75,p99,max,skew,n_zero,n_negative,n_true,pct_true
loan_id,object,0,0.0,10000,7QQM1UJV6V2F=62 (0.0%); XFVSFD44QQD5=62 (0.0%); BV2N8A1RB1FU=61 (0.0%); Y0LBUKYQYFQC=60 (0.0%); LK4LE2STYIT9=60 (0.0%),False,,,,,,,,,,,,,,
month_index,int64,0,0.0,62,,,18.8734,14.7273,0.0,0.0,7.0,16.0,29.0,56.0,61.0,0.737,10000.0,0.0,,
reporting_month,datetime64[ns],0,0.0,84,,,,,2017-01-01 00:00:00,,,,,,2023-12-01 00:00:00,,,,,
origination_month,datetime64[ns],0,0.0,72,,,,,2018-01-01 00:00:00,,,,,,2023-12-01 00:00:00,,,,,
loan_age_months,int64,0,0.0,62,,,18.8734,14.7273,0.0,0.0,7.0,16.0,29.0,56.0,61.0,0.737,10000.0,0.0,,
remaining_term_months,int64,0,0.0,180,,,307.66,67.2042,121.0,136.0,311.0,338.0,351.0,360.0,360.0,-1.4364,0.0,0.0,,
original_balance,float64,0,0.0,673,,,349285.5608,123000.1167,101000.0,150000.0,262000.0,328000.0,414000.0,742000.0,1000000.0,1.1021,0.0,0.0,,
current_balance,float64,0,0.0,241645,,,332755.8077,125763.7301,0.0,0.0,249518.79,315837.77,398052.52,721050.3964000007,1184702.9,0.7959,3813.0,0.0,,
interest_rate,float64,0,0.0,4259,,,4.5356,1.0378,2.57,2.903,3.708,4.476,5.111,7.601,8.836,0.7945,0.0,0.0,,
credit_score_band,object,0,0.0,6,700-739=83037 (31.0%); 660-699=77806 (29.0%); 740-799=56905 (21.2%); 620-659=32673 (12.2%); <620=10446 (3.9%),False,,,,,,,,,,,,,,
ltv_band,object,0,0.0,5,60-75%=126411 (47.1%); 80-90%=58374 (21.8%); 75-80%=51779 (19.3%); <60%=18403 (6.9%); 90-97%=13158 (4.9%),False,,,,,,,,,,,,,,
dti_band,object,0,0.0,4,36-43%=83579 (31.2%); 30-36%=74201 (27.7%); <30%=66250 (24.7%); >43%=44095 (16.4%),False,,,,,,,,,,,,,,
state,object,0,0.0,30,CA=33266 (12.4%); TX=27749 (10.3%); FL=26949 (10.1%); NY=15620 (5.8%); OH=11989 (4.5%),False,,,,,,,,,,,,,,
loan_purpose,object,0,0.0,3,Home Purchase=162291 (60.5%); Rate/Term Refinance=65213 (24.3%); Cash-Out Refinance=40621 (15.2%),False,,,,,,,,,,,,,,
property_type,object,0,0.0,3,Single-Family Detached=199042 (74.2%); Condominium=42134 (15.7%); PUD=26949 (10.1%),False,,,,,,,,,,,,,,
occupancy_type,object,0,0.0,3,Primary Residence=227744 (84.9%); Investment Property=26651 (9.9%); Second Home=13730 (5.1%),False,,,,,,,,,,,,,,
servicer_name,object,0,0.0,5,Cornerstone Loan Servicing=54508 (20.3%); Meridian Residential Capital=54208 (20.2%); Atlas Mortgage Services=53903 (20.1%); Beacon Home Loans=52795 (19.7%); Northgate Financial Servicing=52711 (19.7%),False,,,,,,,,,,,,,,
vintage_year,int64,0,0.0,6,,,2019.728,1.4576,2018.0,2018.0,2018.0,2020.0,2021.0,2023.0,2023.0,0.4794,0.0,0.0,,
current_status,object,0,0.0,6,Current=247973 (92.5%); 30-DPD=8456 (3.2%); 90-DPD=4441 (1.7%); 60-DPD=3442 (1.3%); Prepaid=1965 (0.7%),False,,,,,,,,,,,,,,
days_past_due,int64,0,0.0,182,,,5.2354,22.0567,0.0,0.0,0.0,0.0,0.0,114.0,210.0,5.031,249938.0,0.0,,
modification_flag,bool,0,0.0,2,,,,,,,,,,,,,,,4570.0,1.704
prepayment_flag,int64,0,0.0,2,,,0.0073,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5525,266160.0,0.0,,
default_flag,int64,0,0.0,2,,,0.0069,0.0827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.9205,266277.0,0.0,,
loss_severity_band,object,266277,99.311,3,Medium=832 (0.3%); Low=632 (0.2%); High=384 (0.1%),False,,,,,,,,,,,,,,
last_updated_at,datetime64[ns],0,0.0,1997,,,,,2018-01-03 00:00:00,,,,,,2025-06-21 00:00:00,,,,,
source_system,object,0,0.0,3,CoreServicing=193514 (72.2%); VendorAPI=49582 (18.5%); LegacySFTP=25029 (9.3%),False,,,,,,,,,,,,,,
document_status,object,0,0.0,3,Complete=236450 (88.2%); Pending=24502 (9.1%); Missing=7173 (2.7%),False,,,,,,,,,,,,,,
next_3m_delinquency_flag,float64,2450,0.914,2,,,0.1116,0.3148,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.4678,236038.0,0.0,,
next_6m_delinquency_flag,float64,5390,2.01,2,,,0.082,0.2743,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0479,241200.0,0.0,,
next_12m_default_flag,float64,12913,4.816,2,,,0.0861,0.2805,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9509,233236.0,0.0,,
next_12m_prepayment_flag,float64,12913,4.816,2,,,0.0852,0.2791,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9724,233477.0,0.0,,
next_state,object,767,0.286,6,Current=243378 (90.8%); 30-DPD=8650 (3.2%); Prepaid=4636 (1.7%); Default=4386 (1.6%); 60-DPD=3500 (1.3%),False,,,,,,,,,,,,,,
exception_required,bool,0,0.0,2,,,,,,,,,,,,,,,7046.0,2.628
exception_type,object,261079,97.372,4,Balance Discrepancy=2316 (0.9%); Time Travel=1724 (0.6%); Impossible State Transition=1687 (0.6%); Zombie Loan=1319 (0.5%),False,,,,,,,,,,,,,,
vintage_quarter,object,0,0.0,24,2018Q1=18049 (6.7%); 2018Q4=17746 (6.6%); 2019Q2=17430 (6.5%); 2018Q3=17056 (6.4%); 2018Q2=16349 (6.1%),False,,,,,,,,,,,,,,
credit_score,int64,0,0.0,302,,,705.8546,48.1487,512.0,590.0,674.0,706.0,738.0,818.0,850.0,-0.0428,0.0,0.0,,
ltv,float64,0,0.0,3685,,,74.1603,9.52,41.71,51.44,67.82,74.03,80.55,95.69,99.87,-0.05,0.0,0.0,,
dti,float64,0,0.0,3074,,,35.4111,7.6173,15.0,18.02,30.11,35.53,40.63,52.01,54.91,-0.0598,0.0,0.0,,
original_term_months,int64,0,0.0,3,,,326.526,65.5444,180.0,180.0,360.0,360.0,360.0,360.0,360.0,-1.5378,0.0,0.0,,
