column,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,vintage_year,days_past_due,prepayment_flag,default_flag,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,credit_score,ltv,dti,original_term_months
month_index,1.0,1.0,-0.6413,0.0057,-0.0759,-0.1148,-0.3714,0.018,0.0087,0.014,-0.0101,-0.012,-0.0139,0.0228,0.0944,-0.077,-0.0463,-0.0006
loan_age_months,1.0,1.0,-0.6413,0.0057,-0.0759,-0.1148,-0.3714,0.018,0.0087,0.014,-0.0101,-0.012,-0.0139,0.0228,0.0944,-0.077,-0.0463,-0.0006
remaining_term_months,-0.6413,-0.6413,1.0,-0.0044,0.0728,0.0533,0.2477,-0.0126,-0.0075,-0.0096,0.0046,0.0071,0.0107,-0.0248,-0.0513,0.0423,0.0167,0.7156
original_balance,0.0057,0.0057,-0.0044,1.0,0.9612,-0.0153,-0.0073,-0.0029,0.0022,-0.002,-0.0031,-0.007,-0.0078,0.0129,0.0095,-0.0014,-0.011,0.0006
current_balance,-0.0759,-0.0759,0.0728,0.9612,1.0,-0.0067,0.0224,-0.0439,-0.1467,-0.1422,0.0096,0.0048,0.0042,0.0184,0.0089,-0.0016,-0.0109,0.05
interest_rate,-0.1148,-0.1148,0.0533,-0.0153,-0.0067,1.0,-0.1574,0.0611,-0.006,0.0341,0.0786,0.106,0.131,-0.0182,-0.3351,0.127,0.1369,-0.0301
vintage_year,-0.3714,-0.3714,0.2477,-0.0073,0.0224,-0.1574,1.0,-0.0061,-0.0035,-0.0033,0.0019,0.0037,-0.0002,-0.0162,-0.0415,0.0449,0.0207,0.0147
days_past_due,0.018,0.018,-0.0126,-0.0029,-0.0439,0.0611,-0.0061,1.0,-0.0232,0.3287,0.3969,0.4284,0.3563,-0.0384,-0.1609,0.1068,0.0711,-0.0012
prepayment_flag,0.0087,0.0087,-0.0075,0.0022,-0.1467,-0.006,-0.0035,-0.0232,1.0,-0.0072,-0.0306,-0.0259,-0.027,-0.0269,0.0171,-0.0073,-0.0102,-0.0029
default_flag,0.014,0.014,-0.0096,-0.002,-0.1422,0.0341,-0.0033,0.3287,-0.0072,1.0,-0.0297,-0.0251,-0.0262,-0.0261,-0.0849,0.056,0.0383,-0.0006
next_3m_delinquency_flag,-0.0101,-0.0101,0.0046,-0.0031,0.0096,0.0786,0.0019,0.3969,-0.0306,-0.0297,1.0,0.6566,0.506,-0.0468,-0.2006,0.1331,0.0893,-0.0023
next_6m_delinquency_flag,-0.012,-0.012,0.0071,-0.007,0.0048,0.106,0.0037,0.4284,-0.0259,-0.0251,0.6566,1.0,0.7446,-0.078,-0.2524,0.1664,0.1135,0.0001
next_12m_default_flag,-0.0139,-0.0139,0.0107,-0.0078,0.0042,0.131,-0.0002,0.3563,-0.027,-0.0262,0.506,0.7446,1.0,-0.0937,-0.3038,0.1996,0.1371,0.0014
next_12m_prepayment_flag,0.0228,0.0228,-0.0248,0.0129,0.0184,-0.0182,-0.0162,-0.0384,-0.0269,-0.0261,-0.0468,-0.078,-0.0937,1.0,0.0696,-0.0345,-0.0383,-0.0121
credit_score,0.0944,0.0944,-0.0513,0.0095,0.0089,-0.3351,-0.0415,-0.1609,0.0171,-0.0849,-0.2006,-0.2524,-0.3038,0.0696,1.0,-0.4047,-0.3986,0.0171
ltv,-0.077,-0.077,0.0423,-0.0014,-0.0016,0.127,0.0449,0.1068,-0.0073,0.056,0.1331,0.1664,0.1996,-0.0345,-0.4047,1.0,0.2743,-0.0115
dti,-0.0463,-0.0463,0.0167,-0.011,-0.0109,0.1369,0.0207,0.0711,-0.0102,0.0383,0.0893,0.1135,0.1371,-0.0383,-0.3986,0.2743,1.0,-0.0234
original_term_months,-0.0006,-0.0006,0.7156,0.0006,0.05,-0.0301,0.0147,-0.0012,-0.0029,-0.0006,-0.0023,0.0001,0.0014,-0.0121,0.0171,-0.0115,-0.0234,1.0
