loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type,servicer_name,vintage_year,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type,vintage_quarter,credit_score,ltv,dti,original_term_months
079Q2QN9PACR,0,2022-01-01,2022-06-01,0,360,480000.0,480000.0,6.326,620-659,80-90%,36-43%,UT,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,2022,Current,0,False,0,0,,2022-06-05,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2022Q2,630,89.52,39.18,360
079Q2QN9PACR,22,2022-01-01,2022-06-01,22,338,480000.0,470559.74,6.326,620-659,80-90%,36-43%,UT,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,2022,Current,0,False,0,0,,2024-04-23,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2022Q2,630,89.52,39.18,360
7RIDGUEJJHSP,40,2020-12-01,2021-03-01,40,320,285000.0,266813.8,3.775,660-699,60-75%,36-43%,MA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,2021,Current,0,False,0,0,,2024-07-24,LegacySFTP,Complete,1.0,0.0,,,30-DPD,True,Time Travel,2021Q1,676,73.03,38.93,360
7RIDGUEJJHSP,51,2020-12-01,2021-03-01,51,309,285000.0,261898.89,3.775,660-699,60-75%,36-43%,MA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,2021,Current,0,False,0,0,,2025-06-15,LegacySFTP,Complete,,,,,,True,Time Travel,2021Q1,676,73.03,38.93,360
DAFTXPE2G2BP,2,2017-10-01,2018-08-01,2,358,248000.0,247424.29,5.198,660-699,80-90%,>43%,CA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,2018,Current,0,False,0,0,,2018-10-05,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2018Q3,678,87.6,51.34,360
DAFTXPE2G2BP,7,2017-10-01,2018-08-01,7,353,248000.0,245963.04,5.198,660-699,80-90%,>43%,CA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,2018,Current,0,False,0,0,,2019-03-17,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2018Q3,678,87.6,51.34,360
F56Z00P38D58,0,2021-09-01,2021-10-01,0,360,225000.0,225000.0,3.024,740-799,60-75%,<30%,MO,Cash-Out Refinance,Single-Family Detached,Second Home,Atlas Mortgage Services,2021,Current,0,False,0,0,,2021-10-09,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2021Q4,788,70.07,18.99,360
F56Z00P38D58,25,2021-09-01,2021-10-01,25,335,225000.0,215090.51,3.024,740-799,60-75%,<30%,MO,Cash-Out Refinance,Single-Family Detached,Second Home,Atlas Mortgage Services,2021,Current,0,False,0,0,,2023-11-21,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2021Q4,788,70.07,18.99,360
G9A77IMAG7LB,9,2021-08-01,2022-07-01,9,351,204000.0,202233.29,6.286,620-659,80-90%,>43%,PA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,2022,Current,0,False,0,0,,2023-04-10,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2022Q3,647,84.56,49.04,360
G9A77IMAG7LB,22,2021-08-01,2022-07-01,22,338,204000.0,199530.16,6.286,620-659,80-90%,>43%,PA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,2022,Current,0,False,0,0,,2024-05-09,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2022Q3,647,84.56,49.04,360
