categorical,numeric,eta
current_status,prepayment_flag,1.0
current_status,default_flag,1.0
vintage_quarter,vintage_year,1.0
current_status,days_past_due,0.9904
credit_score_band,credit_score,0.9639
exception_type,days_past_due,0.9534
dti_band,dti,0.9442
ltv_band,ltv,0.9377
vintage_quarter,interest_rate,0.9181
next_state,days_past_due,0.7827
next_state,next_3m_delinquency_flag,0.7044
next_state,prepayment_flag,0.6478
next_state,default_flag,0.646
next_state,next_6m_delinquency_flag,0.6102
next_state,next_12m_default_flag,0.4871
current_status,next_6m_delinquency_flag,0.4805
current_status,next_3m_delinquency_flag,0.4416
vintage_quarter,month_index,0.4207
vintage_quarter,loan_age_months,0.4207
exception_type,current_balance,0.4205
current_status,next_12m_default_flag,0.4106
credit_score_band,dti,0.408
credit_score_band,ltv,0.4073
ltv_band,credit_score,0.3938
dti_band,credit_score,0.3909
credit_score_band,interest_rate,0.3616
credit_score_band,next_12m_default_flag,0.3521
current_status,current_balance,0.3178
