period,column,psi_vs_first_period,drift_band
2017-02,month_index,18.2859,MAJOR shift
2017-02,loan_age_months,18.2859,MAJOR shift
2017-02,remaining_term_months,17.8238,MAJOR shift
2017-02,original_balance,25.146,MAJOR shift
2017-02,current_balance,25.146,MAJOR shift
2017-02,interest_rate,25.146,MAJOR shift
2017-02,vintage_year,0.0,stable
2017-02,days_past_due,3.1792,MAJOR shift
2017-02,prepayment_flag,0.0,stable
2017-02,default_flag,0.0,stable
2017-02,next_3m_delinquency_flag,0.0,stable
2017-02,next_6m_delinquency_flag,0.0,stable
2017-02,next_12m_default_flag,0.0,stable
2017-02,next_12m_prepayment_flag,4.3741,MAJOR shift
2017-02,credit_score,17.8238,MAJOR shift
2017-02,ltv,25.146,MAJOR shift
2017-02,dti,25.146,MAJOR shift
2017-02,original_term_months,0.0338,stable
2017-03,month_index,25.0485,MAJOR shift
2017-03,loan_age_months,25.0485,MAJOR shift
2017-03,remaining_term_months,24.5864,MAJOR shift
2017-03,original_balance,24.7844,MAJOR shift
2017-03,current_balance,24.5864,MAJOR shift
2017-03,interest_rate,24.5864,MAJOR shift
2017-03,vintage_year,0.0,stable
2017-03,days_past_due,3.4874,MAJOR shift
2017-03,prepayment_flag,0.0,stable
2017-03,default_flag,0.0,stable
2017-03,next_3m_delinquency_flag,1.7177,MAJOR shift
2017-03,next_6m_delinquency_flag,1.7177,MAJOR shift
2017-03,next_12m_default_flag,1.7177,MAJOR shift
2017-03,next_12m_prepayment_flag,4.3741,MAJOR shift
2017-03,credit_score,24.5864,MAJOR shift
2017-03,ltv,24.5864,MAJOR shift
2017-03,dti,24.5864,MAJOR shift
2017-03,original_term_months,4.3741,MAJOR shift
2017-04,month_index,24.8304,MAJOR shift
2017-04,loan_age_months,24.8304,MAJOR shift
2017-04,remaining_term_months,24.3683,MAJOR shift
2017-04,original_balance,24.2297,MAJOR shift
2017-04,current_balance,24.2297,MAJOR shift
2017-04,interest_rate,24.2297,MAJOR shift
2017-04,vintage_year,0.0,stable
2017-04,days_past_due,1.1618,MAJOR shift
2017-04,prepayment_flag,0.0,stable
2017-04,default_flag,0.0,stable
2017-04,next_3m_delinquency_flag,2.4858,MAJOR shift
2017-04,next_6m_delinquency_flag,2.7917,MAJOR shift
2017-04,next_12m_default_flag,1.304,MAJOR shift
2017-04,next_12m_prepayment_flag,0.3081,MAJOR shift
2017-04,credit_score,24.2297,MAJOR shift
2017-04,ltv,24.2297,MAJOR shift
2017-04,dti,24.2297,MAJOR shift
2017-04,original_term_months,5.4603,MAJOR shift
2017-05,month_index,24.7225,MAJOR shift
2017-05,loan_age_months,24.7225,MAJOR shift
2017-05,remaining_term_months,24.1343,MAJOR shift
2017-05,original_balance,24.2604,MAJOR shift
2017-05,current_balance,24.1343,MAJOR shift
2017-05,interest_rate,24.1343,MAJOR shift
2017-05,vintage_year,0.0,stable
2017-05,days_past_due,2.1124,MAJOR shift
2017-05,prepayment_flag,0.0,stable
2017-05,default_flag,0.0,stable
2017-05,next_3m_delinquency_flag,2.4858,MAJOR shift
2017-05,next_6m_delinquency_flag,2.4858,MAJOR shift
2017-05,next_12m_default_flag,1.304,MAJOR shift
2017-05,next_12m_prepayment_flag,0.3081,MAJOR shift
2017-05,credit_score,24.2604,MAJOR shift
2017-05,ltv,24.1343,MAJOR shift
2017-05,dti,24.1343,MAJOR shift
2017-05,original_term_months,2.2952,MAJOR shift
2017-06,month_index,24.5965,MAJOR shift
2017-06,loan_age_months,24.5965,MAJOR shift
2017-06,remaining_term_months,24.1343,MAJOR shift
2017-06,original_balance,24.1343,MAJOR shift
2017-06,current_balance,24.1343,MAJOR shift
2017-06,interest_rate,24.1343,MAJOR shift
2017-06,vintage_year,0.0,stable
2017-06,days_past_due,0.0,stable
2017-06,prepayment_flag,0.0,stable
2017-06,default_flag,0.0,stable
2017-06,next_3m_delinquency_flag,0.0,stable
2017-06,next_6m_delinquency_flag,0.0,stable
2017-06,next_12m_default_flag,2.4858,MAJOR shift
2017-06,next_12m_prepayment_flag,0.0924,stable
2017-06,credit_score,24.1343,MAJOR shift
2017-06,ltv,24.1343,MAJOR shift
2017-06,dti,24.1343,MAJOR shift
2017-06,original_term_months,6.4719,MAJOR shift
2017-07,month_index,19.3236,MAJOR shift
2017-07,loan_age_months,19.3236,MAJOR shift
2017-07,remaining_term_months,18.6806,MAJOR shift
2017-07,original_balance,19.344,MAJOR shift
2017-07,current_balance,23.3966,MAJOR shift
2017-07,interest_rate,19.2837,MAJOR shift
2017-07,vintage_year,0.0,stable
2017-07,days_past_due,0.4663,MAJOR shift
2017-07,prepayment_flag,0.4663,MAJOR shift
2017-07,default_flag,0.0,stable
2017-07,next_3m_delinquency_flag,0.0,stable
2017-07,next_6m_delinquency_flag,0.0,stable
2017-07,next_12m_default_flag,0.5435,MAJOR shift
2017-07,next_12m_prepayment_flag,0.351,MAJOR shift
2017-07,credit_score,23.4569,MAJOR shift
2017-07,ltv,23.3966,MAJOR shift
2017-07,dti,23.3966,MAJOR shift
2017-07,original_term_months,6.9292,MAJOR shift
2017-08,month_index,19.987,MAJOR shift
2017-08,loan_age_months,19.987,MAJOR shift
2017-08,remaining_term_months,19.4043,MAJOR shift
2017-08,original_balance,23.3966,MAJOR shift
2017-08,current_balance,23.3966,MAJOR shift
2017-08,interest_rate,23.3966,MAJOR shift
2017-08,vintage_year,0.0,stable
2017-08,days_past_due,0.9366,MAJOR shift
2017-08,prepayment_flag,0.4663,MAJOR shift
2017-08,default_flag,0.0,stable
2017-08,next_3m_delinquency_flag,1.5546,MAJOR shift
2017-08,next_6m_delinquency_flag,1.5546,MAJOR shift
2017-08,next_12m_default_flag,2.2384,MAJOR shift
2017-08,next_12m_prepayment_flag,0.227,moderate shift
2017-08,credit_score,23.4569,MAJOR shift
2017-08,ltv,23.3966,MAJOR shift
2017-08,dti,23.4569,MAJOR shift
2017-08,original_term_months,2.8623,MAJOR shift
2017-09,month_index,24.1478,MAJOR shift
2017-09,loan_age_months,24.1478,MAJOR shift
2017-09,remaining_term_months,23.5536,MAJOR shift
2017-09,original_balance,23.5536,MAJOR shift
2017-09,current_balance,23.4876,MAJOR shift
2017-09,interest_rate,23.4876,MAJOR shift
2017-09,vintage_year,0.0,stable
2017-09,days_past_due,1.0353,MAJOR shift
2017-09,prepayment_flag,0.0,stable
2017-09,default_flag,0.0,stable
2017-09,next_3m_delinquency_flag,0.5152,MAJOR shift
2017-09,next_6m_delinquency_flag,0.0,stable
2017-09,next_12m_default_flag,1.229,MAJOR shift
2017-09,next_12m_prepayment_flag,0.1721,moderate shift
2017-09,credit_score,19.3578,MAJOR shift
2017-09,ltv,23.4876,MAJOR shift
2017-09,dti,23.4876,MAJOR shift
2017-09,original_term_months,0.5482,MAJOR shift
2017-10,month_index,12.3651,MAJOR shift
2017-10,loan_age_months,12.3651,MAJOR shift
2017-10,remaining_term_months,19.3614,MAJOR shift
2017-10,original_balance,23.3903,MAJOR shift
2017-10,current_balance,23.2362,MAJOR shift
2017-10,interest_rate,23.339,MAJOR shift
2017-10,vintage_year,0.0,stable
2017-10,days_past_due,1.1819,MAJOR shift
2017-10,prepayment_flag,0.0,stable
2017-10,default_flag,0.0,stable
2017-10,next_3m_delinquency_flag,1.8632,MAJOR shift
2017-10,next_6m_delinquency_flag,1.8632,MAJOR shift
2017-10,next_12m_default_flag,1.4188,MAJOR shift
2017-10,next_12m_prepayment_flag,0.2772,MAJOR shift
2017-10,credit_score,19.4128,MAJOR shift
2017-10,ltv,23.2876,MAJOR shift
2017-10,dti,23.2876,MAJOR shift
2017-10,original_term_months,1.9873,MAJOR shift
2017-11,month_index,23.9494,MAJOR shift
2017-11,loan_age_months,23.9494,MAJOR shift
2017-11,remaining_term_months,23.3807,MAJOR shift
2017-11,original_balance,19.2658,MAJOR shift
2017-11,current_balance,23.274,MAJOR shift
2017-11,interest_rate,19.2658,MAJOR shift
2017-11,vintage_year,0.0,stable
2017-11,days_past_due,0.4076,MAJOR shift
2017-11,prepayment_flag,0.4076,MAJOR shift
2017-11,default_flag,0.0,stable
2017-11,next_3m_delinquency_flag,0.445,MAJOR shift
2017-11,next_6m_delinquency_flag,0.0,stable
2017-11,next_12m_default_flag,0.0,stable
2017-11,next_12m_prepayment_flag,0.4085,MAJOR shift
2017-11,credit_score,23.434,MAJOR shift
2017-11,ltv,23.274,MAJOR shift
2017-11,dti,23.274,MAJOR shift
2017-11,original_term_months,0.1816,moderate shift
2017-12,month_index,15.1984,MAJOR shift
2017-12,loan_age_months,15.1984,MAJOR shift
2017-12,remaining_term_months,18.6052,MAJOR shift
2017-12,original_balance,23.5041,MAJOR shift
2017-12,current_balance,23.5041,MAJOR shift
2017-12,interest_rate,23.4411,MAJOR shift
2017-12,vintage_year,0.0,stable
2017-12,days_past_due,0.4896,MAJOR shift
2017-12,prepayment_flag,0.4896,MAJOR shift
2017-12,default_flag,0.4896,MAJOR shift
2017-12,next_3m_delinquency_flag,0.0,stable
2017-12,next_6m_delinquency_flag,0.0,stable
2017-12,next_12m_default_flag,0.0,stable
2017-12,next_12m_prepayment_flag,0.5945,MAJOR shift
2017-12,credit_score,23.4411,MAJOR shift
2017-12,ltv,23.4411,MAJOR shift
2017-12,dti,23.4411,MAJOR shift
2017-12,original_term_months,1.1351,MAJOR shift
2018-01,month_index,22.6612,MAJOR shift
2018-01,loan_age_months,22.6612,MAJOR shift
2018-01,remaining_term_months,21.5993,MAJOR shift
2018-01,original_balance,12.5386,MAJOR shift
2018-01,current_balance,21.6679,MAJOR shift
2018-01,interest_rate,12.5472,MAJOR shift
2018-01,vintage_year,0.1111,moderate shift
2018-01,days_past_due,0.2578,MAJOR shift
2018-01,prepayment_flag,0.0514,stable
2018-01,default_flag,0.0,stable
2018-01,next_3m_delinquency_flag,0.8773,MAJOR shift
2018-01,next_6m_delinquency_flag,0.5863,MAJOR shift
2018-01,next_12m_default_flag,0.5186,MAJOR shift
2018-01,next_12m_prepayment_flag,0.4878,MAJOR shift
2018-01,credit_score,12.6972,MAJOR shift
2018-01,ltv,12.4979,MAJOR shift
2018-01,dti,12.5226,MAJOR shift
2018-01,original_term_months,0.8028,MAJOR shift
2018-02,month_index,11.1528,MAJOR shift
2018-02,loan_age_months,11.1528,MAJOR shift
2018-02,remaining_term_months,11.3402,MAJOR shift
2018-02,original_balance,15.8067,MAJOR shift
2018-02,current_balance,20.9418,MAJOR shift
2018-02,interest_rate,15.4442,MAJOR shift
2018-02,vintage_year,0.0929,stable
2018-02,days_past_due,0.1091,moderate shift
2018-02,prepayment_flag,0.0272,stable
2018-02,default_flag,0.0,stable
2018-02,next_3m_delinquency_flag,1.0042,MAJOR shift
2018-02,next_6m_delinquency_flag,0.5899,MAJOR shift
2018-02,next_12m_default_flag,0.7977,MAJOR shift
2018-02,next_12m_prepayment_flag,0.4206,MAJOR shift
2018-02,credit_score,12.2501,MAJOR shift
2018-02,ltv,15.3883,MAJOR shift
2018-02,dti,18.1575,MAJOR shift
2018-02,original_term_months,0.827,MAJOR shift
2018-03,month_index,10.469,MAJOR shift
2018-03,loan_age_months,10.469,MAJOR shift
2018-03,remaining_term_months,10.5303,MAJOR shift
2018-03,original_balance,12.2257,MAJOR shift
2018-03,current_balance,20.4844,MAJOR shift
2018-03,interest_rate,12.5707,MAJOR shift
2018-03,vintage_year,0.1433,moderate shift
2018-03,days_past_due,0.1828,moderate shift
2018-03,prepayment_flag,0.0163,stable
2018-03,default_flag,0.0,stable
2018-03,next_3m_delinquency_flag,1.0808,MAJOR shift
2018-03,next_6m_delinquency_flag,0.7121,MAJOR shift
2018-03,next_12m_default_flag,0.8431,MAJOR shift
2018-03,next_12m_prepayment_flag,0.3964,MAJOR shift
2018-03,credit_score,12.0449,MAJOR shift
2018-03,ltv,12.7338,MAJOR shift
2018-03,dti,12.7419,MAJOR shift
2018-03,original_term_months,0.92,MAJOR shift
2018-04,month_index,13.5271,MAJOR shift
2018-04,loan_age_months,13.5271,MAJOR shift
2018-04,remaining_term_months,13.5892,MAJOR shift
2018-04,original_balance,12.0576,MAJOR shift
2018-04,current_balance,20.2154,MAJOR shift
2018-04,interest_rate,12.1657,MAJOR shift
2018-04,vintage_year,0.0436,stable
2018-04,days_past_due,0.3355,MAJOR shift
2018-04,prepayment_flag,0.0436,stable
2018-04,default_flag,0.0,stable
2018-04,next_3m_delinquency_flag,1.0583,MAJOR shift
2018-04,next_6m_delinquency_flag,0.7856,MAJOR shift
2018-04,next_12m_default_flag,0.8277,MAJOR shift
2018-04,next_12m_prepayment_flag,0.3696,MAJOR shift
2018-04,credit_score,12.2957,MAJOR shift
2018-04,ltv,12.786,MAJOR shift
2018-04,dti,12.7887,MAJOR shift
2018-04,original_term_months,1.0198,MAJOR shift
2018-05,month_index,14.6803,MAJOR shift
2018-05,loan_age_months,14.6803,MAJOR shift
2018-05,remaining_term_months,14.5868,MAJOR shift
2018-05,original_balance,12.2357,MAJOR shift
2018-05,current_balance,19.997,MAJOR shift
2018-05,interest_rate,12.2343,MAJOR shift
2018-05,vintage_year,0.1456,moderate shift
2018-05,days_past_due,0.3667,MAJOR shift
2018-05,prepayment_flag,0.0607,stable
2018-05,default_flag,0.0099,stable
2018-05,next_3m_delinquency_flag,1.3236,MAJOR shift
2018-05,next_6m_delinquency_flag,1.0089,MAJOR shift
2018-05,next_12m_default_flag,0.9744,MAJOR shift
2018-05,next_12m_prepayment_flag,0.379,MAJOR shift
2018-05,credit_score,12.1722,MAJOR shift
2018-05,ltv,12.8172,MAJOR shift
2018-05,dti,12.8291,MAJOR shift
2018-05,original_term_months,1.0458,MAJOR shift
2018-06,month_index,12.6374,MAJOR shift
2018-06,loan_age_months,12.6374,MAJOR shift
2018-06,remaining_term_months,12.5333,MAJOR shift
2018-06,original_balance,12.3103,MAJOR shift
2018-06,current_balance,19.8156,MAJOR shift
2018-06,interest_rate,12.5586,MAJOR shift
2018-06,vintage_year,0.1559,moderate shift
2018-06,days_past_due,0.4545,MAJOR shift
2018-06,prepayment_flag,0.0387,stable
2018-06,default_flag,0.0081,stable
2018-06,next_3m_delinquency_flag,1.3979,MAJOR shift
2018-06,next_6m_delinquency_flag,0.9299,MAJOR shift
2018-06,next_12m_default_flag,0.9586,MAJOR shift
2018-06,next_12m_prepayment_flag,0.351,MAJOR shift
2018-06,credit_score,12.3611,MAJOR shift
2018-06,ltv,12.8274,MAJOR shift
2018-06,dti,15.2339,MAJOR shift
2018-06,original_term_months,1.0577,MAJOR shift
2018-07,month_index,15.0008,MAJOR shift
2018-07,loan_age_months,15.0008,MAJOR shift
2018-07,remaining_term_months,14.8266,MAJOR shift
2018-07,original_balance,12.1165,MAJOR shift
2018-07,current_balance,19.6842,MAJOR shift
2018-07,interest_rate,12.4505,MAJOR shift
2018-07,vintage_year,0.135,moderate shift
2018-07,days_past_due,0.3475,MAJOR shift
2018-07,prepayment_flag,0.0828,stable
2018-07,default_flag,0.043,stable
2018-07,next_3m_delinquency_flag,1.3837,MAJOR shift
2018-07,next_6m_delinquency_flag,0.9493,MAJOR shift
2018-07,next_12m_default_flag,0.9758,MAJOR shift
2018-07,next_12m_prepayment_flag,0.3746,MAJOR shift
2018-07,credit_score,12.3524,MAJOR shift
2018-07,ltv,12.8546,MAJOR shift
2018-07,dti,15.2171,MAJOR shift
2018-07,original_term_months,1.0983,MAJOR shift
2018-08,month_index,12.7953,MAJOR shift
2018-08,loan_age_months,12.7953,MAJOR shift
2018-08,remaining_term_months,12.868,MAJOR shift
2018-08,original_balance,12.0776,MAJOR shift
2018-08,current_balance,19.5447,MAJOR shift
2018-08,interest_rate,12.5185,MAJOR shift
2018-08,vintage_year,0.1726,moderate shift
2018-08,days_past_due,0.3213,MAJOR shift
2018-08,prepayment_flag,0.0288,stable
2018-08,default_flag,0.0288,stable
2018-08,next_3m_delinquency_flag,1.3823,MAJOR shift
2018-08,next_6m_delinquency_flag,0.9671,MAJOR shift
2018-08,next_12m_default_flag,1.0375,MAJOR shift
2018-08,next_12m_prepayment_flag,0.3737,MAJOR shift
2018-08,credit_score,12.2376,MAJOR shift
2018-08,ltv,12.8702,MAJOR shift
2018-08,dti,15.1867,MAJOR shift
2018-08,original_term_months,1.0479,MAJOR shift
2018-09,month_index,13.0142,MAJOR shift
2018-09,loan_age_months,13.0142,MAJOR shift
