scenario,horizon_month,credit_score_shift,baseline_rate,converged,residual,target_multiplier,target_rate,attainable_low,attainable_high,attained_rate,attainable_multiplier
Adverse-Credit,1,0.0,0.14714913302422122,True,0.0,1.0,,,,,
Adverse-Credit,12,-92.50003913917467,0.14553357655624732,True,0.00010906063691429324,1.774,0.25817656481078277,0.2909415587582546,0.06861025810737256,0.25828562544769706,1.774
Adverse-Credit,24,-250.0,0.14378760635550278,False,-0.011636972270732238,2.1193,0.304729074149217,0.2930921018784848,0.07338304093773146,0.2930921018784848,2.038368321911133
Adverse-Credit,36,-250.0,0.14251161423241412,False,-0.04625677465804001,2.3807,0.3392774000031083,0.2930206253450683,0.07528459475469046,0.2930206253450683,2.056117509603095
Adverse-Credit,48,-250.0,0.1412241336854114,False,-0.07468033831334503,2.6,0.36718274758206965,0.2925024092687246,0.07583312738127962,0.2925024092687246,2.0711928027846733
Baseline,1,0.0,0.14714913302422122,True,0.0,1.0,,,,,
Baseline,12,0.0,0.14553357655624732,True,0.0,1.0,,,,,
Baseline,24,0.0,0.14378760635550278,True,0.0,1.0,,,,,
Baseline,36,0.0,0.14251161423241412,True,0.0,1.0,,,,,
Baseline,48,0.0,0.1412241336854114,True,0.0,1.0,,,,,
High-Prepayment,1,0.0,0.14714913302422122,True,0.0,1.0,,,,,
High-Prepayment,12,7.000017524499308,0.14553357655624732,True,-8.534266528015255e-05,0.9415,0.13701986232770685,0.2857134421879343,0.05891342252817576,0.1369345196624267,0.9415
High-Prepayment,24,14.499956841359928,0.14378760635550278,True,7.504256504281548e-05,0.8777,0.1262023820982248,0.282918738890251,0.05508681196019129,0.1262774246632676,0.8777
High-Prepayment,36,22.499983949455213,0.14251161423241412,True,5.7620995364146554e-05,0.8138,0.11597595166233861,0.27999048518370484,0.052488967810013845,0.11603357265770275,0.8138
High-Prepayment,48,31.499980823161103,0.1412241336854114,True,0.0002536362682381138,0.75,0.10591810026405854,0.27800473833386286,0.051557940004305726,0.10617173653229665,0.75
