scenario,horizon_month,measure,stated_multiplier,model_multiplier,gap,calibrated
Adverse-Credit,1,default_12m,1.0,1.0,0.0,True
Adverse-Credit,1,prepayment_12m,1.0,1.0,0.0,False
Adverse-Credit,12,default_12m,1.774,1.7721322658013794,-0.0018677341986206297,True
Adverse-Credit,12,prepayment_12m,0.8947,0.8808409143318398,-0.013859085668160298,False
Adverse-Credit,24,default_12m,2.1193,2.0201927137924254,-0.09910728620757459,True
Adverse-Credit,24,prepayment_12m,0.7798,0.8301069712969363,0.05030697129693629,False
Adverse-Credit,36,default_12m,2.3807,2.041433167037869,-0.3392668329621311,True
Adverse-Credit,36,prepayment_12m,0.6649,0.8030889112079361,0.13818891120793608,False
Adverse-Credit,48,default_12m,2.6,2.054979361571197,-0.5450206384288032,True
Adverse-Credit,48,prepayment_12m,0.55,0.7802810076036827,0.23028100760368264,False
Baseline,1,default_12m,1.0,1.0,0.0,True
Baseline,1,prepayment_12m,1.0,1.0,0.0,False
Baseline,12,default_12m,1.0,1.0,0.0,True
Baseline,12,prepayment_12m,1.0,1.0,0.0,False
Baseline,24,default_12m,1.0,1.0,0.0,True
Baseline,24,prepayment_12m,1.0,1.0,0.0,False
Baseline,36,default_12m,1.0,1.0,0.0,True
Baseline,36,prepayment_12m,1.0,1.0,0.0,False
Baseline,48,default_12m,1.0,1.0,0.0,True
Baseline,48,prepayment_12m,1.0,1.0,0.0,False
High-Prepayment,1,default_12m,1.0,1.0,0.0,True
High-Prepayment,1,prepayment_12m,1.0,1.0,0.0,False
High-Prepayment,12,default_12m,0.9415,0.9408155840633207,-0.000684415936679339,True
High-Prepayment,12,prepayment_12m,1.4447,1.0171687250958998,-0.42753127490410026,False
High-Prepayment,24,default_12m,0.8777,0.8779557815250316,0.00025578152503158424,True
High-Prepayment,24,prepayment_12m,1.9298,1.0316645547489833,-0.8981354452510166,False
High-Prepayment,36,default_12m,0.8138,0.8144534645309209,0.0006534645309209663,True
High-Prepayment,36,prepayment_12m,2.4149,1.0456554035155607,-1.369244596484439,False
High-Prepayment,48,default_12m,0.75,0.7475061582254516,-0.0024938417745483665,True
High-Prepayment,48,prepayment_12m,2.9,1.0623251391738988,-1.837674860826101,False
