scenario,horizon_month,projection_month,delinquency_3m,default_12m,prepayment_12m,credit_score_shift,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp,default_12m_stated,prepayment_12m_stated
Adverse-Credit,1,2024-01-01,0.1873479631068005,0.14714913302422125,0.07396914256371617,0.0,10000,0.0,0.0,0.0,0.14714913302422125,0.07396914256371617
Adverse-Credit,12,2024-12-01,0.23212599483198088,0.25828562544769706,0.06381386352601526,-92.50003913917467,10000,4.626775545070672,11.275204889144973,-1.0168410210512069,0.25817656481078277,0.066191940312071
Adverse-Credit,24,2025-12-01,0.2482292261501329,0.2930921018784848,0.059488181017593726,-250.0,10000,6.385392039477821,14.9304495522982,-1.437619537271851,0.304729074149217,0.057599440709165485
Adverse-Credit,36,2026-12-01,0.2515690542607077,0.2930206253450683,0.05823011901545132,-250.0,10000,6.870727402679567,15.050901111265416,-1.5548247125766759,0.3392774000031083,0.0490552356472959
Adverse-Credit,48,2027-12-01,0.25373176773719974,0.2925024092687247,0.0569575203647232,-250.0,10000,7.206480223933587,15.127827558331328,-1.6659274401608477,0.36718274758206965,0.040489237121482426
Baseline,1,2024-01-01,0.1873479631068005,0.14714913302422125,0.07396914256371617,0.0,10000,0.0,0.0,0.0,0.14714913302422125,0.07396914256371617
Baseline,12,2024-12-01,0.18585823938127416,0.14553357655624732,0.07398227373652733,0.0,10000,0.0,0.0,0.0,0.14553357655624732,0.07398227373652733
Baseline,24,2025-12-01,0.18437530575535468,0.14378760635550278,0.07386437639031224,0.0,10000,0.0,0.0,0.0,0.14378760635550278,0.07386437639031224
Baseline,36,2026-12-01,0.18286178023391203,0.14251161423241412,0.07377836614121808,0.0,10000,0.0,0.0,0.0,0.14251161423241412,0.07377836614121808
Baseline,48,2027-12-01,0.18166696549786387,0.1412241336854114,0.07361679476633168,0.0,10000,0.0,0.0,0.0,0.1412241336854114,0.07361679476633168
High-Prepayment,1,2024-01-01,0.1873479631068005,0.14714913302422125,0.07396914256371617,0.0,10000,0.0,0.0,0.0,0.14714913302422125,0.07396914256371617
High-Prepayment,12,2024-12-01,0.182316507350452,0.1369345196624267,0.07512222222589054,7.000017524499308,10000,-0.354173203082217,-0.8599056893820622,0.11399484893632184,0.13701986232770685,0.10688219086716104
High-Prepayment,24,2025-12-01,0.1768019735260783,0.12627742466326763,0.07613778180384047,14.499956841359928,10000,-0.7573332229276392,-1.7510181692235145,0.22734054135282317,0.1262023820982248,0.14254347355802455
High-Prepayment,36,2026-12-01,0.17138345177015374,0.11603357265770275,0.0773279144512613,22.499983949455213,10000,-1.1478328463758292,-2.647804157471137,0.3549548310043227,0.11597595166233861,0.17816737639442753
High-Prepayment,48,2027-12-01,0.16568190781766817,0.10617173653229665,0.07820287193130997,31.499980823161103,10000,-1.5985057680195702,-3.505239715311474,0.4586077164978289,0.10591810026405854,0.21348870482236185
