scenario,horizon_month,projection_month,mortgage_rate,unemployment_rate,hpi_index,default_multiplier,prepayment_multiplier
Baseline,1,2024-01,6.6,3.9,100.0,1.0,1.0
Baseline,12,2024-12,6.4011,3.9702,102.7466,1.0,1.0
Baseline,24,2025-12,6.184,4.0468,105.829,1.0,1.0
Baseline,36,2026-12,5.967,4.1234,109.0039,1.0,1.0
Baseline,48,2027-12,5.75,4.2,112.274,1.0,1.0
Adverse-Credit,1,2024-01,6.6,3.9,100.0,1.0,1.0
Adverse-Credit,12,2024-12,6.8574,5.9319,92.6415,1.774,0.8947
Adverse-Credit,24,2025-12,7.1383,6.8381,85.2302,2.1193,0.7798
Adverse-Credit,36,2026-12,7.4191,7.5244,78.4118,2.3807,0.6649
Adverse-Credit,48,2027-12,7.7,8.1,72.1388,2.6,0.55
High-Prepayment,1,2024-01,6.6,3.9,100.0,1.0,1.0
High-Prepayment,12,2024-12,6.0383,3.7947,105.0303,0.9415,1.4447
High-Prepayment,24,2025-12,5.4255,3.6798,110.807,0.8777,1.9298
High-Prepayment,36,2026-12,4.8128,3.5649,116.9014,0.8138,2.4149
High-Prepayment,48,2027-12,4.2,3.45,123.331,0.75,2.9
