scenario,horizon_month,measure,feature,baseline_contribution,stressed_contribution,delta_contribution,share_of_movement
Adverse-Credit,1,delinquency_3m,credit_score,-0.022039262544136334,-0.022039262544136334,0.0,
Adverse-Credit,1,delinquency_3m,doc_status_changes_to_date,0.0,0.0,0.0,
Adverse-Credit,1,delinquency_3m,dpd_delta_3m,-0.0043794459740613394,-0.0043794459740613394,0.0,
Adverse-Credit,1,delinquency_3m,dpd_delta_6m,-0.0005150444050490211,-0.0005150444050490211,0.0,
Adverse-Credit,1,delinquency_3m,paydown_1m,-0.045653277880135776,-0.045653277880135776,0.0,
Adverse-Credit,1,default_12m,credit_score,-0.036064339704887274,-0.036064339704887274,0.0,
Adverse-Credit,1,default_12m,doc_status_changes_to_date,0.0,0.0,0.0,
Adverse-Credit,1,default_12m,dpd_delta_3m,0.020109748786043352,0.020109748786043352,0.0,
Adverse-Credit,1,default_12m,dpd_delta_6m,-0.0004503723612876403,-0.0004503723612876403,0.0,
Adverse-Credit,1,default_12m,paydown_1m,-0.045107453248190356,-0.045107453248190356,0.0,
Adverse-Credit,1,prepayment_12m,credit_score,-0.03573563862829991,-0.03573563862829991,0.0,
Adverse-Credit,1,prepayment_12m,doc_status_changes_to_date,0.0,0.0,0.0,
Adverse-Credit,1,prepayment_12m,dpd_delta_3m,-0.0003286488358210685,-0.0003286488358210685,0.0,
Adverse-Credit,1,prepayment_12m,dpd_delta_6m,0.0,0.0,0.0,
Adverse-Credit,1,prepayment_12m,paydown_1m,-0.008100089031266296,-0.008100089031266296,0.0,
Adverse-Credit,12,delinquency_3m,credit_score,-0.021631864483982743,0.5424188470006367,0.5640507114846194,0.5423402369260554
Adverse-Credit,12,delinquency_3m,credit_score_band,-0.01312620785549521,0.18558987940069563,0.19871608725619083,0.19106744774752396
Adverse-Credit,12,delinquency_3m,ltv,-0.014100438092599874,0.06585768729484587,0.07995812538744575,0.07688051408117591
Adverse-Credit,12,delinquency_3m,paydown_3m,-0.14210458092542913,-0.1194831790061888,0.022621401919240336,0.021750697635304492
Adverse-Credit,12,delinquency_3m,dpd_mean_6m,-0.10716188110454755,-0.12953842137274088,-0.02237654026819333,0.02151526077982495
Adverse-Credit,12,default_12m,credit_score,-0.03217893751784478,1.6801674030872193,1.712346340605064,0.6418270449963203
Adverse-Credit,12,default_12m,credit_score_band,-0.010906429708208223,0.44623592232634945,0.45714235203455766,0.17134753524531227
Adverse-Credit,12,default_12m,ltv,-0.047495372912405937,0.09075078131187282,0.13824615422427877,0.051817858656164895
Adverse-Credit,12,default_12m,ltv_band,-0.007685678245565187,0.05893658891364743,0.06662226715921261,0.024971567870226197
Adverse-Credit,12,default_12m,days_past_due,0.48595097335702997,0.4269946388562852,-0.05895633450074478,0.02209819886265345
Adverse-Credit,12,prepayment_12m,credit_score,-0.03564693948791792,-0.4219843526759254,-0.38633741318800746,0.7248129273284476
Adverse-Credit,12,prepayment_12m,interest_rate,-0.02834996059430784,-0.0028596450922513355,0.025490315502056504,0.04782273102962527
Adverse-Credit,12,prepayment_12m,balance_ratio,0.003321018764045639,0.019635744236386456,0.016314725472340818,0.030608280545722746
Adverse-Credit,12,prepayment_12m,balance_gap_abs,-0.1007613590425992,-0.08470714954347446,0.01605420949912474,0.030119522950116353
Adverse-Credit,12,prepayment_12m,dq_score,0.010501038990587658,0.023809420166595565,0.013308381176007907,0.02496803671843949
Adverse-Credit,24,delinquency_3m,credit_score,-0.020884807094374788,0.6882574053956886,0.7091422124900634,0.5200945925267686
Adverse-Credit,24,delinquency_3m,credit_score_band,-0.013174661004613671,0.20886188872841285,0.22203654973302653,0.16284464078644328
Adverse-Credit,24,delinquency_3m,ltv,-0.04032074442445685,0.13026058106014066,0.1705813254845975,0.12510667593607813
Adverse-Credit,24,delinquency_3m,paydown_3m,-0.14124040824987988,-0.11288076307519322,0.028359645174686657,0.02079935144396593
Adverse-Credit,24,delinquency_3m,dpd_mean_6m,-0.10709103995797967,-0.1290825814169912,-0.021991541459011527,0.016128897127697647
Adverse-Credit,24,default_12m,credit_score,-0.028379852065265908,2.0229452450542906,2.0513250971195567,0.6165650704857097
Adverse-Credit,24,default_12m,credit_score_band,-0.011944989690648666,0.5057338903862213,0.5176788800768699,0.15559830844547787
Adverse-Credit,24,default_12m,ltv,-0.0944438265649434,0.17833558820587486,0.27277941477081824,0.08198908078070372
Adverse-Credit,24,default_12m,ltv_band,-0.037134905248936464,0.08843206602516578,0.12556697127410224,0.03774155964015961
Adverse-Credit,24,default_12m,balance_ratio,-0.07206762607607231,-0.14031028413864818,-0.06824265806257587,0.020511638714685886
Adverse-Credit,24,prepayment_12m,credit_score,-0.035813432734420544,-0.5569735976161886,-0.5211601648817681,0.7011522325654327
Adverse-Credit,24,prepayment_12m,ltv,-0.0022366424552155706,-0.043940469919811875,-0.041703827464596305,0.05610699685759549
Adverse-Credit,24,prepayment_12m,balance_ratio,0.0030801232246033,0.026871849934301213,0.02379172670969791,0.032008628869161115
Adverse-Credit,24,prepayment_12m,balance_gap_abs,-0.10038460525211906,-0.0785302504250707,0.021854354827048367,0.02940215064545153
Adverse-Credit,24,prepayment_12m,interest_rate,-0.02561289900789921,-0.006061483624082586,0.019551415383816623,0.02630384950716087
Adverse-Credit,36,delinquency_3m,credit_score,-0.019927987839084064,0.6790507408924925,0.6989787287315766,0.47614808976690426
Adverse-Credit,36,delinquency_3m,ltv,-0.0654436712060407,0.17696814627222815,0.24241181747826884,0.16513224091762957
Adverse-Credit,36,delinquency_3m,credit_score_band,-0.013335295472223998,0.207111638489428,0.22044693396165202,0.1501696434901391
Adverse-Credit,36,delinquency_3m,rate_spread,0.0038507489577877863,-0.025956290863419957,-0.029807039821207745,0.02030471670894634
Adverse-Credit,36,delinquency_3m,paydown_3m,-0.14043844570920733,-0.11315804542127314,0.027280400287934187,0.018583556195977787
Adverse-Credit,36,default_12m,credit_score,-0.023015024664461207,1.974962068739966,1.9979770934044272,0.583933197958575
