scenario,horizon_month,credit_score_band,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,1,620-659,0.39953576792086304,0.37318369261742707,0.04965841520484592,1531,0.0,0.0,0.0
Adverse-Credit,1,660-699,0.21504535347723097,0.17713132941252596,0.07465200632857576,2899,0.0,0.0,0.0
Adverse-Credit,1,700-739,0.09856394711552387,0.04205509878748072,0.081108812634408,2838,0.0,0.0,0.0
Adverse-Credit,1,740-799,0.04914074352680589,0.014242727488304508,0.08933235068192552,1946,0.0,0.0,0.0
Adverse-Credit,1,800+,0.02789384910841923,0.0056951467358956065,0.08384373483516376,247,0.0,0.0,0.0
Adverse-Credit,1,<620,0.4751980354431734,0.4418700437535102,0.04176485792994265,539,0.0,0.0,0.0
Adverse-Credit,12,620-659,0.411880263632232,0.39587682262351587,0.04761324394897753,1531,0.0,0.0,0.0
Adverse-Credit,12,660-699,0.2639855187260946,0.30519857594474825,0.06067794963876967,2899,0.0,0.0,0.0
Adverse-Credit,12,700-739,0.16635833381181175,0.23083223516493123,0.06898972612904056,2838,0.0,0.0,0.0
Adverse-Credit,12,740-799,0.09342766619669982,0.09976068146648759,0.0776066628985611,1946,0.0,0.0,0.0
Adverse-Credit,12,800+,0.04794391242852584,0.014584355180770392,0.08156319763848711,247,0.0,0.0,0.0
Adverse-Credit,12,<620,0.4816324856500326,0.44370994826536714,0.04151366270862974,539,0.0,0.0,0.0
Adverse-Credit,24,620-659,0.4164300591908241,0.397167840947766,0.04706451503720956,1531,0.0,0.0,0.0
Adverse-Credit,24,660-699,0.2688210507890534,0.3076656107232571,0.05864844354311832,2899,0.0,0.0,0.0
Adverse-Credit,24,700-739,0.17779206775081877,0.24972410983595406,0.06538630302148946,2838,0.0,0.0,0.0
Adverse-Credit,24,740-799,0.13872494939480653,0.22295032813734256,0.0665648382321338,1946,0.0,0.0,0.0
Adverse-Credit,24,800+,0.11859123958186436,0.19875041839645763,0.06453526922828011,247,0.0,0.0,0.0
Adverse-Credit,24,<620,0.48534496969735375,0.4439048853311031,0.04037566817878447,539,0.0,0.0,0.0
Adverse-Credit,36,620-659,0.41828077870374514,0.39566947616564346,0.04600442887855103,1531,0.0,0.0,0.0
Adverse-Credit,36,660-699,0.27257271864840726,0.30724686473538126,0.057048460199068146,2899,0.0,0.0,0.0
Adverse-Credit,36,700-739,0.18195467636247165,0.25012166646816597,0.0638502278110071,2838,0.0,0.0,0.0
Adverse-Credit,36,740-799,0.14222116964813267,0.22406465784238763,0.06586983778291357,1946,0.0,0.0,0.0
Adverse-Credit,36,800+,0.1204589309329015,0.2002794494930752,0.06366528549727123,247,0.0,0.0,0.0
Adverse-Credit,36,<620,0.486477245746796,0.4422699201307636,0.03964739713049915,539,0.0,0.0,0.0
Adverse-Credit,48,620-659,0.4188571839276033,0.39431554439158245,0.045786927524251175,1531,0.0,0.0,0.0
