scenario,horizon_month,servicer_name,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,1,Atlas Mortgage Services,0.18302335796530717,0.14481276763145615,0.07356702938635322,2019,0.0,0.0,0.0
Adverse-Credit,1,Beacon Home Loans,0.18967289478670513,0.14941740953737553,0.07371376749104135,1964,0.0,0.0,0.0
Adverse-Credit,1,Cornerstone Loan Servicing,0.1989219070254229,0.15733760565116509,0.07403209115226286,2049,0.0,0.0,0.0
Adverse-Credit,1,Meridian Residential Capital,0.18378774697591788,0.14323935609569677,0.07468534518172892,2033,0.0,0.0,0.0
Adverse-Credit,1,Northgate Financial Servicing,0.18098523456218518,0.1406037184191774,0.0738287816166759,1935,0.0,0.0,0.0
Adverse-Credit,12,Atlas Mortgage Services,0.2281321513189868,0.26025094702191437,0.06271228405740019,2019,4.671216101246261,11.721844806447942,-1.0916463166795773
Adverse-Credit,12,Beacon Home Loans,0.23513943310792568,0.2676467703681518,0.06440973417556545,1964,4.7005709781403,11.952553990678993,-0.9280515758420982
Adverse-Credit,12,Cornerstone Loan Servicing,0.24256630572560955,0.26622860312891616,0.06458681047307649,2049,4.499327721113569,11.038392135945681,-0.9560973291697861
Adverse-Credit,12,Meridian Residential Capital,0.22804298457078698,0.25207418329192854,0.06327649966499412,2033,4.580043796945113,11.08828487119322,-1.1211773714111792
Adverse-Credit,12,Northgate Financial Servicing,0.22646901298120115,0.24484863720570316,0.0641045567696043,1935,4.689559277246416,10.568826645916959,-0.983610324875607
Adverse-Credit,24,Atlas Mortgage Services,0.24403320682007928,0.2980443108699624,0.05789045108151645,2019,6.400211965425854,15.691226208357605,-1.5488574852996742
Adverse-Credit,24,Beacon Home Loans,0.25168890498782087,0.3039888679449646,0.06035881590497374,1964,6.52347275546617,15.776269148557553,-1.3212251970793585
Adverse-Credit,24,Cornerstone Loan Servicing,0.2587458052207544,0.29877617554027325,0.06019578864801284,2049,6.288050842197729,14.478587742875106,-1.395948572805651
