scenario,horizon_month,state,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,1,AL,0.20155100591907849,0.14329941975242075,0.06838055673270192,143,0.0,0.0,0.0
Adverse-Credit,1,AZ,0.2222730234369404,0.1772368008426978,0.07803119084935646,266,0.0,0.0,0.0
Adverse-Credit,1,CA,0.1898995426399599,0.15418387917264886,0.07583573187592262,1290,0.0,0.0,0.0
Adverse-Credit,1,CO,0.1941074982858704,0.15437671403687753,0.07875290630212307,176,0.0,0.0,0.0
Adverse-Credit,1,CT,0.20706938253610047,0.1552079761635559,0.071357972803505,109,0.0,0.0,0.0
Adverse-Credit,1,FL,0.17918949781438104,0.14659582047330424,0.07294133551949947,972,0.0,0.0,0.0
Adverse-Credit,1,GA,0.19433669954830865,0.14126134785197425,0.06979057019015149,383,0.0,0.0,0.0
Adverse-Credit,1,IL,0.18019127244219418,0.1348326068643595,0.08089484463376367,412,0.0,0.0,0.0
Adverse-Credit,1,IN,0.15916619396397502,0.1216030992689051,0.07535917717025765,210,0.0,0.0,0.0
Adverse-Credit,1,KY,0.22039342816479426,0.16730855807205874,0.0713852851088608,152,0.0,0.0,0.0
Adverse-Credit,1,LA,0.20773836723705005,0.1608358106635292,0.06893772223856605,133,0.0,0.0,0.0
Adverse-Credit,1,MA,0.17497197811283247,0.15038519209678716,0.06860436806157222,236,0.0,0.0,0.0
Adverse-Credit,1,MD,0.18203451391440917,0.13401334424553266,0.07857650916196611,199,0.0,0.0,0.0
Adverse-Credit,1,MI,0.20400579644118647,0.16535980150836999,0.0686507623002693,313,0.0,0.0,0.0
Adverse-Credit,1,MN,0.15917314789765152,0.12383921843607128,0.08253236264675846,179,0.0,0.0,0.0
Adverse-Credit,1,MO,0.18938769533147298,0.15252873337859463,0.0742057276603315,214,0.0,0.0,0.0
Adverse-Credit,1,NC,0.201789375729076,0.149277338218722,0.07553550027493186,367,0.0,0.0,0.0
Adverse-Credit,1,NJ,0.1704514216890885,0.11625227713841799,0.07329313742142195,288,0.0,0.0,0.0
Adverse-Credit,1,NY,0.1953613747757881,0.15311816699378478,0.07337745560775073,589,0.0,0.0,0.0
Adverse-Credit,1,OH,0.18485951366569317,0.15661460215556855,0.07277175022171814,419,0.0,0.0,0.0
Adverse-Credit,1,OK,0.14826236057992467,0.10787348649179096,0.06844175342820003,119,0.0,0.0,0.0
Adverse-Credit,1,OR,0.15365952539040942,0.12269815174188597,0.059587037248600025,167,0.0,0.0,0.0
Adverse-Credit,1,PA,0.19831042562472545,0.16447964523339315,0.07241757486872112,419,0.0,0.0,0.0
