scenario,horizon_month,vintage_year,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,1,2018,0.19585923672411634,0.14344347096513338,0.07019370612603423,1717,0.0,0.0,0.0
Adverse-Credit,1,2019,0.20796588099556507,0.15606197399590857,0.07201274211637604,1675,0.0,0.0,0.0
Adverse-Credit,1,2020,0.20383751685724094,0.16030449210037748,0.07463776722132748,1650,0.0,0.0,0.0
Adverse-Credit,1,2021,0.17827680863133824,0.14250789180301449,0.07684217725917787,1658,0.0,0.0,0.0
Adverse-Credit,1,2022,0.1850258342679426,0.13605521168838625,0.07292865064994172,1698,0.0,0.0,0.0
Adverse-Credit,1,2023,0.17021321642891754,0.12485984012790634,0.07377846092357496,1602,0.0,0.0,0.0
Adverse-Credit,12,2018,0.2403450280348903,0.2480850947028468,0.05812336685761595,1717,4.670503465093473,10.556218671867063,-1.1667207227329217
Adverse-Credit,12,2019,0.2522414727933961,0.2601869063062849,0.0637739630048491,1675,4.625644051021053,10.517227630765571,-0.8233729594801092
Adverse-Credit,12,2020,0.24305009648399833,0.2550522304587956,0.06851600859552309,1650,4.086598210487283,9.613503007397291,-0.5898584636961801
Adverse-Credit,12,2021,0.21879186734106,0.24711127068417502,0.07068499942984141,1658,4.177999486398981,10.657769598477469,-0.627345677062377
Adverse-Credit,12,2022,0.23642624057429792,0.24917053154998828,0.06395002959041189,1698,5.368092003988018,11.472071026032681,-0.9200360611814105
Adverse-Credit,12,2023,0.22791716146137664,0.2552534996989947,0.06310264599483667,1602,5.79794720033936,13.25420887395124,-1.1163118881637388
Adverse-Credit,24,2018,0.25507818536722954,0.27619336026442,0.05415811695297271,1717,6.297291179734099,13.462026732891319,-1.54892339355705
Adverse-Credit,24,2019,0.26755599768571625,0.28971447969061204,0.06108267579271141,1675,6.3079442788610525,13.630128947276607,-1.0640723429021615
Adverse-Credit,24,2020,0.25816533624732224,0.28170750314418186,0.06521692484057397,1650,5.815626336163163,12.50030173724813,-0.9325206546378695
Adverse-Credit,24,2021,0.2346348370002205,0.27924268348487846,0.06773402424465953,1658,5.940109600808468,14.073702392162806,-0.8834980427344472
Adverse-Credit,24,2022,0.25572804804006916,0.28509918158781056,0.059197382367990575,1698,7.4782468756761284,15.2010284832963,-1.3673700787039778
Adverse-Credit,24,2023,0.244475157573364,0.2941709021256539,0.05779206320693453,1602,7.5044564025642915,17.376876934900153,-1.6747077669537134
Adverse-Credit,36,2018,0.2585044616496599,0.27679375735872835,0.05217152142684149,1717,6.829032605929234,13.620686417299648,-1.716457522544429
Adverse-Credit,36,2019,0.2714601491235135,0.2905484719219462,0.05943151331940327,1675,6.898733558670219,13.816581950849471,-1.236245202096907
Adverse-Credit,36,2020,0.26170868603196973,0.28337405523210385,0.06333489349715928,1650,6.340975260924892,12.818003984285456,-1.1482220870076678
Adverse-Credit,36,2021,0.23839870572127023,0.2810021430429926,0.06556202666879073,1658,6.478923460521627,14.386342800502524,-1.1236306446617315
Adverse-Credit,36,2022,0.26100430358585003,0.28578052148613386,0.05668224819246242,1698,8.189632523538032,15.339698171804784,-1.6127084931790374
Adverse-Credit,36,2023,0.2490870813530462,0.2907026097861332,0.056270756838620636,1602,8.069319778443424,17.245688696561196,-1.823489202683097
Adverse-Credit,48,2018,0.2611604037391867,0.2768692436852827,0.050441840049955056,1717,7.24002493220286,13.692448900403557,-1.8942349376148095
Adverse-Credit,48,2019,0.27372830691751415,0.29064184157734724,0.057577220505487595,1675,7.328793828098562,13.953221975562643,-1.3905161430241106
Adverse-Credit,48,2020,0.2640514353414171,0.2843668747532458,0.06187905212332428,1650,6.787952797070104,13.013795787952208,-1.2357622327307825
Adverse-Credit,48,2021,0.2409223190917149,0.2823692968178075,0.06389573406992595,1658,6.845212446964588,14.596207876918148,-1.2885484536281202
Adverse-Credit,48,2022,0.2641104470453289,0.2857959171049511,0.054669448687582195,1698,8.626307628354915,15.416477422715891,-1.7581141625800836
Adverse-Credit,48,2023,0.252627632691491,0.28691102319726824,0.05407111799267924,1602,8.498410770762987,17.039877807884285,-2.0746668015838403
Baseline,1,2018,0.19585923672411634,0.14344347096513338,0.07019370612603423,1717,0.0,0.0,0.0
Baseline,1,2019,0.20796588099556507,0.15606197399590857,0.07201274211637604,1675,0.0,0.0,0.0
Baseline,1,2020,0.20383751685724094,0.16030449210037748,0.07463776722132748,1650,0.0,0.0,0.0
Baseline,1,2021,0.17827680863133824,0.14250789180301449,0.07684217725917787,1658,0.0,0.0,0.0
Baseline,1,2022,0.1850258342679426,0.13605521168838625,0.07292865064994172,1698,0.0,0.0,0.0
Baseline,1,2023,0.17021321642891754,0.12485984012790634,0.07377846092357496,1602,0.0,0.0,0.0
Baseline,12,2018,0.19363999338395557,0.14252290798417616,0.06979057408494517,1717,0.0,0.0,0.0
Baseline,12,2019,0.20598503228318557,0.15501462999862917,0.07200769259965019,1675,0.0,0.0,0.0
Baseline,12,2020,0.2021841143791255,0.15891720038482268,0.0744145932324849,1650,0.0,0.0,0.0
Baseline,12,2021,0.17701187247707018,0.14053357469940034,0.07695845620046518,1658,0.0,0.0,0.0
Baseline,12,2022,0.18274532053441775,0.13444982128966146,0.073150390202226,1698,0.0,0.0,0.0
Baseline,12,2023,0.16993768945798304,0.1227114109594823,0.07426576487647406,1602,0.0,0.0,0.0
Baseline,24,2018,0.19210527356988855,0.1415730929355068,0.06964735088854321,1717,0.0,0.0,0.0
Baseline,24,2019,0.20447655489710573,0.15341319021784597,0.07172339922173303,1675,0.0,0.0,0.0
Baseline,24,2020,0.20000907288569061,0.15670448577170057,0.07454213138695266,1650,0.0,0.0,0.0
Baseline,24,2021,0.17523374099213582,0.1385056595632504,0.076569004672004,1658,0.0,0.0,0.0
Baseline,24,2022,0.18094557928330787,0.13308889675484756,0.07287108315503035,1698,0.0,0.0,0.0
Baseline,24,2023,0.16943059354772108,0.12040213277665235,0.07453914087647166,1602,0.0,0.0,0.0
Baseline,36,2018,0.19021413559036757,0.14058689318573186,0.06933609665228578,1717,0.0,0.0,0.0
Baseline,36,2019,0.20247281353681132,0.1523826524134515,0.07179396534037234,1675,0.0,0.0,0.0
Baseline,36,2020,0.1982989334227208,0.1551940153892493,0.07481711436723595,1650,0.0,0.0,0.0
Baseline,36,2021,0.17360947111605396,0.13713871503796735,0.07679833311540804,1658,0.0,0.0,0.0
Baseline,36,2022,0.1791079783504697,0.13238353976808603,0.07280933312425279,1698,0.0,0.0,0.0
Baseline,36,2023,0.16839388356861196,0.11824572282052125,0.0745056488654516,1602,0.0,0.0,0.0
Baseline,48,2018,0.1887601544171581,0.13994475468124715,0.06938418942610315,1717,0.0,0.0,0.0
Baseline,48,2019,0.20044036863652853,0.1511096218217208,0.0714823819357287,1675,0.0,0.0,0.0
Baseline,48,2020,0.19617190737071608,0.1542289168737237,0.0742366744506321,1650,0.0,0.0,0.0
Baseline,48,2021,0.17247019462206903,0.136407218048626,0.07678121860620715,1658,0.0,0.0,0.0
Baseline,48,2022,0.17784737076177973,0.1316311428777922,0.07225059031338303,1698,0.0,0.0,0.0
Baseline,48,2023,0.16764352498386115,0.11651224511842541,0.07481778600851764,1602,0.0,0.0,0.0
High-Prepayment,1,2018,0.19585923672411634,0.14344347096513338,0.07019370612603423,1717,0.0,0.0,0.0
High-Prepayment,1,2019,0.20796588099556507,0.15606197399590857,0.07201274211637604,1675,0.0,0.0,0.0
High-Prepayment,1,2020,0.20383751685724094,0.16030449210037748,0.07463776722132748,1650,0.0,0.0,0.0
High-Prepayment,1,2021,0.17827680863133824,0.14250789180301449,0.07684217725917787,1658,0.0,0.0,0.0
High-Prepayment,1,2022,0.1850258342679426,0.13605521168838625,0.07292865064994172,1698,0.0,0.0,0.0
High-Prepayment,1,2023,0.17021321642891754,0.12485984012790634,0.07377846092357496,1602,0.0,0.0,0.0
High-Prepayment,12,2018,0.18980196175546857,0.13561622454073202,0.07152763820776063,1717,-0.3838031628487004,-0.6906683443444139,0.17370641228154626
High-Prepayment,12,2019,0.20229142109493814,0.14569100533594645,0.07355926938637852,1675,-0.3693611188247431,-0.9323624662682717,0.15515767867283342
High-Prepayment,12,2020,0.19808809780643336,0.15160928979747385,0.07564562989666555,1650,-0.40960165726921516,-0.7307910587348837,0.12310366641806597
High-Prepayment,12,2021,0.17348552317865457,0.13133513259117177,0.07824381993935081,1658,-0.352634929841561,-0.9198442108228566,0.1285363738885631
High-Prepayment,12,2022,0.17829681475776624,0.12718834782557245,0.07382601060524224,1698,-0.44485057766515124,-0.7261473464089008,0.06756204030162472
High-Prepayment,12,2023,0.1660556772321827,0.11198053230605536,0.07533380343726656,1602,-0.3882012225800341,-1.073087865342695,0.1068038560792503
High-Prepayment,24,2018,0.1837548198750503,0.12547027924842175,0.07243482166148289,1717,-0.835045369483825,-1.610281368708505,0.27874707729396847
High-Prepayment,24,2019,0.1958824761836832,0.1339856115917359,0.07495729268307876,1675,-0.859407871342252,-1.9427578626110082,0.3233893461345727
High-Prepayment,24,2020,0.1913951934777138,0.14015857115797023,0.07660669947712546,1650,-0.861387940797681,-1.654591461373034,0.20645680901728025
High-Prepayment,24,2021,0.16801102558000824,0.12116554424828879,0.07903014251265969,1658,-0.7222715412127573,-1.7340115314961602,0.2461137840655686
High-Prepayment,24,2022,0.1710350076276499,0.11800101231217085,0.07450435103266921,1698,-0.9910571655657979,-1.5087884442676711,0.16332678776388582
High-Prepayment,24,2023,0.1610345914305522,0.10175576161084028,0.07625011155451203,1602,-0.8396002117168871,-1.8646371165812068,0.1710970678040366
High-Prepayment,36,2018,0.17748706588067187,0.11644436602695422,0.07361801577467281,1717,-1.27270697096957,-2.414252715877764,0.4281919122387026
High-Prepayment,36,2019,0.18985126960524698,0.12279057831454984,0.07627387129945247,1675,-1.2621543931564339,-2.959207409890166,0.4479905959080127
