cause,horizon_months,decile,loans,mean_predicted,observed_cif,gap
default,24,1,399,0.01695003871933873,0.005931630397906981,0.01101840832143175
default,24,2,399,0.034322369067667065,0.009884085274017946,0.024438283793649117
default,24,3,399,0.05228068706724854,0.018090991353875638,0.0341896957133729
default,24,4,399,0.0730693343603852,0.035393846225545526,0.03767548813483967
default,24,5,399,0.09744945783239789,0.05853930594055457,0.03891015189184332
default,24,6,398,0.12845150574266048,0.09657059715056128,0.0318809085920992
default,24,7,399,0.16883010667243623,0.1603660383581622,0.008464068314274015
default,24,8,399,0.2282439781662494,0.27265461039487376,-0.044410632228624375
default,24,9,399,0.3285065644070758,0.37143872076723145,-0.04293215636015563
default,24,10,399,0.5952726244251967,0.4917184913909806,0.10355413303421607
prepaid,24,1,399,0.08185199219656633,0.0899042560624521,-0.00805226386588577
prepaid,24,2,399,0.11173315951281536,0.1358753318230007,-0.024142172310185353
prepaid,24,3,399,0.12749860760750825,0.14094690940892163,-0.013448301801413376
prepaid,24,4,399,0.1386391607563982,0.1300607077876186,0.008578452968779599
prepaid,24,5,399,0.14824080969281075,0.14697719382912533,0.0012636158636854244
prepaid,24,6,398,0.15811460171305652,0.15454576736669218,0.003568834346364347
prepaid,24,7,399,0.16964740836195524,0.1536537524023618,0.015993655959593456
prepaid,24,8,399,0.1823907649321021,0.17610824479790108,0.006282520134201025
prepaid,24,9,399,0.19992342535762983,0.21335737366650737,-0.013433948308877536
prepaid,24,10,399,0.2359425661878824,0.17337451720539165,0.06256804898249074
