month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause
1.0,9885.0,0.0,69.0,69.0,123.0,0.0,0.9930197268588771,0.0,0.0,default
2.0,9693.0,0.0,62.0,62.0,127.0,0.0,0.9866680067448514,0.0,0.0,default
3.0,9504.0,0.0,86.0,86.0,125.0,0.0,0.9777398240238858,0.0,0.0,default
4.0,9293.0,50.0,55.0,105.0,124.0,0.0053803938448294415,0.9666925108287381,0.005260625331022737,0.0053803938448294675,default
5.0,9064.0,82.0,84.0,166.0,121.0,0.009046778464254192,0.9489883011202682,0.014006078319543976,0.01437849707791905,default
6.0,8777.0,83.0,58.0,141.0,119.0,0.009456534123276746,0.9337430749088113,0.022980218571678222,0.023699060452937015,default
7.0,8517.0,87.0,67.0,154.0,118.0,0.010214864388869321,0.9168596143551002,0.03251827745591758,0.03367184215313601,default
8.0,8245.0,87.0,54.0,141.0,115.0,0.01055184960582171,0.901180147329743,0.04219284221624429,0.043868391544606866,default
9.0,7989.0,74.0,55.0,129.0,121.0,0.009262736262360747,0.8866286090889699,0.0505402362458351,0.05272478646583589,default
10.0,7739.0,83.0,64.0,147.0,99.0,0.010724899857862773,0.8697873627346504,0.060049239289430456,0.06288421826882529,default
11.0,7493.0,65.0,68.0,133.0,104.0,0.008674763112238089,0.8543487241061026,0.06759443861917185,0.07101347568408312,default
12.0,7256.0,61.0,50.0,111.0,110.0,0.00840683572216097,0.8412791667224508,0.07477680799216968,0.0788233127821083,default
13.0,7035.0,56.0,48.0,104.0,99.0,0.007960199004975124,0.8288423460630144,0.08147355757802004,0.08615606253110641,default
14.0,6832.0,51.0,48.0,99.0,118.0,0.007464871194379391,0.8168318963762115,0.08766075893182766,0.0929777898160763,default
15.0,6615.0,51.0,56.0,107.0,106.0,0.007709750566893424,0.8036193471831269,0.09395832910797079,0.09997070481522674,default
16.0,6402.0,51.0,45.0,96.0,108.0,0.007966260543580132,0.7915688227642609,0.10036017020549336,0.10714057267752353,default
17.0,6198.0,62.0,47.0,109.0,124.0,0.010003226847370119,0.7776480415959316,0.10827841270490997,0.11607204807184324,default
18.0,5965.0,42.0,39.0,81.0,99.0,0.007041072925398156,0.7670881939229609,0.11375388927607998,0.12229584924216719,default
19.0,5785.0,51.0,42.0,93.0,110.0,0.00881590319792567,0.7547564390336202,0.12051646453797643,0.13003360407166586,default
20.0,5582.0,44.0,42.0,86.0,106.0,0.007882479398065209,0.7431281599657429,0.126465816619216,0.13689109626457996,default
21.0,5390.0,54.0,44.0,98.0,105.0,0.010018552875695733,0.7296167388754566,0.13391088538325127,0.14553819845413707,default
22.0,5187.0,31.0,37.0,68.0,112.0,0.005976479660690187,0.7200516842690308,0.13827142498323955,0.15064487203191257,default
23.0,5007.0,41.0,35.0,76.0,98.0,0.008188536049530657,0.7091221999461935,0.14416759415740177,0.15759984711613295,default
24.0,4833.0,48.0,40.0,88.0,111.0,0.009931719428926133,0.6962103949399313,0.1512103968880902,0.16596632908146003,default
25.0,4634.0,42.0,30.0,72.0,85.0,0.00906344410876133,0.6853931423642569,0.15752046089056693,0.1735255466426553,default
26.0,4477.0,44.0,31.0,75.0,87.0,0.009828009828009828,0.673911238036064,0.16425651142977338,0.18164814569285026,default
27.0,4315.0,23.0,27.0,50.0,98.0,0.005330243337195829,0.666102301326492,0.1678486223161765,0.18601016021175276,default
28.0,4167.0,24.0,28.0,52.0,90.0,0.005759539236861051,0.6577900095892764,0.17168506465642988,0.19069836663241935,default
29.0,4025.0,31.0,43.0,74.0,81.0,0.007701863354037267,0.645696478978194,0.17675127342593736,0.19693149722481562,default
30.0,3870.0,23.0,29.0,52.0,101.0,0.005943152454780362,0.6370204539376602,0.18058874604001965,0.20170425576844075,default
31.0,3717.0,40.0,27.0,67.0,94.0,0.010761366693570083,0.6255379760216464,0.18744395673614728,0.21029500900203302,default
32.0,3556.0,31.0,20.0,51.0,77.0,0.008717660292463443,0.6165665371079502,0.19289718431113914,0.21717938884481625,default
33.0,3428.0,24.0,36.0,60.0,102.0,0.007001166861143524,0.6057748240897247,0.19721386951842934,0.22266004656585603,default
34.0,3266.0,21.0,18.0,39.0,89.0,0.006429883649724434,0.5985411381927562,0.20110893115525855,0.22765825202271972,default
35.0,3138.0,22.0,25.0,47.0,76.0,0.007010834926704908,0.5895763728979635,0.20530520427197002,0.23307301252479118,default
36.0,3015.0,25.0,19.0,44.0,80.0,0.008291873963515755,0.580972273260315,0.2101938972479067,0.23943227444415438,default
37.0,2891.0,19.0,17.0,36.0,70.0,0.006572120373573158,0.5737377516977514,0.21401211696148195,0.24443081708876213,default
38.0,2785.0,8.0,23.0,31.0,78.0,0.002872531418312388,0.5673514427919596,0.21566019667910566,0.2466012133053832,default
39.0,2676.0,13.0,16.0,29.0,85.0,0.004857997010463378,0.561203015347652,0.21841638829207108,0.2502612223588324,default
40.0,2562.0,13.0,20.0,33.0,71.0,0.00507416081186573,0.5539744050797081,0.22126402264004902,0.2540655174834754,default
41.0,2458.0,11.0,18.0,29.0,81.0,0.004475183075671277,0.5474384987545203,0.2237431595220168,0.257403710855193,default
42.0,2348.0,21.0,27.0,48.0,75.0,0.008943781942078365,0.5362472517612422,0.22863933008157594,0.2640453301363007,default
43.0,2225.0,13.0,13.0,26.0,85.0,0.005842696629213483,0.5299809917406614,0.23177246009186633,0.26834529000516727,default
44.0,2114.0,11.0,23.0,34.0,76.0,0.005203405865657522,0.521457172573593,0.23453016629297668,0.27215238641479034,default
45.0,2004.0,17.0,10.0,27.0,67.0,0.008483033932135729,0.5144315519850267,0.23895370518207404,0.2783267424182576,default
46.0,1910.0,14.0,20.0,34.0,83.0,0.007329842931937173,0.505274131687911,0.24272440765735695,0.28361649404451117,default
47.0,1793.0,15.0,11.0,26.0,62.0,0.008365867261572783,0.49794723407280467,0.24695146397376447,0.28960966336371485,default
48.0,1705.0,11.0,16.0,27.0,77.0,0.0064516129032258064,0.4900618526534699,0.25016402677423416,0.29419282682588443,default
49.0,1601.0,11.0,23.0,34.0,67.0,0.006870705808869456,0.4796545428532088,0.2535310975919657,0.2990422202705536,default
50.0,1500.0,6.0,16.0,22.0,70.0,0.004,0.4726196095580284,0.2554497157633785,0.3018460513894714,default
51.0,1408.0,9.0,10.0,19.0,71.0,0.006392045454545455,0.46624193016768567,0.25847072179038294,0.3063086831632603,default
52.0,1318.0,7.0,12.0,19.0,67.0,0.005311077389984826,0.4595206883822638,0.2609469687639594,0.30999293143174067,default
53.0,1232.0,11.0,13.0,24.0,71.0,0.008928571428571428,0.4505689866605314,0.26504983205308674,0.31615370882967153,default
54.0,1137.0,12.0,6.0,18.0,74.0,0.010554089709762533,0.44343596840205335,0.2698051775587388,0.32337108393437164,default
55.0,1045.0,5.0,9.0,14.0,65.0,0.004784688995215311,0.4374951994473847,0.27192688075683474,0.3266085428629153,default
56.0,966.0,3.0,11.0,14.0,63.0,0.003105590062111801,0.4311546893104661,0.2732855615004602,0.32869982068011117,default
57.0,889.0,2.0,4.0,6.0,45.0,0.0022497187851518562,0.4282447588989219,0.27425553830430827,0.330210057304003,default
58.0,838.0,7.0,8.0,15.0,58.0,0.008353221957040573,0.42057927992101757,0.2778327618273303,0.3358049613599361,default
59.0,765.0,5.0,11.0,16.0,749.0,0.006535947712418301,0.41178285053704855,0.2805816460098206,0.34014610540333523,default
