month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,credit_score_band,n_loans,follow_up_months
1.0,1512.0,0.0,5.0,5.0,25.0,0.0,0.9966931216931217,0.0,0.0,default,620-659,1512,55
2.0,1482.0,0.0,11.0,11.0,15.0,0.0,0.9892952645145628,0.0,0.0,default,620-659,1512,55
3.0,1456.0,0.0,8.0,8.0,19.0,0.0,0.9838595762479994,0.0,0.0,default,620-659,1512,55
4.0,1429.0,25.0,3.0,28.0,20.0,0.01749475157452764,0.9645817119128391,0.017212378870678783,0.017494751574527623,default,620-659,1512,55
5.0,1381.0,33.0,9.0,42.0,17.0,0.02389572773352643,0.9352461348669744,0.04026176083528681,0.04097242948766344,default,620-659,1512,55
6.0,1322.0,38.0,7.0,45.0,15.0,0.028744326777609682,0.9034109789902619,0.06714478135339955,0.06853903136320716,default,620-659,1512,55
7.0,1262.0,48.0,10.0,58.0,17.0,0.03803486529318542,0.861891298497841,0.10150589624367892,0.10396702383116763,default,620-659,1512,55
8.0,1187.0,34.0,6.0,40.0,14.0,0.02864363942712721,0.8328469413454285,0.12619359982322956,0.12963266931536332,default,620-659,1512,55
9.0,1133.0,25.0,2.0,27.0,16.0,0.02206531332744925,0.8129997503336662,0.14457062853782418,0.1488375971768955,default,620-659,1512,55
10.0,1090.0,31.0,9.0,40.0,14.0,0.028440366972477066,0.7831648971104124,0.1676926397858459,0.17304496826635996,default,620-659,1512,55
11.0,1036.0,23.0,4.0,27.0,12.0,0.0222007722007722,0.7627542289424769,0.18507950526223535,0.1914040085461609,default,620-659,1512,55
12.0,997.0,25.0,4.0,29.0,16.0,0.025075225677031094,0.7405677970073397,0.2042057396890778,0.21167973551340868,default,620-659,1512,55
13.0,952.0,28.0,9.0,37.0,12.0,0.029411764705882353,0.7117852250648276,0.2259871454834113,0.23486562564536728,default,620-659,1512,55
14.0,903.0,22.0,5.0,27.0,16.0,0.024363233665559248,0.6905026103618925,0.2433285352413584,0.2535067731933207,default,620-659,1512,55
15.0,860.0,21.0,6.0,27.0,16.0,0.02441860465116279,0.6688240400365774,0.26018964549438134,0.2717350961734838,default,620-659,1512,55
16.0,817.0,22.0,0.0,22.0,11.0,0.02692778457772338,0.6508140903660697,0.2781995951648889,0.2913456566192406,default,620-659,1512,55
17.0,784.0,25.0,5.0,30.0,12.0,0.03188775510204082,0.6259104899694089,0.2989525954954396,0.31394305277296375,default,620-659,1512,55
18.0,742.0,19.0,5.0,24.0,8.0,0.025606469002695417,0.605665406735897,0.3149799530553032,0.33151054872621666,default,620-659,1512,55
19.0,710.0,22.0,4.0,26.0,14.0,0.030985915492957747,0.5834861101512022,0.33374705016542955,0.35222430637131974,default,620-659,1512,55
20.0,670.0,15.0,4.0,19.0,12.0,0.022388059701492536,0.5669394891170636,0.34681017203448633,0.36672674727345433,default,620-659,1512,55
21.0,639.0,17.0,5.0,22.0,16.0,0.026604068857589983,0.5474204456732836,0.3618930692410436,0.3835743924946614,default,620-659,1512,55
22.0,601.0,16.0,3.0,19.0,12.0,0.026622296173044926,0.530114308455659,0.376466658476938,0.39998505758631764,default,620-659,1512,55
23.0,570.0,17.0,6.0,23.0,13.0,0.02982456140350877,0.5087237310969218,0.3922770852203524,0.4178802400793573,default,620-659,1512,55
