month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,ltv_band,n_loans,follow_up_months
1.0,4334.0,0.0,30.0,30.0,57.0,0.0,0.9930779880018459,0.0,0.0,default,60-75%,4334,59
2.0,4247.0,0.0,28.0,28.0,52.0,0.0,0.986530734961099,0.0,0.0,default,60-75%,4334,59
3.0,4167.0,0.0,36.0,36.0,61.0,0.0,0.9780077912465323,0.0,0.0,default,60-75%,4334,59
4.0,4070.0,11.0,30.0,41.0,49.0,0.002702702702702703,0.9681556243076851,0.0026432643006663037,0.002702702702702675,default,60-75%,4334,59
5.0,3980.0,14.0,42.0,56.0,53.0,0.0035175879396984926,0.9545333341164212,0.006048836848482281,0.006210783647969564,default,60-75%,4334,59
6.0,3871.0,13.0,28.0,41.0,48.0,0.003358305347455438,0.9444233194693601,0.009254451248769927,0.009548231287488051,default,60-75%,4334,59
7.0,3782.0,23.0,34.0,57.0,50.0,0.006081438392384982,0.9301895465424026,0.01499790348245456,0.015571602699541942,default,60-75%,4334,59
8.0,3675.0,15.0,21.0,36.0,54.0,0.004081632653061225,0.9210774856783137,0.018794595509158244,0.019589677790564308,default,60-75%,4334,59
9.0,3585.0,18.0,29.0,47.0,53.0,0.00502092050209205,0.9090019928395743,0.023419252341015887,0.02451224007780828,default,60-75%,4334,59
10.0,3485.0,21.0,32.0,53.0,40.0,0.006025824964131995,0.8951778592325449,0.028896739241914327,0.030390358573752607,default,60-75%,4334,59
11.0,3392.0,13.0,34.0,47.0,43.0,0.0038325471698113208,0.8827741565839807,0.03232755061279377,0.03410643326082252,default,60-75%,4334,59
12.0,3302.0,12.0,22.0,34.0,47.0,0.0036341611144760752,0.8736844166312686,0.03553569412551569,0.03761664610178872,default,60-75%,4334,59
13.0,3221.0,10.0,19.0,29.0,40.0,0.003104625892579944,0.8658182731719992,0.038248157387332726,0.04060448638088909,default,60-75%,4334,59
14.0,3152.0,14.0,21.0,35.0,51.0,0.004441624365482234,0.8562041743264979,0.04209379692553323,0.04486576087031413,default,60-75%,4334,59
15.0,3066.0,11.0,26.0,37.0,57.0,0.003587736464448793,0.8458716386284938,0.04516563186277768,0.04829253080848328,default,60-75%,4334,59
16.0,2972.0,16.0,16.0,32.0,48.0,0.005383580080753701,0.8367640032193041,0.04971944956737253,0.05341612418232722,default,60-75%,4334,59
