month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,vintage_year,n_loans,follow_up_months
1.0,1717.0,0.0,14.0,14.0,0.0,0.0,0.9918462434478742,0.0,0.0,default,2018,1717,59
2.0,1703.0,0.0,12.0,12.0,0.0,0.0,0.9848573092603379,0.0,0.0,default,2018,1717,59
3.0,1691.0,0.0,16.0,16.0,0.0,0.0,0.9755387303436226,0.0,0.0,default,2018,1717,59
4.0,1675.0,7.0,5.0,12.0,0.0,0.00417910447761194,0.9685497961560862,0.0040768782760629,0.004179104477611939,default,2018,1717,59
5.0,1663.0,16.0,9.0,25.0,0.0,0.009621166566446182,0.9539895165987187,0.013395457192778102,0.013760063183780424,default,2018,1717,59
6.0,1638.0,15.0,8.0,23.0,0.0,0.009157509157509158,0.9405940594059407,0.022131624927198605,0.02279156443667618,default,2018,1717,59
7.0,1615.0,21.0,17.0,38.0,0.0,0.013003095975232198,0.918462434478742,0.03436225975538731,0.035498299512112585,default,2018,1717,59
8.0,1577.0,18.0,11.0,29.0,0.0,0.011414077362079899,0.9015725101921958,0.04484566103669191,0.046507196537338924,default,2018,1717,59
9.0,1548.0,13.0,12.0,25.0,0.0,0.008397932816537468,0.8870122306348283,0.05241700640652301,0.054514565041870244,default,2018,1717,59
10.0,1523.0,10.0,9.0,19.0,0.0,0.006565988181221274,0.875946418171229,0.058241118229470014,0.06072261123332212,default,2018,1717,59
11.0,1504.0,18.0,17.0,35.0,0.0,0.011968085106382979,0.8555620267909144,0.06872451951077461,0.07196396296058294,default,2018,1717,59
12.0,1469.0,14.0,22.0,36.0,0.0,0.009530292716133424,0.8345952242283052,0.07687827606290042,0.08080841804468897,default,2018,1717,59
13.0,1433.0,7.0,14.0,21.0,0.0,0.004884856943475227,0.8223645894001166,0.08095515433896332,0.08529853742618732,default,2018,1717,59
14.0,1412.0,13.0,13.0,26.0,0.0,0.009206798866855524,0.8072218986604544,0.08852649970879442,0.09372000981532291,default,2018,1717,59
15.0,1386.0,6.0,11.0,17.0,0.0,0.004329004329004329,0.7973209085614444,0.09202096680256262,0.0976432998161223,default,2018,1717,59
16.0,1369.0,15.0,10.0,25.0,0.0,0.01095690284879474,0.782760629004077,0.10075713453698312,0.10753033451499605,default,2018,1717,59
17.0,1344.0,16.0,6.0,22.0,0.0,0.011904761904761904,0.7699475829935934,0.11007571345369832,0.11815497338981751,default,2018,1717,59
18.0,1322.0,8.0,10.0,18.0,0.0,0.006051437216338881,0.7594641817122888,0.11473500291205592,0.12349140320288965,default,2018,1717,59
19.0,1304.0,10.0,10.0,20.0,0.0,0.007668711656441718,0.7478159580663948,0.12055911473500291,0.13021309489611899,default,2018,1717,59
20.0,1284.0,11.0,11.0,22.0,0.0,0.008566978193146417,0.7350029120559114,0.1269656377402446,0.13766454034482822,default,2018,1717,59
21.0,1262.0,14.0,8.0,22.0,0.0,0.011093502377179081,0.722189866045428,0.1351193942923704,0.14723086081643866,default,2018,1717,59
22.0,1240.0,14.0,7.0,21.0,0.0,0.01129032258064516,0.7099592312172393,0.1432731508444962,0.15685889948464016,default,2018,1717,59
23.0,1219.0,10.0,9.0,19.0,0.0,0.008203445447087777,0.69889341875364,0.14909726266744322,0.1637755615069154,default,2018,1717,59
24.0,1200.0,15.0,9.0,24.0,0.0,0.0125,0.6849155503785671,0.1578334304018637,0.17422836698807898,default,2018,1717,59
25.0,1176.0,12.0,8.0,20.0,0.0,0.01020408163265306,0.6732673267326731,0.1648223645894001,0.1826546081412619,default,2018,1717,59
26.0,1156.0,16.0,7.0,23.0,0.0,0.01384083044982699,0.659871869539895,0.1741409435061153,0.19396734712892605,default,2018,1717,59
27.0,1133.0,2.0,6.0,8.0,0.0,0.00176522506619594,0.6552125800815374,0.1753057658707047,0.19539017617194643,default,2018,1717,59
28.0,1125.0,6.0,9.0,15.0,0.0,0.005333333333333333,0.646476412347117,0.1788002329644729,0.19968142856569604,default,2018,1717,59
29.0,1110.0,13.0,18.0,31.0,0.0,0.011711711711711712,0.6284216656959812,0.18637157833430398,0.2090545289518636,default,2018,1717,59
30.0,1079.0,5.0,12.0,17.0,0.0,0.004633920296570899,0.6185206755969713,0.1892836342457775,0.21271970722363442,default,2018,1717,59
31.0,1062.0,11.0,12.0,23.0,0.0,0.010357815442561206,0.6051252184041932,0.19569015725101918,0.22087421119777761,default,2018,1717,59
32.0,1039.0,8.0,7.0,15.0,0.0,0.007699711260827719,0.5963890506697728,0.2003494467093768,0.22687325480741938,default,2018,1717,59
33.0,1024.0,12.0,10.0,22.0,0.0,0.01171875,0.5835760046592894,0.2073383808969132,0.23593333385264492,default,2018,1717,59
34.0,1002.0,5.0,8.0,13.0,0.0,0.00499001996007984,0.5760046592894583,0.2102504368083867,0.23974604176755188,default,2018,1717,59
35.0,989.0,6.0,4.0,10.0,0.0,0.006066734074823054,0.5701805474665114,0.2137449039021549,0.24435830036147976,default,2018,1717,59
36.0,979.0,4.0,7.0,11.0,0.0,0.0040858018386108275,0.5637740244612697,0.21607454863133368,0.2474457026071939,default,2018,1717,59
37.0,968.0,4.0,6.0,10.0,0.0,0.004132231404958678,0.5579499126383226,0.21840419336051248,0.25055543110881706,default,2018,1717,59
38.0,958.0,2.0,7.0,9.0,0.0,0.0020876826722338203,0.5527082119976703,0.21956901572510187,0.25212003354909096,default,2018,1717,59
39.0,949.0,6.0,5.0,11.0,0.0,0.006322444678609062,0.5463016889924286,0.22306348281887006,0.25684846326321686,default,2018,1717,59
40.0,938.0,4.0,10.0,14.0,0.0,0.0042643923240938165,0.5381479324403028,0.22539312754804885,0.2600175529721157,default,2018,1717,59
41.0,924.0,7.0,9.0,16.0,0.0,0.007575757575757576,0.5288293535235876,0.22947000582411176,0.26562348060111485,default,2018,1717,59
42.0,908.0,7.0,9.0,16.0,0.0,0.007709251101321586,0.5195107746068724,0.23354688410017466,0.2712849735920754,default,2018,1717,59
43.0,892.0,5.0,5.0,10.0,0.0,0.005605381165919282,0.5136866627839254,0.23645894001164816,0.2753696990764247,default,2018,1717,59
44.0,882.0,7.0,6.0,13.0,0.0,0.007936507936507936,0.5061153174140943,0.24053581828771106,0.2811207332107388,default,2018,1717,59
45.0,869.0,5.0,7.0,12.0,0.0,0.005753739930955121,0.4991263832265579,0.24344787419918457,0.2852569775535999,default,2018,1717,59
46.0,857.0,6.0,8.0,14.0,0.0,0.007001166861143524,0.4909726266744321,0.24694234129295276,0.2902610127165852,default,2018,1717,59
47.0,843.0,7.0,5.0,12.0,0.0,0.00830367734282325,0.4839836924868957,0.25101921956901563,0.2961544562646088,default,2018,1717,59
48.0,831.0,5.0,12.0,17.0,0.0,0.006016847172081829,0.4740827023878858,0.2539312754804891,0.30038938733401543,default,2018,1717,59
49.0,814.0,4.0,8.0,12.0,0.0,0.004914004914004914,0.4670937682003494,0.2562609202096679,0.3038272773225461,default,2018,1717,59
50.0,802.0,3.0,10.0,13.0,0.0,0.003740648379052369,0.4595224228305183,0.258008153756552,0.30643141468917,default,2018,1717,59
51.0,789.0,7.0,5.0,12.0,0.0,0.008871989860583017,0.4525334886429819,0.2620850320326149,0.3125847481456666,default,2018,1717,59
52.0,777.0,3.0,9.0,12.0,0.0,0.003861003861003861,0.4455445544554455,0.263832265579499,0.3152388610871891,default,2018,1717,59
53.0,765.0,6.0,9.0,15.0,0.0,0.00784313725490196,0.43680838672102495,0.26732673267326723,0.32060953668650527,default,2018,1717,59
54.0,750.0,9.0,5.0,14.0,0.0,0.012,0.42865463016889915,0.27256843331391956,0.32876222224626717,default,2018,1717,59
55.0,736.0,5.0,3.0,8.0,0.0,0.006793478260869565,0.4239953407105415,0.27548048922539303,0.3333222614973115,default,2018,1717,59
56.0,728.0,3.0,6.0,9.0,0.0,0.004120879120879121,0.41875364006988924,0.27722772277227714,0.3360695598702621,default,2018,1717,59
57.0,719.0,2.0,3.0,5.0,0.0,0.0027816411682892906,0.41584158415841577,0.27839254513686656,0.33791637611540737,default,2018,1717,59
58.0,714.0,7.0,7.0,14.0,0.0,0.00980392156862745,0.40768782760628997,0.28246942341292947,0.3444073920358445,default,2018,1717,59
59.0,700.0,4.0,10.0,14.0,686.0,0.005714285714285714,0.39953407105416416,0.28479906814210826,0.3481536355099253,default,2018,1717,59
1.0,1675.0,0.0,10.0,10.0,0.0,0.0,0.9940298507462687,0.0,0.0,default,2019,1675,59
2.0,1665.0,0.0,12.0,12.0,0.0,0.0,0.9868656716417911,0.0,0.0,default,2019,1675,59
3.0,1653.0,0.0,13.0,13.0,0.0,0.0,0.9791044776119403,0.0,0.0,default,2019,1675,59
4.0,1640.0,11.0,9.0,20.0,0.0,0.006707317073170732,0.9671641791044776,0.006567164179104477,0.006707317073170738,default,2019,1675,59
5.0,1620.0,15.0,19.0,34.0,0.0,0.009259259259259259,0.946865671641791,0.015522388059701492,0.015904471544715526,default,2019,1675,59
6.0,1586.0,12.0,9.0,21.0,0.0,0.007566204287515763,0.9343283582089552,0.022686567164179106,0.02335033935143893,default,2019,1675,59
7.0,1565.0,14.0,12.0,26.0,0.0,0.008945686900958467,0.9188059701492537,0.031044776119402987,0.03208714142752822,default,2019,1675,59
8.0,1539.0,12.0,10.0,22.0,0.0,0.007797270955165692,0.9056716417910448,0.0382089552238806,0.03963422024680674,default,2019,1675,59
9.0,1517.0,14.0,12.0,26.0,0.0,0.00922874093605801,0.8901492537313433,0.046567164179104475,0.048497187232004246,default,2019,1675,59
10.0,1491.0,20.0,13.0,33.0,0.0,0.01341381623071764,0.8704477611940299,0.05850746268656716,0.06126047110548516,default,2019,1675,59
11.0,1458.0,10.0,13.0,23.0,0.0,0.006858710562414266,0.8567164179104478,0.06447761194029851,0.06769901382766974,default,2019,1675,59
12.0,1435.0,18.0,10.0,28.0,0.0,0.012543554006968641,0.8400000000000001,0.07522388059701493,0.07939338159847242,default,2019,1675,59
13.0,1407.0,8.0,8.0,16.0,0.0,0.005685856432125089,0.8304477611940299,0.08,0.08462781866116764,default,2019,1675,59
14.0,1391.0,8.0,4.0,12.0,0.0,0.005751258087706686,0.8232835820895522,0.08477611940298507,0.08989236032235437,default,2019,1675,59
15.0,1379.0,7.0,12.0,19.0,0.0,0.005076142131979695,0.8119402985074626,0.08895522388059701,0.09451219605675865,default,2019,1675,59
16.0,1360.0,12.0,8.0,20.0,0.0,0.008823529411764706,0.7999999999999999,0.09611940298507463,0.10250179432684603,default,2019,1675,59
17.0,1340.0,14.0,9.0,23.0,0.0,0.010447761194029851,0.7862686567164178,0.1044776119402985,0.11187864125178948,default,2019,1675,59
18.0,1317.0,11.0,8.0,19.0,0.0,0.008352315869400152,0.7749253731343282,0.11104477611940299,0.1192965113704153,default,2019,1675,59
19.0,1298.0,15.0,7.0,22.0,0.0,0.011556240369799691,0.7617910447761193,0.12,0.12947413257954,default,2019,1675,59
20.0,1276.0,17.0,11.0,28.0,0.0,0.013322884012539185,0.7450746268656715,0.13014925373134328,0.14107204774109783,default,2019,1675,59
21.0,1248.0,12.0,13.0,25.0,0.0,0.009615384615384616,0.7301492537313431,0.1373134328358209,0.1493309703589718,default,2019,1675,59
22.0,1223.0,2.0,6.0,8.0,0.0,0.001635322976287817,0.725373134328358,0.13850746268656716,0.15072208896836015,default,2019,1675,59
23.0,1215.0,8.0,10.0,18.0,0.0,0.006584362139917695,0.7146268656716416,0.14328358208955225,0.15631404229202517,default,2019,1675,59
24.0,1197.0,16.0,7.0,23.0,0.0,0.013366750208855471,0.7008955223880595,0.1528358208955224,0.1675913817434267,default,2019,1675,59
25.0,1174.0,11.0,12.0,23.0,0.0,0.009369676320272573,0.6871641791044775,0.15940298507462686,0.17539078106269612,default,2019,1675,59
26.0,1151.0,8.0,7.0,15.0,0.0,0.0069504778453518675,0.6782089552238805,0.16417910447761194,0.18112220916999278,default,2019,1675,59
27.0,1136.0,8.0,8.0,16.0,0.0,0.007042253521126761,0.6686567164179104,0.16895522388059703,0.18688895417583784,default,2019,1675,59
28.0,1120.0,10.0,6.0,16.0,0.0,0.008928571428571428,0.6591044776119402,0.17492537313432838,0.19414887422783922,default,2019,1675,59
29.0,1104.0,8.0,10.0,18.0,0.0,0.007246376811594203,0.6483582089552239,0.17970149253731346,0.19998837513923173,default,2019,1675,59
30.0,1086.0,8.0,8.0,16.0,0.0,0.007366482504604052,0.6388059701492538,0.18447761194029855,0.2058816467772484,default,2019,1675,59
31.0,1070.0,10.0,5.0,15.0,0.0,0.009345794392523364,0.6298507462686568,0.1904477611940299,0.2133033136297975,default,2019,1675,59
32.0,1055.0,11.0,7.0,18.0,0.0,0.01042654028436019,0.6191044776119404,0.19701492537313436,0.22150583832180903,default,2019,1675,59
33.0,1037.0,1.0,10.0,11.0,0.0,0.0009643201542912247,0.6125373134328359,0.1976119402985075,0.2222565559319134,default,2019,1675,59
34.0,1026.0,8.0,3.0,11.0,0.0,0.007797270955165692,0.6059701492537315,0.2023880597014926,0.22832083229891598,default,2019,1675,59
35.0,1015.0,6.0,8.0,14.0,0.0,0.005911330049261084,0.5976119402985076,0.20597014925373142,0.23288248255133615,default,2019,1675,59
36.0,1001.0,13.0,3.0,16.0,0.0,0.012987012987012988,0.5880597014925375,0.21373134328358218,0.24284504771300708,default,2019,1675,59
37.0,985.0,9.0,9.0,18.0,0.0,0.009137055837563452,0.577313432835821,0.21910447761194038,0.24976321478974095,default,2019,1675,59
38.0,967.0,3.0,9.0,12.0,0.0,0.0031023784901758012,0.5701492537313434,0.2208955223880598,0.25209073325471587,default,2019,1675,59
39.0,955.0,2.0,7.0,9.0,0.0,0.0020942408376963353,0.5647761194029851,0.22208955223880605,0.2536570353840254,default,2019,1675,59
40.0,946.0,3.0,8.0,11.0,0.0,0.003171247357293869,0.5582089552238806,0.22388059701492546,0.25602387353819867,default,2019,1675,59
41.0,935.0,3.0,4.0,7.0,0.0,0.0032085561497326204,0.5540298507462686,0.22567164179104487,0.25841096271401187,default,2019,1675,59
42.0,928.0,9.0,11.0,20.0,0.0,0.009698275862068966,0.542089552238806,0.23104477611940308,0.26560309777389757,default,2019,1675,59
43.0,908.0,7.0,6.0,13.0,0.0,0.007709251101321586,0.5343283582089552,0.23522388059701502,0.27126474790119126,default,2019,1675,59
44.0,895.0,4.0,13.0,17.0,0.0,0.004469273743016759,0.5241791044776118,0.23761194029850755,0.2745216652290071,default,2019,1675,59
45.0,878.0,11.0,3.0,14.0,0.0,0.012528473804100227,0.515820895522388,0.244179104477612,0.28361080154162777,default,2019,1675,59
46.0,864.0,8.0,11.0,19.0,0.0,0.009259259259259259,0.5044776119402984,0.2489552238805971,0.29024403486068684,default,2019,1675,59
47.0,845.0,8.0,6.0,14.0,0.0,0.009467455621301775,0.4961194029850745,0.25373134328358216,0.2969636179625975,default,2019,1675,59
48.0,831.0,6.0,4.0,10.0,72.0,0.007220216606498195,0.49014925373134316,0.257313432835821,0.30203969292315636,default,2019,1675,59
49.0,749.0,7.0,15.0,22.0,63.0,0.009345794392523364,0.4757523464121315,0.26189426698284285,0.30856268644723905,default,2019,1675,59
50.0,664.0,3.0,6.0,9.0,64.0,0.004518072289156626,0.46930389593365385,0.26404375047566875,0.3116866502132907,default,2019,1675,59
51.0,591.0,2.0,5.0,7.0,68.0,0.00338409475465313,0.4637453049496681,0.2656319193282361,0.31401596780986163,default,2019,1675,59
52.0,516.0,4.0,3.0,7.0,61.0,0.007751937984496124,0.4574541864716687,0.2692268441728072,0.31933367348575414,default,2019,1675,59
53.0,448.0,5.0,4.0,9.0,70.0,0.011160714285714286,0.4482642586184432,0.27433235964682134,0.32693039587988637,default,2019,1675,59
54.0,369.0,3.0,1.0,4.0,65.0,0.008130081300813009,0.44340502546268773,0.27797678451363794,0.3324025064824889,default,2019,1675,59
55.0,300.0,0.0,6.0,6.0,63.0,0.0,0.434536924953434,0.27797678451363794,0.3324025064824889,default,2019,1675,59
56.0,231.0,0.0,5.0,5.0,60.0,0.0,0.42513136380725575,0.27797678451363794,0.3324025064824889,default,2019,1675,59
57.0,166.0,0.0,1.0,1.0,44.0,0.0,0.4225703314951639,0.27797678451363794,0.3324025064824889,default,2019,1675,59
58.0,121.0,0.0,1.0,1.0,58.0,0.0,0.41907801470594763,0.27797678451363794,0.3324025064824889,default,2019,1675,59
59.0,62.0,1.0,1.0,2.0,60.0,0.016129032258064516,0.4055593690702719,0.2847361073314758,0.34317020799083586,default,2019,1675,59
1.0,1650.0,0.0,12.0,12.0,0.0,0.0,0.9927272727272727,0.0,0.0,default,2020,1650,47
2.0,1638.0,0.0,7.0,7.0,0.0,0.0,0.9884848484848484,0.0,0.0,default,2020,1650,47
3.0,1631.0,0.0,17.0,17.0,0.0,0.0,0.9781818181818182,0.0,0.0,default,2020,1650,47
4.0,1614.0,13.0,8.0,21.0,0.0,0.0080545229244114,0.9654545454545455,0.007878787878787877,0.008054522924411445,default,2020,1650,47
5.0,1593.0,16.0,13.0,29.0,0.0,0.010043942247332079,0.9478787878787879,0.017575757575757574,0.01801756600866089,default,2020,1650,47
6.0,1564.0,15.0,11.0,26.0,0.0,0.00959079283887468,0.9321212121212121,0.026666666666666665,0.02743555610448567,default,2020,1650,47
7.0,1538.0,14.0,7.0,21.0,0.0,0.009102730819245773,0.9193939393939393,0.03515151515151515,0.03628854844163598,default,2020,1650,47
8.0,1517.0,21.0,14.0,35.0,0.0,0.013843111404087014,0.8981818181818182,0.047878787878787875,0.04962931342695276,default,2020,1650,47
9.0,1482.0,17.0,9.0,26.0,0.0,0.011470985155195682,0.8824242424242423,0.05818181818181818,0.06053100146456536,default,2020,1650,47
10.0,1456.0,19.0,15.0,34.0,0.0,0.01304945054945055,0.8618181818181817,0.0696969696969697,0.0727905557036953,default,2020,1650,47
11.0,1422.0,11.0,11.0,22.0,0.0,0.007735583684950774,0.8484848484848484,0.07636363636363637,0.0799630619535261,default,2020,1650,47
12.0,1400.0,14.0,4.0,18.0,0.0,0.01,0.8375757575757574,0.08484848484848485,0.08916343133399085,default,2020,1650,47
13.0,1382.0,14.0,7.0,21.0,0.0,0.010130246020260492,0.8248484848484847,0.09333333333333334,0.0983904298588274,default,2020,1650,47
14.0,1361.0,8.0,14.0,22.0,0.0,0.005878030859662013,0.8115151515151514,0.09818181818181819,0.10369011873548384,default,2020,1650,47
15.0,1339.0,12.0,10.0,22.0,0.0,0.008961911874533234,0.7981818181818181,0.10545454545454547,0.11172276890364974,default,2020,1650,47
16.0,1317.0,6.0,11.0,17.0,0.0,0.004555808656036446,0.7878787878787878,0.1090909090909091,0.11576959000203857,default,2020,1650,47
17.0,1300.0,11.0,16.0,27.0,0.0,0.008461538461538461,0.7715151515151515,0.11575757575757577,0.12325153962509816,default,2020,1650,47
18.0,1273.0,10.0,11.0,21.0,0.0,0.007855459544383346,0.7587878787878788,0.12181818181818183,0.13013880168617364,default,2020,1650,47
19.0,1252.0,10.0,12.0,22.0,0.0,0.007987220447284345,0.7454545454545455,0.1278787878787879,0.13708657483564513,default,2020,1650,47
20.0,1230.0,7.0,4.0,11.0,0.0,0.005691056910569106,0.7387878787878789,0.13212121212121214,0.14199746424714965,default,2020,1650,47
21.0,1219.0,15.0,11.0,26.0,0.0,0.012305168170631665,0.7230303030303031,0.14121212121212123,0.15255532974041686,default,2020,1650,47
22.0,1193.0,8.0,11.0,19.0,0.0,0.006705783738474434,0.7115151515151517,0.14606060606060609,0.15823811042950042,default,2020,1650,47
23.0,1174.0,13.0,8.0,21.0,0.0,0.011073253833049404,0.698787878787879,0.15393939393939396,0.16755915349970185,default,2020,1650,47
24.0,1153.0,13.0,7.0,20.0,0.0,0.011274934952298352,0.6866666666666669,0.16181818181818183,0.17694486989562885,default,2020,1650,47
25.0,1133.0,12.0,6.0,18.0,0.0,0.01059135039717564,0.6757575757575759,0.1690909090909091,0.18566213517475727,default,2020,1650,47
26.0,1115.0,10.0,10.0,20.0,0.0,0.008968609865470852,0.6636363636363637,0.17515151515151517,0.19296561378305543,default,2020,1650,47
27.0,1095.0,5.0,5.0,10.0,0.0,0.0045662100456621,0.6575757575757576,0.1781818181818182,0.19665070230459392,default,2020,1650,47
28.0,1085.0,5.0,8.0,13.0,0.0,0.004608294930875576,0.6496969696969697,0.1812121212121212,0.20035277280088615,default,2020,1650,47
29.0,1072.0,9.0,8.0,17.0,0.0,0.008395522388059701,0.6393939393939394,0.18666666666666668,0.2070662289993862,default,2020,1650,47
30.0,1055.0,6.0,6.0,12.0,0.0,0.005687203791469194,0.6321212121212121,0.1903030303030303,0.21157580494820483,default,2020,1650,47
31.0,1043.0,12.0,5.0,17.0,0.0,0.011505273250239693,0.6218181818181817,0.19757575757575757,0.22064684074937602,default,2020,1650,47
32.0,1026.0,7.0,4.0,11.0,0.0,0.00682261208576998,0.6151515151515151,0.2018181818181818,0.22596406503276234,default,2020,1650,47
33.0,1015.0,9.0,11.0,20.0,0.0,0.008866995073891626,0.603030303030303,0.20727272727272728,0.23282743785513194,default,2020,1650,47
34.0,995.0,6.0,7.0,13.0,0.0,0.006030150753768844,0.5951515151515151,0.2109090909090909,0.2374536040590206,default,2020,1650,47
35.0,982.0,10.0,11.0,21.0,0.0,0.010183299389002037,0.5824242424242424,0.21696969696969698,0.24521884230689217,default,2020,1650,47
36.0,961.0,8.0,9.0,17.0,72.0,0.008324661810613945,0.5721212121212121,0.22181818181818183,0.25150214018571104,default,2020,1650,47
37.0,872.0,6.0,2.0,8.0,63.0,0.006880733944954129,0.5668723936613845,0.22575479566305257,0.25665235481746074,default,2020,1650,47
38.0,801.0,3.0,6.0,9.0,72.0,0.003745318352059925,0.5605030409236161,0.2278779132423087,0.2594364283949234,default,2020,1650,47
39.0,720.0,5.0,4.0,9.0,81.0,0.006944444444444444,0.553496752912071,0.2317702954709449,0.26457923097551417,default,2020,1650,47
40.0,630.0,6.0,2.0,8.0,65.0,0.009523809523809525,0.5464682227163622,0.23704169311772655,0.2715832382995569,default,2020,1650,47
41.0,557.0,1.0,5.0,6.0,70.0,0.0017953321364452424,0.5405816709456294,0.23802278507951535,0.272890988320563,default,2020,1650,47
42.0,481.0,5.0,7.0,12.0,71.0,0.010395010395010396,0.5270952259324327,0.24364213716834726,0.2804492940552764,default,2020,1650,47
43.0,398.0,1.0,2.0,3.0,82.0,0.002512562814070352,0.5231221463399772,0.2449664970324991,0.28225721040187113,default,2020,1650,47
44.0,313.0,0.0,4.0,4.0,71.0,0.0,0.516436879294099,0.2449664970324991,0.28225721040187113,default,2020,1650,47
45.0,238.0,1.0,0.0,1.0,65.0,0.004201680672268907,0.5142669764399221,0.247136399886676,0.285272936408586,default,2020,1650,47
46.0,172.0,0.0,1.0,1.0,80.0,0.0,0.5112770521582947,0.247136399886676,0.285272936408586,default,2020,1650,47
47.0,91.0,0.0,0.0,0.0,58.0,0.0,0.5112770521582947,0.247136399886676,0.285272936408586,default,2020,1650,47
1.0,1658.0,0.0,10.0,10.0,0.0,0.0,0.9939686369119421,0.0,0.0,default,2021,1658,39
2.0,1648.0,0.0,10.0,10.0,0.0,0.0,0.9879372738238842,0.0,0.0,default,2021,1658,39
3.0,1638.0,0.0,16.0,16.0,0.0,0.0,0.9782870928829915,0.0,0.0,default,2021,1658,39
4.0,1622.0,4.0,17.0,21.0,0.0,0.002466091245376079,0.96562123039807,0.0024125452352231603,0.002466091245376112,default,2021,1658,39
5.0,1601.0,14.0,19.0,33.0,0.0,0.008744534665833853,0.9457177322074789,0.010856453558504222,0.011189061090825625,default,2021,1658,39
6.0,1568.0,10.0,12.0,22.0,0.0,0.006377551020408163,0.9324487334137515,0.016887816646562123,0.01749525330325663,default,2021,1658,39
7.0,1546.0,17.0,15.0,32.0,0.0,0.010996119016817595,0.9131483715319662,0.027141133896260557,0.02829899243252232,default,2021,1658,39
8.0,1514.0,12.0,8.0,20.0,0.0,0.007926023778071334,0.9010856453558503,0.03437876960193004,0.03600071772367808,default,2021,1658,39
9.0,1494.0,14.0,11.0,25.0,0.0,0.009370816599732263,0.8860072376357055,0.0428226779252111,0.04503417820016298,default,2021,1658,39
10.0,1469.0,11.0,12.0,23.0,0.0,0.007488087134104833,0.8721351025331724,0.04945717732207479,0.052185045483892245,default,2021,1658,39
11.0,1446.0,9.0,13.0,22.0,0.0,0.006224066390041493,0.858866103739445,0.0548854041013269,0.05808430868627468,default,2021,1658,39
12.0,1424.0,6.0,5.0,11.0,0.0,0.004213483146067416,0.8522316043425814,0.058504221954161634,0.06205305457664145,default,2021,1658,39
13.0,1413.0,14.0,11.0,25.0,0.0,0.009907997169143666,0.8371531966224367,0.0669481302774427,0.07134623025670306,default,2021,1658,39
