month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause
1.0,9885.0,0.0,69.0,69.0,123.0,0.006980273141122913,0.9930197268588771,0.006980273141122913,0.006980273141122928,prepaid
2.0,9693.0,0.0,62.0,62.0,127.0,0.006396368513360157,0.9866680067448514,0.013331993255148538,0.013331993255148555,prepaid
3.0,9504.0,0.0,86.0,86.0,125.0,0.00904882154882155,0.9777398240238858,0.022260175976114155,0.022260175976114183,prepaid
4.0,9293.0,50.0,55.0,105.0,124.0,0.005918433229312386,0.9666925108287381,0.028046863840239165,0.028046863840239245,prepaid
5.0,9064.0,82.0,84.0,166.0,121.0,0.009267431597528684,0.9489883011202682,0.03700562056018775,0.03705437304560322,prepaid
6.0,8777.0,83.0,58.0,141.0,119.0,0.0066081804716873645,0.9337430749088113,0.043276706519510474,0.04341769153293995,prepaid
7.0,8517.0,87.0,67.0,154.0,118.0,0.007866619701772925,0.9168596143551002,0.05062210818898216,0.050942760767094364,prepaid
8.0,8245.0,87.0,54.0,141.0,115.0,0.006549423893268648,0.901180147329743,0.056627010454012534,0.05715853892580591,prepaid
9.0,7989.0,74.0,55.0,129.0,121.0,0.006884466140943798,0.8866286090889699,0.0628311546651949,0.06364949904084927,prepaid
10.0,7739.0,83.0,64.0,147.0,99.0,0.008269802300038764,0.8697873627346504,0.07016339797591903,0.0713929325673236,prepaid
11.0,7493.0,65.0,68.0,133.0,104.0,0.009075136794341385,0.8543487241061026,0.07805683727472541,0.07982016873246733,prepaid
12.0,7256.0,61.0,50.0,111.0,110.0,0.006890848952590959,0.8412791667224508,0.08394402528537938,0.08616098895895252,prepaid
13.0,7035.0,56.0,48.0,104.0,99.0,0.006823027718550106,0.8288423460630144,0.0896840963589654,0.09239613786157808,prepaid
14.0,6832.0,51.0,48.0,99.0,118.0,0.00702576112412178,0.8168318963762115,0.09550734469196082,0.098772745792293,prepaid
15.0,6615.0,51.0,56.0,107.0,106.0,0.008465608465608466,0.8036193471831269,0.1024223237089023,0.10640218286495084,prepaid
16.0,6402.0,51.0,45.0,96.0,108.0,0.007029053420805998,0.7915688227642609,0.10807100703024573,0.11268332965830874,prepaid
17.0,6198.0,62.0,47.0,109.0,124.0,0.0075830913197805746,0.7776480415959316,0.11407354569915833,0.11941193299907338,prepaid
18.0,5965.0,42.0,39.0,81.0,99.0,0.006538139145012573,0.7670881939229609,0.11915791680095905,0.12516934031056304,prepaid
19.0,5785.0,51.0,42.0,93.0,110.0,0.007260155574762317,0.7547564390336202,0.1247270964284032,0.1315207470014803,prepaid
20.0,5582.0,44.0,42.0,86.0,106.0,0.007524184879971337,0.7431281599657429,0.13040602341504098,0.1380553454654605,prepaid
21.0,5390.0,54.0,44.0,98.0,105.0,0.00816326530612245,0.7296167388754566,0.13647237574129195,0.14509162835961997,prepaid
22.0,5187.0,31.0,37.0,68.0,112.0,0.007133217659533449,0.7200516842690308,0.14167689074772957,0.1511898758534881,prepaid
23.0,5007.0,41.0,35.0,76.0,98.0,0.006990213700818854,0.7091221999461935,0.14671020589640466,0.15712324001269085,prepaid
24.0,4833.0,48.0,40.0,88.0,111.0,0.008276432857438443,0.6962103949399313,0.15257920817197837,0.164099252923821,prepaid
25.0,4634.0,42.0,30.0,72.0,85.0,0.006473888649115235,0.6853931423642569,0.15708639674517602,0.1695107812821044,prepaid
26.0,4477.0,44.0,31.0,75.0,87.0,0.006924279651552379,0.673911238036064,0.1618322505341624,0.17526132088010637,prepaid
27.0,4315.0,23.0,27.0,50.0,98.0,0.006257242178447277,0.666102301326492,0.16604907635733127,0.18042191052929224,prepaid
28.0,4167.0,24.0,28.0,52.0,90.0,0.00671946244300456,0.6577900095892764,0.17052492575429354,0.18592903472060007,prepaid
29.0,4025.0,31.0,43.0,74.0,81.0,0.010683229813664596,0.645696478978194,0.1775522475958684,0.19462594192731164,prepaid
30.0,3870.0,23.0,29.0,52.0,101.0,0.007493540051679587,0.6370204539376602,0.18239080002232,0.200661044688063,prepaid
31.0,3717.0,40.0,27.0,67.0,94.0,0.007263922518159807,0.6255379760216464,0.18701806724220615,0.20646738092519568,prepaid
32.0,3556.0,31.0,20.0,51.0,77.0,0.00562429696287964,0.6165665371079502,0.19053627858091057,0.21093044402460404,prepaid
33.0,3428.0,24.0,36.0,60.0,102.0,0.010501750291715286,0.6057748240897247,0.1970113063918459,0.2192170554642523,prepaid
34.0,3266.0,21.0,18.0,39.0,89.0,0.005511328842620943,0.5985411381927562,0.20034993065198523,0.2235202070262987,prepaid
35.0,3138.0,22.0,25.0,47.0,76.0,0.007966857871255577,0.5895763728979635,0.20511842283006645,0.22970631117682216,prepaid
36.0,3015.0,25.0,19.0,44.0,80.0,0.006301824212271974,0.580972273260315,0.20883382949177834,0.23456056659560842,prepaid
37.0,2891.0,19.0,17.0,36.0,70.0,0.00588031822898651,0.5737377516977514,0.2122501313407667,0.23906159404904137,prepaid
38.0,2785.0,8.0,23.0,31.0,78.0,0.008258527827648115,0.5673514427919596,0.21698836052893483,0.24534582504971358,prepaid
39.0,2676.0,13.0,16.0,29.0,85.0,0.005979073243647235,0.561203015347652,0.2203805963602769,0.24985795763536556,prepaid
40.0,2562.0,13.0,20.0,33.0,71.0,0.0078064012490242,0.5539744050797081,0.22476157228024296,0.25571386741182645,prepaid
41.0,2458.0,11.0,18.0,29.0,81.0,0.007323026851098454,0.5474384987545203,0.22881834172346296,0.2611642947456698,prepaid
42.0,2348.0,21.0,27.0,48.0,75.0,0.011499148211243612,0.5362472517612422,0.2351134181571819,0.2696602760241481,prepaid
43.0,2225.0,13.0,13.0,26.0,85.0,0.005842696629213483,0.5299809917406614,0.2382465481674723,0.2739274294676025,prepaid
44.0,2114.0,11.0,23.0,34.0,76.0,0.010879848628192999,0.521457172573593,0.2440126611334303,0.281826989128078,prepaid
45.0,2004.0,17.0,10.0,27.0,67.0,0.00499001996007984,0.5144315519850267,0.2466147428328993,0.28541068678711956,prepaid
46.0,1910.0,14.0,20.0,34.0,83.0,0.010471204188481676,0.505274131687911,0.25200146065473206,0.2928932973966786,prepaid
47.0,1793.0,15.0,11.0,26.0,62.0,0.006134969325153374,0.49794723407280467,0.2551013019534309,0.29723137532676025,prepaid
48.0,1705.0,11.0,16.0,27.0,77.0,0.0093841642228739,0.4900618526534699,0.25977412057229593,0.3038262715113772,prepaid
49.0,1601.0,11.0,23.0,34.0,67.0,0.014366021236727046,0.4796545428532088,0.26681435955482546,0.3138275180792962,prepaid
50.0,1500.0,6.0,16.0,22.0,70.0,0.010666666666666666,0.4726196095580284,0.271930674678593,0.3211466912197838,prepaid
51.0,1408.0,9.0,10.0,19.0,71.0,0.007102272727272727,0.46624193016768567,0.2752873480419313,0.32596809256055237,prepaid
52.0,1318.0,7.0,12.0,19.0,67.0,0.009104704097116844,0.4595206883822638,0.27953234285377665,0.33210495362980375,prepaid
53.0,1232.0,11.0,13.0,24.0,71.0,0.010551948051948052,0.4505689866605314,0.2843811812863817,0.3391525474632555,prepaid
54.0,1137.0,12.0,6.0,18.0,74.0,0.005277044854881266,0.44343596840205335,0.2867588540392077,0.34263986911252586,prepaid
55.0,1045.0,5.0,9.0,14.0,65.0,0.00861244019138756,0.4374951994473847,0.2905779197957804,0.3483013439239969,prepaid
56.0,966.0,3.0,11.0,14.0,63.0,0.011387163561076604,0.4311546893104661,0.29555974918907363,0.3557223431132682,prepaid
57.0,889.0,2.0,4.0,6.0,45.0,0.0044994375703037125,0.4282447588989219,0.29749970279676974,0.35862123020837167,prepaid
58.0,838.0,7.0,8.0,15.0,58.0,0.00954653937947494,0.42057927992101757,0.301587958251652,0.3647441778913466,prepaid
59.0,765.0,5.0,11.0,16.0,749.0,0.01437908496732026,0.41178285053704855,0.30763550345313073,0.37387857533343183,prepaid
