month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,credit_score_band,n_loans,follow_up_months
1.0,1512.0,0.0,5.0,5.0,25.0,0.0033068783068783067,0.9966931216931217,0.0033068783068783067,0.003306878306878258,prepaid,620-659,1512,55
2.0,1482.0,0.0,11.0,11.0,15.0,0.007422402159244264,0.9892952645145628,0.010704735485437239,0.010704735485437156,prepaid,620-659,1512,55
3.0,1456.0,0.0,8.0,8.0,19.0,0.005494505494505495,0.9838595762479994,0.01614042375200077,0.016140423752000643,prepaid,620-659,1512,55
4.0,1429.0,25.0,3.0,28.0,20.0,0.002099370188943317,0.9645817119128391,0.018205909216482227,0.01820590921648213,prepaid,620-659,1512,55
5.0,1381.0,33.0,9.0,42.0,17.0,0.0065170166545981175,0.9352461348669744,0.024492104297738963,0.024604277657504392,prepaid,620-659,1512,55
6.0,1322.0,38.0,7.0,45.0,15.0,0.00529500756429652,0.9034109789902619,0.029444239656338675,0.029769005385490432,prepaid,620-659,1512,55
7.0,1262.0,48.0,10.0,58.0,17.0,0.00792393026941363,0.861891298497841,0.03660280525848021,0.03745704813203965,prepaid,620-659,1512,55
8.0,1187.0,34.0,6.0,40.0,14.0,0.005054759898904802,0.8328469413454285,0.04095945883134209,0.042322471646115245,prepaid,620-659,1512,55
9.0,1133.0,25.0,2.0,27.0,16.0,0.00176522506619594,0.8129997503336662,0.04242962112850966,0.044012988024498045,prepaid,620-659,1512,55
10.0,1090.0,31.0,9.0,40.0,14.0,0.008256880733944955,0.7831648971104124,0.04914246310374177,0.0519064587655802,prepaid,620-659,1512,55
11.0,1036.0,23.0,4.0,27.0,12.0,0.003861003861003861,0.7627542289424769,0.05216626579528776,0.05556705158887909,prepaid,620-659,1512,55
12.0,997.0,25.0,4.0,29.0,16.0,0.004012036108324975,0.7405677970073397,0.05522646330358255,0.05935615067979638,prepaid,620-659,1512,55
13.0,952.0,28.0,9.0,37.0,12.0,0.009453781512605041,0.7117852250648276,0.062227629451761184,0.06824879211244539,prepaid,620-659,1512,55
14.0,903.0,22.0,5.0,27.0,16.0,0.005537098560354375,0.6905026103618925,0.06616885439674916,0.07340799038424795,prepaid,620-659,1512,55
