month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,ltv_band,n_loans,follow_up_months
1.0,4334.0,0.0,30.0,30.0,57.0,0.00692201199815413,0.9930779880018459,0.00692201199815413,0.006922011998154121,prepaid,60-75%,4334,59
2.0,4247.0,0.0,28.0,28.0,52.0,0.006592889098186955,0.986530734961099,0.013469265038900936,0.013469265038901002,prepaid,60-75%,4334,59
3.0,4167.0,0.0,36.0,36.0,61.0,0.008639308855291577,0.9780077912465323,0.021992208753467666,0.021992208753467746,prepaid,60-75%,4334,59
4.0,4070.0,11.0,30.0,41.0,49.0,0.007371007371007371,0.9681556243076851,0.029201111391648493,0.029201111391648604,prepaid,60-75%,4334,59
5.0,3980.0,14.0,42.0,56.0,53.0,0.010552763819095477,0.9545333341164212,0.03941782903509643,0.03944572277897285,prepaid,60-75%,4334,59
6.0,3871.0,13.0,28.0,41.0,48.0,0.007233273056057866,0.9444233194693601,0.04632222928186982,0.04639367415127693,prepaid,60-75%,4334,59
7.0,3782.0,23.0,34.0,57.0,50.0,0.008989952406134321,0.9301895465424026,0.05481254997514275,0.054966549634845596,prepaid,60-75%,4334,59
8.0,3675.0,15.0,21.0,36.0,54.0,0.005714285714285714,0.9210774856783137,0.06012791881252791,0.06036674077978932,prepaid,60-75%,4334,59
9.0,3585.0,18.0,29.0,47.0,53.0,0.008089260808926082,0.9090019928395743,0.06757875481940967,0.06796767927836289,prepaid,60-75%,4334,59
10.0,3485.0,21.0,32.0,53.0,40.0,0.009182209469153515,0.8951778592325449,0.07592540152554063,0.07652579527925019,prepaid,60-75%,4334,59
11.0,3392.0,13.0,34.0,47.0,43.0,0.010023584905660377,0.8827741565839807,0.08489829280322533,0.08578231737845576,prepaid,60-75%,4334,59
12.0,3302.0,12.0,22.0,34.0,47.0,0.006662628709872804,0.8736844166312686,0.09077988924321552,0.09187341035776342,prepaid,60-75%,4334,59
13.0,3221.0,10.0,19.0,29.0,40.0,0.0058987891959018934,0.8658182731719992,0.0959335694406679,0.09723025767325633,prepaid,60-75%,4334,59
14.0,3152.0,14.0,21.0,35.0,51.0,0.00666243654822335,0.8562041743264979,0.10170202874796866,0.10324490379916429,prepaid,60-75%,4334,59
15.0,3066.0,11.0,26.0,37.0,57.0,0.008480104370515329,0.8458716386284938,0.10896272950872826,0.11084948060973898,prepaid,60-75%,4334,59
16.0,2972.0,16.0,16.0,32.0,48.0,0.005383580080753701,0.8367640032193041,0.11351654721332312,0.11563629363472017,prepaid,60-75%,4334,59
17.0,2892.0,18.0,24.0,42.0,62.0,0.008298755186721992,0.8246118288986919,0.12046064682510157,0.12297541152986768,prepaid,60-75%,4334,59
18.0,2788.0,7.0,16.0,23.0,49.0,0.005738880918220947,0.8178090770820957,0.12519299591490757,0.12800855120544952,prepaid,60-75%,4334,59
19.0,2716.0,7.0,21.0,28.0,55.0,0.007731958762886598,0.8093780556688782,0.1315162619748207,0.13475075312911866,prepaid,60-75%,4334,59
20.0,2633.0,9.0,25.0,34.0,43.0,0.0094948727687049,0.7989265350107917,0.13920120363517843,0.14296618464137534,prepaid,60-75%,4334,59
21.0,2556.0,15.0,24.0,39.0,43.0,0.009389671361502348,0.7867363414014721,0.14670286124091356,0.1510134505132873,prepaid,60-75%,4334,59
22.0,2474.0,8.0,19.0,27.0,50.0,0.007679870654810024,0.7781502940215854,0.15274489458231533,0.1575335574010187,prepaid,60-75%,4334,59
23.0,2397.0,7.0,13.0,20.0,40.0,0.005423445974134335,0.7716575923609965,0.15696515066169814,0.1621026286374755,prepaid,60-75%,4334,59
24.0,2337.0,11.0,16.0,27.0,51.0,0.0068463842533162175,0.7627424212040659,0.16224821505099038,0.16783919600666686,prepaid,60-75%,4334,59
25.0,2259.0,11.0,16.0,27.0,35.0,0.007082779991146525,0.7536259779227424,0.1676505518102932,0.17373320789860724,prepaid,60-75%,4334,59
26.0,2197.0,10.0,18.0,28.0,36.0,0.008192990441511151,0.7440212772482605,0.17382500224388872,0.18050280382843198,prepaid,60-75%,4334,59
27.0,2133.0,10.0,7.0,17.0,50.0,0.0032817627754336614,0.7380914311567366,0.17626670357569266,0.18319219922140006,prepaid,60-75%,4334,59
28.0,2066.0,7.0,12.0,19.0,43.0,0.005808325266214908,0.7313035622351596,0.18055377868405706,0.1879364846083038,prepaid,60-75%,4334,59
29.0,2004.0,13.0,24.0,37.0,44.0,0.011976047904191617,0.7178014505571652,0.18931190517789132,0.197661796169881,prepaid,60-75%,4334,59
30.0,1923.0,5.0,13.0,18.0,41.0,0.006760270410816433,0.7110825602243368,0.19416443708493403,0.2030858193887013,prepaid,60-75%,4334,59
