month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,vintage_year,n_loans,follow_up_months
1.0,1717.0,0.0,14.0,14.0,0.0,0.008153756552125802,0.9918462434478742,0.008153756552125802,0.008153756552125802,prepaid,2018,1717,59
2.0,1703.0,0.0,12.0,12.0,0.0,0.007046388725778039,0.9848573092603379,0.015142690739662203,0.015142690739662124,prepaid,2018,1717,59
3.0,1691.0,0.0,16.0,16.0,0.0,0.009461856889414548,0.9755387303436226,0.024461269656377405,0.024461269656377405,prepaid,2018,1717,59
4.0,1675.0,7.0,5.0,12.0,0.0,0.0029850746268656717,0.9685497961560862,0.027373325567850906,0.02737332556785088,prepaid,2018,1717,59
5.0,1663.0,16.0,9.0,25.0,0.0,0.005411906193625977,0.9539895165987187,0.032615026208503206,0.0326370898912961,prepaid,2018,1717,59
6.0,1638.0,15.0,8.0,23.0,0.0,0.004884004884004884,0.9405940594059407,0.037274315666860805,0.037361695068872214,prepaid,2018,1717,59
7.0,1615.0,21.0,17.0,38.0,0.0,0.010526315789473684,0.918462434478742,0.04717530576587071,0.04749472985762093,prepaid,2018,1717,59
8.0,1577.0,18.0,11.0,29.0,0.0,0.006975269499048827,0.9015725101921958,0.05358182877111241,0.05413871081612831,prepaid,2018,1717,59
9.0,1548.0,13.0,12.0,25.0,0.0,0.007751937984496124,0.8870122306348283,0.060570762958648806,0.061470968871817244,prepaid,2018,1717,59
10.0,1523.0,10.0,9.0,19.0,0.0,0.005909389363099146,0.875946418171229,0.06581246359930111,0.06701710234532587,prepaid,2018,1717,59
11.0,1504.0,18.0,17.0,35.0,0.0,0.011303191489361703,0.8555620267909144,0.075713453698311,0.07756278669381611,prepaid,2018,1717,59
12.0,1469.0,14.0,22.0,36.0,0.0,0.014976174268209666,0.8345952242283052,0.0885264997087944,0.09137736715177114,prepaid,2018,1717,59
13.0,1433.0,7.0,14.0,21.0,0.0,0.009769713886950453,0.8223645894001166,0.09668025626092021,0.10025435030590601,prepaid,2018,1717,59
14.0,1412.0,13.0,13.0,26.0,0.0,0.009206798866855524,0.8072218986604544,0.10425160163075131,0.10853812753396774,prepaid,2018,1717,59
15.0,1386.0,6.0,11.0,17.0,0.0,0.007936507936507936,0.7973209085614444,0.11065812463599302,0.11561322175988864,prepaid,2018,1717,59
16.0,1369.0,15.0,10.0,25.0,0.0,0.007304601899196494,0.782760629004077,0.11648223645894001,0.12207331509984565,prepaid,2018,1717,59
17.0,1344.0,16.0,6.0,22.0,0.0,0.004464285714285714,0.7699475829935934,0.11997670355270822,0.1259926306574356,prepaid,2018,1717,59
