feature,importance,importance_pct
state,544,0.12358019082235347
credit_score,471,0.10699681962744208
ltv,468,0.10631531122217174
dti,361,0.08200817810086325
interest_rate,297,0.06746933212176283
current_balance,259,0.05883689232167197
original_balance,229,0.05202180826896865
rate_spread,196,0.044525215810995
balance_pctile_in_month,107,0.024307133121308496
servicer_name,98,0.0222626079054975
paydown_6m,98,0.0222626079054975
paydown_3m,96,0.021808268968650613
days_past_due,93,0.02112676056338028
source_system,88,0.019990913221263062
paydown_1m,86,0.019536574284416176
loan_age_months,85,0.01930940481599273
loan_purpose,72,0.01635620172648796
remaining_term_months,66,0.014993184915947297
property_type,60,0.013630168105406633
balance_ratio,54,0.01226715129486597
balance_gap_abs,50,0.011358473421172195
occupancy_type,42,0.009541117673784643
ltv_band,42,0.009541117673784643
term_progress,42,0.009541117673784643
dpd_max_12m,40,0.009086778736937756
doc_status_ordinal,33,0.007496592457973648
dpd_delta_1m,32,0.007269422989550204
balance_vs_expected,31,0.007042253521126761
credit_score_band,29,0.006587914584279873
dpd_mean_12m,20,0.004543389368468878
document_status,20,0.004543389368468878
dpd_lag_1m,18,0.00408905043162199
dq_score,18,0.00408905043162199
worst_status_to_date,18,0.00408905043162199
dti_band,16,0.003634711494775102
status_changes_to_date,16,0.003634711494775102
delinquent_months_to_date,14,0.0031803725579282144
vintage_year,14,0.0031803725579282144
status_ordinal,14,0.0031803725579282144
modified_ever,12,0.0027260336210813267
dpd_max_6m,11,0.002498864152657883
original_term_months,11,0.002498864152657883
month_cos,6,0.0013630168105406633
dpd_mean_3m,6,0.0013630168105406633
dpd_max_3m,4,0.0009086778736937755
dpd_delta_6m,3,0.0006815084052703317
dpd_delta_3m,3,0.0006815084052703317
dpd_mean_6m,3,0.0006815084052703317
is_delinquent,2,0.00045433893684688776
month_sin,2,0.00045433893684688776
months_since_delinquency,2,0.00045433893684688776
current_status,0,0.0
status_changed_this_month,0,0.0
months_since_modification,0,0.0
doc_status_changes_to_date,0,0.0
source_changes_to_date,0,0.0
servicer_transfers_to_date,0,0.0
dpd_lag_6m,0,0.0
dpd_lag_3m,0,0.0
