decile,n,events,mean_prob,event_rate,lift
10,5839,2549,0.4351242267207371,0.43654735399897243,5.033874702976102
9,5838,1001,0.14642218083183345,0.17146282973621102,1.9771564143115685
8,5838,557,0.08505729752941694,0.09540938677629325,1.100175946824719
7,5838,349,0.04616937331760403,0.05978074683110654,0.689338250344393
6,5838,195,0.03394907638542187,0.03340184994861254,0.3851603404503056
5,5838,238,0.03394907638542187,0.0407673860911271,0.47009313347268067
4,5838,89,0.017169042497362005,0.015244946899623158,0.1757911297439856
3,5838,46,0.008712720250786551,0.0078794107571086,0.09085833672161056
2,5838,28,0.0021436408273152294,0.004796163069544364,0.05530507452619772
1,5839,11,0.0,0.001883884226751156,0.02172327255109342
