bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",47292,0.02657393573600823,0.030893174321238264,-0.004319238585230034
"(0.1, 0.2]",5309,0.1431731048712499,0.20361650028253908,-0.06044339541128918
"(0.2, 0.3]",2701,0.25595880935434223,0.24953720844131802,0.006421600913024211
"(0.3, 0.4]",1263,0.33335275949412657,0.3515439429928741,-0.018191183498747543
"(0.4, 0.5]",1,0.4647300476710459,1.0,-0.5352699523289541
"(0.5, 0.6]",4,0.5445840004706793,1.0,-0.45541599952932066
"(0.6, 0.7]",996,0.6379946619342908,0.6716867469879518,-0.03369208505366106
"(0.7, 0.8]",603,0.7805252292955692,0.8872305140961857,-0.10670528480061647
"(0.8, 0.9]",78,0.894736842105263,0.9102564102564102,-0.01551956815114719
"(0.9, 1.0]",135,0.9687059914430458,0.9111111111111111,0.05759488033193472
