bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",46593,0.028199279603912702,0.031871740390187364,-0.0036724607862746624
"(0.1, 0.2]",5902,0.1451767992262793,0.1724839037614368,-0.0273071045351575
"(0.2, 0.3]",3870,0.26752792030582645,0.26175710594315243,0.005770814362674015
"(0.3, 0.4]",232,0.35794468113833555,0.45689655172413796,-0.0989518705858024
"(0.4, 0.5]",12,0.5,0.6666666666666666,-0.16666666666666663
"(0.5, 0.6]",285,0.5749684718824352,0.5508771929824562,0.024091278899978974
"(0.6, 0.7]",81,0.6801339336483058,0.691358024691358,-0.01122409104305222
"(0.7, 0.8]",543,0.7317476410209376,0.7458563535911602,-0.014108712570222615
"(0.8, 0.9]",280,0.8667625071880392,0.9035714285714286,-0.036808921383389426
"(0.9, 1.0]",584,0.9717774356986397,0.9623287671232876,0.009448668575352093
