feature,importance,importance_pct
credit_score,142,0.12724014336917563
ltv,132,0.11827956989247312
interest_rate,129,0.11559139784946236
state,128,0.11469534050179211
dti,125,0.11200716845878136
original_balance,76,0.06810035842293907
current_balance,64,0.05734767025089606
balance_pctile_in_month,31,0.027777777777777776
rate_spread,26,0.023297491039426525
dpd_max_12m,22,0.01971326164874552
occupancy_type,19,0.017025089605734768
property_type,19,0.017025089605734768
paydown_6m,18,0.016129032258064516
paydown_1m,18,0.016129032258064516
servicer_name,16,0.014336917562724014
remaining_term_months,15,0.013440860215053764
source_system,13,0.011648745519713262
dpd_mean_12m,12,0.010752688172043012
loan_purpose,12,0.010752688172043012
paydown_3m,11,0.00985663082437276
balance_ratio,9,0.008064516129032258
doc_status_ordinal,9,0.008064516129032258
balance_gap_abs,8,0.007168458781362007
dq_score,7,0.0062724014336917565
vintage_year,6,0.005376344086021506
loan_age_months,6,0.005376344086021506
balance_vs_expected,6,0.005376344086021506
dpd_max_6m,5,0.004480286738351254
document_status,5,0.004480286738351254
dpd_mean_3m,4,0.0035842293906810036
ltv_band,4,0.0035842293906810036
delinquent_months_to_date,4,0.0035842293906810036
status_changes_to_date,4,0.0035842293906810036
term_progress,3,0.002688172043010753
days_past_due,2,0.0017921146953405018
worst_status_to_date,2,0.0017921146953405018
dpd_mean_6m,1,0.0008960573476702509
modified_ever,1,0.0008960573476702509
dpd_delta_3m,1,0.0008960573476702509
dti_band,1,0.0008960573476702509
credit_score_band,0,0.0
is_delinquent,0,0.0
original_term_months,0,0.0
current_status,0,0.0
months_since_modification,0,0.0
months_since_delinquency,0,0.0
doc_status_changes_to_date,0,0.0
source_changes_to_date,0,0.0
servicer_transfers_to_date,0,0.0
status_changed_this_month,0,0.0
month_sin,0,0.0
status_ordinal,0,0.0
dpd_delta_6m,0,0.0
dpd_delta_1m,0,0.0
dpd_lag_6m,0,0.0
dpd_lag_1m,0,0.0
dpd_max_3m,0,0.0
month_cos,0,0.0
dpd_lag_3m,0,0.0
