decile,n,events,mean_prob,event_rate,lift
10,5839,609,0.10762085768246565,0.10429868128104128,1.1647218076797536
9,5838,530,0.09365761901962753,0.0907845152449469,1.013806727052504
8,5838,608,0.09158785465405674,0.10414525522439191,1.1630084717885327
7,5838,483,0.09158785465405674,0.08273381294964029,0.9239031116346402
6,5838,505,0.09129259505175796,0.08650222678999657,0.9659856550217253
5,5838,646,0.08115809328194049,0.11065433367591641,1.235696501275316
4,5838,462,0.0763395429229883,0.07913669064748201,0.8837334111287862
3,5838,522,0.0763395429229883,0.08941418293936279,0.9985039840026546
2,5838,539,0.0763395429229883,0.09232613908872901,1.031022312983584
1,5839,324,0.052683322701693285,0.05548895358794314,0.6196549518690314
