feature,importance,importance_pct
state,503,0.10963382737576285
ltv,408,0.08892763731473409
credit_score,373,0.08129904097646033
dti,304,0.06625980819529206
current_balance,256,0.05579773321708806
rate_spread,236,0.05143853530950305
interest_rate,222,0.04838709677419355
paydown_1m,181,0.03945074106364429
original_balance,166,0.036181342632955533
paydown_6m,164,0.03574542284219703
paydown_3m,159,0.034655623365300786
balance_gap_abs,101,0.022013949433304272
loan_age_months,98,0.021360069747166522
balance_ratio,98,0.021360069747166522
balance_pctile_in_month,94,0.02048823016564952
servicer_name,86,0.018744551002615517
remaining_term_months,83,0.018090671316477767
balance_vs_expected,72,0.015693112467306015
days_past_due,65,0.014167393199651265
source_system,64,0.013949433304272014
property_type,58,0.012641673931996512
loan_purpose,57,0.012423714036617262
dpd_mean_12m,57,0.012423714036617262
dpd_max_12m,56,0.012205754141238012
term_progress,52,0.011333914559721011
months_since_delinquency,42,0.009154315605928508
status_changes_to_date,39,0.008500435919790758
month_sin,38,0.008282476024411508
dpd_lag_1m,37,0.008064516129032258
dpd_delta_1m,35,0.007628596338273758
credit_score_band,35,0.007628596338273758
month_cos,35,0.007628596338273758
dpd_mean_6m,30,0.006538796861377506
occupancy_type,28,0.006102877070619006
ltv_band,27,0.005884917175239756
dq_score,27,0.005884917175239756
doc_status_ordinal,24,0.0052310374891020054
dpd_max_6m,23,0.005013077593722755
document_status,23,0.005013077593722755
delinquent_months_to_date,19,0.004141238012205754
modified_ever,13,0.002833478639930253
dti_band,13,0.002833478639930253
dpd_mean_3m,12,0.0026155187445510027
vintage_year,11,0.0023975588491717526
worst_status_to_date,11,0.0023975588491717526
status_ordinal,9,0.001961639058413252
dpd_delta_3m,9,0.001961639058413252
dpd_max_3m,8,0.0017436791630340018
dpd_lag_6m,7,0.0015257192676547515
dpd_lag_3m,7,0.0015257192676547515
original_term_months,5,0.001089799476896251
current_status,4,0.0008718395815170009
dpd_delta_6m,2,0.00043591979075850045
months_since_modification,1,0.00021795989537925023
is_delinquent,1,0.00021795989537925023
doc_status_changes_to_date,0,0.0
source_changes_to_date,0,0.0
servicer_transfers_to_date,0,0.0
status_changed_this_month,0,0.0
