decile,n,events,mean_prob,event_rate,lift
10,6456,3028,0.4741096360431023,0.46902106567534074,4.21270583728124
9,6455,866,0.13538782278951061,0.13415956622773045,1.2050093889938338
8,6455,642,0.10822164157908365,0.0994577846630519,0.8933210481917335
7,6455,510,0.07712908314643038,0.07900852052672347,0.7096475616476388
6,6455,521,0.07502525513066748,0.0807126258714175,0.7249536855263133
5,6456,392,0.06644090462190677,0.06071871127633209,0.54537010839308
4,6455,342,0.057059782313063176,0.05298218435321456,0.4758813060460637
3,6455,325,0.04932535898136899,0.05034856700232378,0.4522263873244757
2,6455,292,0.04114397039610433,0.04523625096824167,0.40630801568845204
1,6456,269,0.03001108861718177,0.041666666666666664,0.37424632438198596
