bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",52434,0.06234846718578101,0.0635274821680589,-0.001179014982277883
"(0.1, 0.2]",7470,0.15569744398313418,0.15461847389558234,0.0010789700875518393
"(0.2, 0.3]",1033,0.23591376695771019,0.23330106485963215,0.00261270209807804
"(0.3, 0.4]",201,0.3711157435832461,0.4129353233830846,-0.04181957979983847
"(0.4, 0.5]",496,0.4435453252378074,0.4112903225806452,0.03225500265716219
"(0.5, 0.6]",862,0.5401671598148479,0.568445475638051,-0.02827831582320317
"(0.6, 0.7]",222,0.6706574728409805,0.6936936936936937,-0.023036220852713174
"(0.7, 0.8]",1028,0.7629153588472607,0.7908560311284046,-0.02794067228114394
"(0.8, 0.9]",638,0.8572087766633897,0.8714733542319749,-0.014264577568585235
"(0.9, 1.0]",169,0.9547508836381657,0.9467455621301775,0.008005321507988272
