bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",52634,0.03396859018743237,0.03596534559410267,-0.0019967554066703044
"(0.1, 0.2]",5488,0.1496210704344127,0.14850583090379008,0.0011152395306226193
"(0.2, 0.3]",1290,0.20838115840891386,0.18992248062015504,0.018458677788758815
"(0.3, 0.4]",729,0.361662625023292,0.3168724279835391,0.0447901970397529
"(0.4, 0.5]",281,0.49485927938146207,0.5195729537366548,-0.024713674355192727
"(0.5, 0.6]",180,0.5945881713642773,0.6388888888888888,-0.04430071752461151
"(0.6, 0.7]",566,0.6824717772138267,0.6749116607773852,0.0075601164364415
"(0.7, 0.8]",51,0.7872549019607843,0.803921568627451,-0.01666666666666672
"(0.8, 0.9]",744,0.8705683965653083,0.8817204301075269,-0.011152033542218609
"(0.9, 1.0]",583,0.9617650078962978,0.9588336192109777,0.0029313886853201687
