feature,importance,importance_pct
ltv,17746,0.05696639348735382
dti,17282,0.05547690816231538
credit_score,15999,0.05135835283467676
rate_spread,15991,0.05133267205321058
balance_gap_abs,14934,0.04793959880199154
balance_vs_expected,13407,0.043037779639634434
paydown_6m,12774,0.04100578780612294
interest_rate,12180,0.03909898978225907
paydown_3m,11810,0.03791125363944825
balance_ratio,11711,0.03759345396880427
paydown_1m,9873,0.03169329442694941
state,9837,0.031577730910351605
balance_pctile_in_month,9291,0.029825017575284815
current_balance,8896,0.028557028990392176
original_balance,8661,0.02780265603482314
month_cos,8476,0.027208787963417726
dpd_delta_1m,7960,0.025552377558849117
month_sin,7891,0.025330880818703314
dpd_mean_12m,7883,0.025305200037237133
dpd_delta_3m,6828,0.021918546981384644
dpd_mean_3m,6601,0.021189854807281784
dpd_delta_6m,6526,0.02094909748103635
loan_age_months,6416,0.020595986735876374
remaining_term_months,6266,0.020114472083385498
dpd_mean_6m,6202,0.019909025831656057
dpd_lag_1m,5768,0.018515843437115792
days_past_due,4915,0.015777630113284348
term_progress,4673,0.015000786473932402
dpd_max_12m,3668,0.011774638302243538
dpd_max_3m,3177,0.01019848033975674
loan_purpose,3094,0.009932042232045121
dq_score,2970,0.009533990119319331
dpd_max_6m,2544,0.008166488506245245
property_type,2529,0.008118337040996158
source_system,2466,0.00791610088694999
dpd_lag_3m,1952,0.006266110677747924
occupancy_type,1909,0.006128076477367206
status_changes_to_date,1580,0.005071954339570553
servicer_name,1310,0.004205227965086978
delinquent_months_to_date,1272,0.0040832442531226225
vintage_year,1221,0.003919529271275725
dpd_lag_6m,773,0.002481405509169644
document_status,767,0.002462144923070009
doc_status_ordinal,598,0.0019196384145969561
credit_score_band,528,0.001694931576767881
worst_status_to_date,470,0.001508745911138076
ltv_band,468,0.001502325715771531
dti_band,297,0.000953399011931933
current_status,267,0.0008570960814337581
status_changed_this_month,224,0.0007190618810530404
modified_ever,221,0.0007094315880032229
status_ordinal,202,0.0006484397320210455
original_term_months,105,0.0003370602567436127
months_since_delinquency,56,0.0001797654702632601
months_since_modification,44,0.00014124429806399008
is_delinquent,8,2.5680781466180017e-05
servicer_transfers_to_date,0,0.0
doc_status_changes_to_date,0,0.0
source_changes_to_date,0,0.0
