target,task,model,backend,n_features,test_n,test_positive_rate,roc_auc,pr_auc,f1,precision,recall,recall_at_precision_0.5,macro_f1,brier_uncalibrated,brier_calibrated,brier_improvement,calibration_method,threshold,best_iteration,fit_seconds,positives,threshold_at_precision_floor,brier,n_classes,weighted_f1,accuracy,balanced_accuracy,roc_auc_ovr_macro,log_loss
next_3m_delinquency_flag,binary,baseline,logistic-regression,7,64553,0.11133487212058309,0.7604550227604421,0.4434626741182918,0.45644275454161387,0.5811101549053356,0.3758174481703075,0.3760957283984973,,0.16031691790027452,0.0763470143514624,0.08396990354881212,isotonic,0.225,,0.16,7187.0,0.16356866361711478,0.0763470143514624,,,,,,
next_3m_delinquency_flag,binary,improved,lightgbm,59,64553,0.11133487212058309,0.7526808920806659,0.47196707902887014,0.47120036513007757,0.6849787685774947,0.3591206344789203,0.3868095171838041,,0.13790866069759597,0.07447858211450938,0.0634300785830866,isotonic,0.23267326732673269,74.0,1.69,7187.0,0.16724602558735827,0.07447858211450938,,,,,,
next_6m_delinquency_flag,binary,baseline,logistic-regression,7,62546,0.08126818661465161,0.8469278843344298,0.48200021432986523,0.49812909260991584,0.6140098010954166,0.41904387172929375,0.42101121385008855,,0.1308280147055619,0.05280951731989411,0.0780184973856678,isotonic,0.2625,,0.12,5083.0,0.2087193913997387,0.05280951731989411,,,,,,
next_6m_delinquency_flag,binary,improved,lightgbm,59,62546,0.08126818661465161,0.8502861136770834,0.5313060021640296,0.5168431183830606,0.6652214307835244,0.42258508754672436,0.47078496950619714,,0.09146062602665761,0.05081466633786823,0.04064595968878938,isotonic,0.2676056338028169,82.0,1.7,5083.0,0.18446601941747573,0.05081466633786823,,,,,,
next_12m_default_flag,binary,baseline,logistic-regression,7,58382,0.08672193484293104,0.8667364418625586,0.4714909671726801,0.4649575802286979,0.43608372253935307,0.4979261307525183,0.3650009875567845,,0.14559360386494452,0.05771156543754243,0.08788203842740208,isotonic,0.23809523809523808,,0.07,5063.0,0.2973314594172115,0.05771156543754243,,,,,,
next_12m_default_flag,binary,improved,lightgbm,59,58382,0.08672193484293104,0.8674940262158718,0.50657474392205,0.46806822689408967,0.4700258912567218,0.46612680229113174,0.4341299624728422,,0.09158705168381061,0.05621540946968009,0.03537164221413052,isotonic,0.24581005586592178,71.0,1.42,5063.0,0.26092734333734713,0.05621540946968009,,,,,,
next_12m_prepayment_flag,binary,baseline,logistic-regression,7,58382,0.0895481484019047,0.519649474427771,0.09243218881425706,0.15521747503370106,0.09064618746184248,0.5395944912012242,0.0,,0.2523416696503626,0.08207255914604719,0.1702691105043154,isotonic,0.08976660682226212,,0.08,5228.0,,0.08207255914604719,,,,,,
next_12m_prepayment_flag,binary,improved,lightgbm,59,58382,0.0895481484019047,0.523569566842187,0.09319019771805101,0.16350620252472814,0.09537774944214217,0.5723029839326702,0.0,,0.10971919693588748,0.08148855192835962,0.028230645007527866,isotonic,0.08682634730538923,18.0,0.89,5228.0,,0.08148855192835962,,,,,,
next_state,multiclass,baseline,logistic-regression,7,65890,,,,,,,,0.4077822599752076,0.609331603705024,0.10790290898768724,0.5014286947173368,sigmoid,,,1.03,,,0.10790290898768724,6.0,0.9105257066788998,0.9348914858096828,0.41368307382566116,0.8283406300286075,0.25070500327425077
next_state,multiclass,improved,lightgbm,59,65890,,,,,,,,0.5300168901909229,0.11122968932651875,0.09922623470470217,0.012003454621816581,sigmoid,,841.0,57.28,,,0.09922623470470217,6.0,0.9225020299365232,0.9422977690089543,0.5245914855025152,0.8303297319233081,0.23260673259657827
